method,category_first_pass,forgotten,suppressed,total,suppressed_share,forgotten_share,method_baseline,suppressed_share_minus_method_baseline
ELM,bioweapons_bioterrorism,0.0,6.0,6.0,1.0,0.0,0.7538073788073788,0.2461926211926212
ELM,dual_use_virology,4.0,33.0,37.0,0.8918918918918919,0.10810810810810811,0.7538073788073788,0.13808451308451308
ELM,enhanced_potential_pandemic_pathogens,7.0,14.0,21.0,0.6666666666666666,0.3333333333333333,0.7538073788073788,-0.08714071214071217
ELM,expanding_access,1.0,3.0,4.0,0.75,0.25,0.7538073788073788,-0.003807378807378803
ELM,reverse_genetics_easy_editing,6.0,15.0,21.0,0.7142857142857143,0.2857142857142857,0.7538073788073788,-0.0395216645216645
ELM,viral_vector_research,8.0,8.0,16.0,0.5,0.5,0.7538073788073788,-0.2538073788073788
GradDiff,bioweapons_bioterrorism,0.0,5.0,5.0,1.0,0.0,0.7885482572982573,0.21145174270174272
GradDiff,dual_use_virology,1.0,25.0,26.0,0.9615384615384616,0.038461538461538464,0.7885482572982573,0.17299020424020428
GradDiff,enhanced_potential_pandemic_pathogens,5.0,17.0,22.0,0.7727272727272727,0.22727272727272727,0.7885482572982573,-0.015820984570984575
GradDiff,expanding_access,1.0,2.0,3.0,0.6666666666666666,0.3333333333333333,0.7885482572982573,-0.12188159063159065
GradDiff,reverse_genetics_easy_editing,5.0,11.0,16.0,0.6875,0.3125,0.7885482572982573,-0.10104825729825728
GradDiff,viral_vector_research,5.0,9.0,14.0,0.6428571428571429,0.35714285714285715,0.7885482572982573,-0.14569111444111438
PB_J,dual_use_virology,18.0,16.0,34.0,0.47058823529411764,0.5294117647058824,0.6357843137254902,-0.16519607843137252
PB_J,enhanced_potential_pandemic_pathogens,17.0,13.0,30.0,0.43333333333333335,0.5666666666666667,0.6357843137254902,-0.2024509803921568
PB_J,expanding_access,0.0,1.0,1.0,1.0,0.0,0.6357843137254902,0.36421568627450984
PB_J,reverse_genetics_easy_editing,12.0,20.0,32.0,0.625,0.375,0.6357843137254902,-0.010784313725490158
PB_J,viral_vector_research,7.0,13.0,20.0,0.65,0.35,0.6357843137254902,0.014215686274509864
RMU-LAT,bioweapons_bioterrorism,1.0,3.0,4.0,0.75,0.25,0.6712110136452242,0.07878898635477583
RMU-LAT,dual_use_virology,12.0,15.0,27.0,0.5555555555555556,0.4444444444444444,0.6712110136452242,-0.1156554580896686
RMU-LAT,enhanced_potential_pandemic_pathogens,12.0,18.0,30.0,0.6,0.4,0.6712110136452242,-0.0712110136452242
RMU-LAT,expanding_access,0.0,1.0,1.0,1.0,0.0,0.6712110136452242,0.3287889863547758
RMU-LAT,reverse_genetics_easy_editing,6.0,13.0,19.0,0.6842105263157895,0.3157894736842105,0.6712110136452242,0.012999512670565316
RMU-LAT,viral_vector_research,9.0,7.0,16.0,0.4375,0.5625,0.6712110136452242,-0.23371101364522417
RR,bioweapons_bioterrorism,1.0,0.0,1.0,0.0,1.0,0.5837820512820513,-0.5837820512820513
RR,dual_use_virology,10.0,22.0,32.0,0.6875,0.3125,0.5837820512820513,0.1037179487179487
RR,enhanced_potential_pandemic_pathogens,10.0,15.0,25.0,0.6,0.4,0.5837820512820513,0.016217948717948683
RR,reverse_genetics_easy_editing,7.0,17.0,24.0,0.7083333333333334,0.2916666666666667,0.5837820512820513,0.12455128205128208
RR,viral_vector_research,1.0,12.0,13.0,0.9230769230769231,0.07692307692307693,0.5837820512820513,0.33929487179487183
RepNoise,bioweapons_bioterrorism,3.0,5.0,8.0,0.625,0.375,0.7303844190592311,-0.10538441905923113
RepNoise,dual_use_virology,16.0,33.0,49.0,0.673469387755102,0.32653061224489793,0.7303844190592311,-0.056915031304129116
RepNoise,enhanced_potential_pandemic_pathogens,11.0,27.0,38.0,0.7105263157894737,0.2894736842105263,0.7303844190592311,-0.019858103269757454
RepNoise,expanding_access,0.0,2.0,2.0,1.0,0.0,0.7303844190592311,0.2696155809407689
RepNoise,reverse_genetics_easy_editing,7.0,30.0,37.0,0.8108108108108109,0.1891891891891892,0.7303844190592311,0.08042639175157973
RepNoise,viral_vector_research,7.0,9.0,16.0,0.5625,0.4375,0.7303844190592311,-0.16788441905923113
TAR,bioweapons_bioterrorism,1.0,1.0,2.0,0.5,0.5,0.670857498982499,-0.17085749898249902
TAR,dual_use_virology,8.0,28.0,36.0,0.7777777777777778,0.2222222222222222,0.670857498982499,0.10692027879527877
TAR,enhanced_potential_pandemic_pathogens,7.0,25.0,32.0,0.78125,0.21875,0.670857498982499,0.11039250101750098
TAR,expanding_access,1.0,3.0,4.0,0.75,0.25,0.670857498982499,0.07914250101750098
TAR,reverse_genetics_easy_editing,8.0,18.0,26.0,0.6923076923076923,0.3076923076923077,0.670857498982499,0.021450193325193267
TAR,viral_vector_research,10.0,11.0,21.0,0.5238095238095238,0.47619047619047616,0.670857498982499,-0.1470479751729752
