method,category_first_pass,forgotten,suppressed,total,suppressed_share,forgotten_share
ELM,bioweapons_bioterrorism,0.0,6.0,6.0,1.0,0.0
ELM,dual_use_virology,4.0,33.0,37.0,0.8918918918918919,0.10810810810810811
ELM,enhanced_potential_pandemic_pathogens,7.0,14.0,21.0,0.6666666666666666,0.3333333333333333
ELM,expanding_access,1.0,3.0,4.0,0.75,0.25
ELM,reverse_genetics_easy_editing,6.0,15.0,21.0,0.7142857142857143,0.2857142857142857
ELM,viral_vector_research,8.0,8.0,16.0,0.5,0.5
GradDiff,bioweapons_bioterrorism,0.0,5.0,5.0,1.0,0.0
GradDiff,dual_use_virology,1.0,25.0,26.0,0.9615384615384616,0.038461538461538464
GradDiff,enhanced_potential_pandemic_pathogens,5.0,17.0,22.0,0.7727272727272727,0.22727272727272727
GradDiff,expanding_access,1.0,2.0,3.0,0.6666666666666666,0.3333333333333333
GradDiff,reverse_genetics_easy_editing,5.0,11.0,16.0,0.6875,0.3125
GradDiff,viral_vector_research,5.0,9.0,14.0,0.6428571428571429,0.35714285714285715
PB_J,dual_use_virology,18.0,16.0,34.0,0.47058823529411764,0.5294117647058824
PB_J,enhanced_potential_pandemic_pathogens,17.0,13.0,30.0,0.43333333333333335,0.5666666666666667
PB_J,expanding_access,0.0,1.0,1.0,1.0,0.0
PB_J,reverse_genetics_easy_editing,12.0,20.0,32.0,0.625,0.375
PB_J,viral_vector_research,7.0,13.0,20.0,0.65,0.35
RMU-LAT,bioweapons_bioterrorism,1.0,3.0,4.0,0.75,0.25
RMU-LAT,dual_use_virology,12.0,15.0,27.0,0.5555555555555556,0.4444444444444444
RMU-LAT,enhanced_potential_pandemic_pathogens,12.0,18.0,30.0,0.6,0.4
RMU-LAT,expanding_access,0.0,1.0,1.0,1.0,0.0
RMU-LAT,reverse_genetics_easy_editing,6.0,13.0,19.0,0.6842105263157895,0.3157894736842105
RMU-LAT,viral_vector_research,9.0,7.0,16.0,0.4375,0.5625
RR,bioweapons_bioterrorism,1.0,0.0,1.0,0.0,1.0
RR,dual_use_virology,10.0,22.0,32.0,0.6875,0.3125
RR,enhanced_potential_pandemic_pathogens,10.0,15.0,25.0,0.6,0.4
RR,reverse_genetics_easy_editing,7.0,17.0,24.0,0.7083333333333334,0.2916666666666667
RR,viral_vector_research,1.0,12.0,13.0,0.9230769230769231,0.07692307692307693
RepNoise,bioweapons_bioterrorism,3.0,5.0,8.0,0.625,0.375
RepNoise,dual_use_virology,16.0,33.0,49.0,0.673469387755102,0.32653061224489793
RepNoise,enhanced_potential_pandemic_pathogens,11.0,27.0,38.0,0.7105263157894737,0.2894736842105263
RepNoise,expanding_access,0.0,2.0,2.0,1.0,0.0
RepNoise,reverse_genetics_easy_editing,7.0,30.0,37.0,0.8108108108108109,0.1891891891891892
RepNoise,viral_vector_research,7.0,9.0,16.0,0.5625,0.4375
TAR,bioweapons_bioterrorism,1.0,1.0,2.0,0.5,0.5
TAR,dual_use_virology,8.0,28.0,36.0,0.7777777777777778,0.2222222222222222
TAR,enhanced_potential_pandemic_pathogens,7.0,25.0,32.0,0.78125,0.21875
TAR,expanding_access,1.0,3.0,4.0,0.75,0.25
TAR,reverse_genetics_easy_editing,8.0,18.0,26.0,0.6923076923076923,0.3076923076923077
TAR,viral_vector_research,10.0,11.0,21.0,0.5238095238095238,0.47619047619047616
