method,subset_ck8,category_first_pass,count,subset_total,pct_within_method_subset
ELM,forgotten,dual_use_virology,4,26,0.15384615384615385
ELM,forgotten,enhanced_potential_pandemic_pathogens,7,26,0.2692307692307692
ELM,forgotten,expanding_access,1,26,0.038461538461538464
ELM,forgotten,reverse_genetics_easy_editing,6,26,0.23076923076923078
ELM,forgotten,viral_vector_research,8,26,0.3076923076923077
ELM,suppressed,bioweapons_bioterrorism,6,79,0.0759493670886076
ELM,suppressed,dual_use_virology,33,79,0.4177215189873418
ELM,suppressed,enhanced_potential_pandemic_pathogens,14,79,0.17721518987341772
ELM,suppressed,expanding_access,3,79,0.0379746835443038
ELM,suppressed,reverse_genetics_easy_editing,15,79,0.189873417721519
ELM,suppressed,viral_vector_research,8,79,0.10126582278481013
GradDiff,forgotten,dual_use_virology,1,17,0.058823529411764705
GradDiff,forgotten,enhanced_potential_pandemic_pathogens,5,17,0.29411764705882354
GradDiff,forgotten,expanding_access,1,17,0.058823529411764705
GradDiff,forgotten,reverse_genetics_easy_editing,5,17,0.29411764705882354
GradDiff,forgotten,viral_vector_research,5,17,0.29411764705882354
GradDiff,suppressed,bioweapons_bioterrorism,5,69,0.07246376811594203
GradDiff,suppressed,dual_use_virology,25,69,0.36231884057971014
GradDiff,suppressed,enhanced_potential_pandemic_pathogens,17,69,0.2463768115942029
GradDiff,suppressed,expanding_access,2,69,0.028985507246376812
GradDiff,suppressed,reverse_genetics_easy_editing,11,69,0.15942028985507245
GradDiff,suppressed,viral_vector_research,9,69,0.13043478260869565
PB_J,forgotten,dual_use_virology,18,54,0.3333333333333333
PB_J,forgotten,enhanced_potential_pandemic_pathogens,17,54,0.3148148148148148
PB_J,forgotten,reverse_genetics_easy_editing,12,54,0.2222222222222222
PB_J,forgotten,viral_vector_research,7,54,0.12962962962962962
PB_J,suppressed,dual_use_virology,16,63,0.25396825396825395
PB_J,suppressed,enhanced_potential_pandemic_pathogens,13,63,0.20634920634920634
PB_J,suppressed,expanding_access,1,63,0.015873015873015872
PB_J,suppressed,reverse_genetics_easy_editing,20,63,0.31746031746031744
PB_J,suppressed,viral_vector_research,13,63,0.20634920634920634
RMU-LAT,forgotten,bioweapons_bioterrorism,1,40,0.025
RMU-LAT,forgotten,dual_use_virology,12,40,0.3
RMU-LAT,forgotten,enhanced_potential_pandemic_pathogens,12,40,0.3
RMU-LAT,forgotten,reverse_genetics_easy_editing,6,40,0.15
RMU-LAT,forgotten,viral_vector_research,9,40,0.225
RMU-LAT,suppressed,bioweapons_bioterrorism,3,57,0.05263157894736842
RMU-LAT,suppressed,dual_use_virology,15,57,0.2631578947368421
RMU-LAT,suppressed,enhanced_potential_pandemic_pathogens,18,57,0.3157894736842105
RMU-LAT,suppressed,expanding_access,1,57,0.017543859649122806
RMU-LAT,suppressed,reverse_genetics_easy_editing,13,57,0.22807017543859648
RMU-LAT,suppressed,viral_vector_research,7,57,0.12280701754385964
RR,forgotten,bioweapons_bioterrorism,1,29,0.034482758620689655
RR,forgotten,dual_use_virology,10,29,0.3448275862068966
RR,forgotten,enhanced_potential_pandemic_pathogens,10,29,0.3448275862068966
RR,forgotten,reverse_genetics_easy_editing,7,29,0.2413793103448276
RR,forgotten,viral_vector_research,1,29,0.034482758620689655
RR,suppressed,dual_use_virology,22,66,0.3333333333333333
RR,suppressed,enhanced_potential_pandemic_pathogens,15,66,0.22727272727272727
RR,suppressed,reverse_genetics_easy_editing,17,66,0.25757575757575757
RR,suppressed,viral_vector_research,12,66,0.18181818181818182
RepNoise,forgotten,bioweapons_bioterrorism,3,44,0.06818181818181818
RepNoise,forgotten,dual_use_virology,16,44,0.36363636363636365
RepNoise,forgotten,enhanced_potential_pandemic_pathogens,11,44,0.25
RepNoise,forgotten,reverse_genetics_easy_editing,7,44,0.1590909090909091
RepNoise,forgotten,viral_vector_research,7,44,0.1590909090909091
RepNoise,suppressed,bioweapons_bioterrorism,5,106,0.04716981132075472
RepNoise,suppressed,dual_use_virology,33,106,0.3113207547169811
RepNoise,suppressed,enhanced_potential_pandemic_pathogens,27,106,0.25471698113207547
RepNoise,suppressed,expanding_access,2,106,0.018867924528301886
RepNoise,suppressed,reverse_genetics_easy_editing,30,106,0.2830188679245283
RepNoise,suppressed,viral_vector_research,9,106,0.08490566037735849
TAR,forgotten,bioweapons_bioterrorism,1,35,0.02857142857142857
TAR,forgotten,dual_use_virology,8,35,0.22857142857142856
TAR,forgotten,enhanced_potential_pandemic_pathogens,7,35,0.2
TAR,forgotten,expanding_access,1,35,0.02857142857142857
TAR,forgotten,reverse_genetics_easy_editing,8,35,0.22857142857142856
TAR,forgotten,viral_vector_research,10,35,0.2857142857142857
TAR,suppressed,bioweapons_bioterrorism,1,86,0.011627906976744186
TAR,suppressed,dual_use_virology,28,86,0.32558139534883723
TAR,suppressed,enhanced_potential_pandemic_pathogens,25,86,0.29069767441860467
TAR,suppressed,expanding_access,3,86,0.03488372093023256
TAR,suppressed,reverse_genetics_easy_editing,18,86,0.20930232558139536
TAR,suppressed,viral_vector_research,11,86,0.12790697674418605
