method,contrast,feature_mode,direction,question_set,layer_selection_mode,selected_layer_or_mean,n_positive,n_negative,auc_mean,auc_ci95_low,auc_ci95_high,balanced_accuracy_mean,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,average_precision_mean,average_precision_ci95_low,average_precision_ci95_high,log_loss_mean,brier_score_mean
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,per_fold_selected,17.6,186,45,0.565442054958184,0.4919354838709677,0.6377180406212664,0.5205555555555555,0.497347670250896,0.5577822580645161,0.837017447004983,0.8075381894871273,0.8750225854335533,0.5102513478257841,0.1598746612155128
ELM,suppressed_vs_forgotten,correct_only,logistic_regression,Qstar,per_fold_selected,17.6,186,45,0.6130286738351256,0.5293399044205496,0.6795131421744325,0.5581003584229391,0.4930734767025089,0.5991039426523297,0.8611743260410446,0.8243301425386551,0.8943554478907386,1.1430094281222902,0.2112529747227792
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,0.0,186,45,0.6329749103942653,0.6329749103942652,0.6329749103942652,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,1.0,186,45,0.5263978494623656,0.441574074074074,0.5881242532855436,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,2.0,186,45,0.5338291517323777,0.459557945041816,0.5924850657108721,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,3.0,186,45,0.5432676224611709,0.4699462365591398,0.5957407407407407,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,4.0,186,45,0.5326463560334528,0.4695639187574671,0.5793249701314217,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,5.0,186,45,0.5414874551971327,0.4588351254480287,0.5965352449223417,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,6.0,186,45,0.5620011947431303,0.4733273596176822,0.6216816009557945,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,7.0,186,45,0.5540979689366786,0.474758064516129,0.6116696535244922,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,8.0,186,45,0.5490740740740743,0.4713649940262843,0.6123148148148148,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,9.0,186,45,0.5735483870967741,0.51084229390681,0.6237724014336917,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,10.0,186,45,0.5661230585424134,0.512610513739546,0.6122670250896057,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,11.0,186,45,0.5666606929510156,0.5194115890083633,0.6043667861409796,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,12.0,186,45,0.5636140979689367,0.5160902031063321,0.5993608124253286,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,13.0,186,45,0.5806750298685783,0.5359707287933095,0.6200925925925925,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,14.0,186,45,0.5760035842293906,0.5409438470728793,0.6187962962962963,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,15.0,186,45,0.5629151732377539,0.5286081242532855,0.6107168458781361,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,16.0,186,45,0.5701493428912784,0.532541816009558,0.6175507765830346,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,17.0,186,45,0.5656511350059737,0.5161887694145758,0.6223536439665471,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,18.0,186,45,0.5673954599761052,0.5181362007168459,0.622057945041816,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,19.0,186,45,0.5657706093189964,0.5137634408602151,0.6104480286738351,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,20.0,186,45,0.5725328554360812,0.5240322580645161,0.6148297491039426,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,21.0,186,45,0.5784109916367981,0.5297968936678614,0.6193070489844683,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,22.0,186,45,0.5811887694145759,0.5359229390681004,0.6196057347670251,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,23.0,186,45,0.5900716845878137,0.5456869772998806,0.6253166069295101,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,24.0,186,45,0.595268817204301,0.5518219832735962,0.6331003584229391,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,25.0,186,45,0.5929749103942651,0.5505465949820789,0.6266397849462365,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,26.0,186,45,0.5939844683393071,0.5518249701314217,0.6266786140979689,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,27.0,186,45,0.5975388291517325,0.5600776583034647,0.6274820788530466,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,28.0,186,45,0.5948626045400239,0.556726403823178,0.6257646356033453,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,29.0,186,45,0.5947968936678614,0.5581511350059737,0.6246953405017921,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,30.0,186,45,0.5925925925925926,0.5573178016726404,0.6215232974910394,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,31.0,186,45,0.5910095579450418,0.5566039426523298,0.6205495818399044,,,,,,,,
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,each_layer,32.0,186,45,0.5948745519713261,0.5633183990442056,0.6216338112305854,,,,,,,,
