method,contrast,feature_mode,direction,question_set,quintile,n_questions,positive_rate,suppressed_rate,forgotten_rate,retained_rate,mean_projection_score,projection_score_min,projection_score_max
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,1,47,0.7659574468085106,0.7659574468085106,0.2340425531914893,0.0,-1.0169456500862373,-2.361845631022958,-0.6281994090325289
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,2,46,0.8478260869565217,0.8478260869565217,0.1521739130434782,0.0,-0.4036930345274294,-0.6245213791584031,-0.2475968548397548
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,3,46,0.6304347826086957,0.6304347826086957,0.3695652173913043,0.0,-0.053514724033149,-0.2295770700077721,0.12465611406259
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,4,46,0.9130434782608696,0.9130434782608696,0.0869565217391304,0.0,0.3654596067100787,0.125970115830787,0.6663407529410155
ELM,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,5,46,0.8695652173913043,0.8695652173913043,0.1304347826086956,0.0,1.1308013160690462,0.6764705395030761,1.974271635924808
ELM,suppressed_vs_retained,correct_only,mean_difference,Qstar,1,121,0.256198347107438,0.256198347107438,0.0,0.743801652892562,-0.9950863771122572,-2.034188301606473,-0.6034863498746226
ELM,suppressed_vs_retained,correct_only,mean_difference,Qstar,2,121,0.256198347107438,0.256198347107438,0.0,0.743801652892562,-0.3864720613687579,-0.6006089059422218,-0.1924160609198322
ELM,suppressed_vs_retained,correct_only,mean_difference,Qstar,3,120,0.2416666666666666,0.2416666666666666,0.0,0.7583333333333333,-0.0085833918744092,-0.1900560197033949,0.1743665591693597
ELM,suppressed_vs_retained,correct_only,mean_difference,Qstar,4,121,0.3553719008264462,0.3553719008264462,0.0,0.6446280991735537,0.3981953107796767,0.1820827337406745,0.6116308071368215
ELM,suppressed_vs_retained,correct_only,mean_difference,Qstar,5,121,0.4297520661157025,0.4297520661157025,0.0,0.5702479338842975,0.9918755824528184,0.6158561588830881,2.25071669448938
ELM,suppressed_vs_rest,correct_only,mean_difference,Qstar,1,621,0.2608695652173913,0.2608695652173913,0.0611916264090177,0.6038647342995169,-0.0492258252238072,-1.3158877653115124,-0.0095171093444605
ELM,suppressed_vs_rest,correct_only,mean_difference,Qstar,2,80,0.3,0.3,0.0875,0.5375,0.3821154682998036,-0.0077884502367145,1.2138991933098957
ELM,forgotten_vs_retained,correct_only,mean_difference,Qstar,1,93,0.053763440860215,0.0,0.053763440860215,0.946236559139785,-1.283146905501467,-2.6369809940444235,-0.7747215811901409
ELM,forgotten_vs_retained,correct_only,mean_difference,Qstar,2,92,0.0326086956521739,0.0,0.0326086956521739,0.967391304347826,-0.4348543886041404,-0.7679565042508023,-0.155707975959718
ELM,forgotten_vs_retained,correct_only,mean_difference,Qstar,3,93,0.0967741935483871,0.0,0.0967741935483871,0.9032258064516128,0.0760535146067288,-0.1504305776139635,0.320760630835342
ELM,forgotten_vs_retained,correct_only,mean_difference,Qstar,4,92,0.1521739130434782,0.0,0.1521739130434782,0.8478260869565217,0.5592602301183797,0.3311031844357229,0.7575569421062467
ELM,forgotten_vs_retained,correct_only,mean_difference,Qstar,5,93,0.1505376344086021,0.0,0.1505376344086021,0.8494623655913979,1.0840252466010822,0.7576880540500746,2.318794400914955
GradDiff,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,1,32,0.875,0.875,0.125,0.0,-0.9584954828101232,-2.0563791885576053,-0.6190615538783268
GradDiff,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,2,32,0.84375,0.84375,0.15625,0.0,-0.4068442426758035,-0.5880878846859556,-0.219076404106648
GradDiff,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,3,31,0.7741935483870968,0.7741935483870968,0.2258064516129032,0.0,-0.0544738042620663,-0.211888118702298,0.1212055336216516
GradDiff,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,4,32,0.84375,0.84375,0.15625,0.0,0.3427530577305407,0.1232604221064261,0.6049471796693398
GradDiff,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,5,32,1.0,1.0,0.0,0.0,1.0753581656342626,0.6059346677447981,3.286924556406092
