method,feature_variant,direction,selected_distractor_rule,n_suppressed,n_forgotten,auc_mean,auc_ci95_low,auc_ci95_high,balanced_accuracy_mean,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,average_precision_mean,average_precision_ci95_low,average_precision_ci95_high
ELM,correct_only,mean_difference,none,186,45,0.565442054958184,0.4919354838709677,0.6377180406212664,0.5205555555555555,0.497347670250896,0.5577822580645161,0.837017447004983,0.8075381894871273,0.8750225854335533
ELM,correct_only,logistic_regression,none,186,45,0.6130286738351256,0.5293399044205496,0.6795131421744325,0.5581003584229391,0.4930734767025089,0.5991039426523297,0.8611743260410446,0.8243301425386551,0.8943554478907386
ELM,correct_minus_mean_wrong,mean_difference,mean_all_wrong,186,45,0.7543966547192354,0.7015830346475508,0.8029868578255674,0.589094982078853,0.5410618279569892,0.6342383512544802,0.9248228581450748,0.9021987824957708,0.9442414046666876
ELM,correct_minus_mean_wrong,logistic_regression,mean_all_wrong,186,45,0.763536439665472,0.7153285543608124,0.8127747909199523,0.629005376344086,0.580192652329749,0.6753987455197132,0.9242425417876416,0.9058407761223743,0.9402761927088849
ELM,correct_minus_strongest_wrong,mean_difference,max_base_ext,186,45,0.7134468339307048,0.6679480286738351,0.7566158900836321,0.5760215053763441,0.5285394265232976,0.613239247311828,0.9035560092641866,0.8786979198835659,0.9241161494434532
ELM,correct_minus_strongest_wrong,logistic_regression,max_base_ext,186,45,0.746732377538829,0.7059826762246117,0.7858811230585424,0.6550448028673834,0.6248028673835125,0.6929435483870968,0.9202539303312164,0.9003847767410882,0.934160799714632
ELM,correct_minus_closest_wrong,mean_difference,min_hidden_dist,186,45,0.7207646356033454,0.6651881720430108,0.7694324970131422,0.586272401433692,0.5559498207885305,0.6353853046594982,0.9063969857652576,0.8832598919023162,0.9285963516947432
ELM,correct_minus_closest_wrong,logistic_regression,min_hidden_dist,186,45,0.7614456391875746,0.7144922341696535,0.7985454002389487,0.659336917562724,0.6259901433691757,0.7039381720430107,0.9230071169995646,0.8976172246259265,0.9402694244907344
ELM,correct_minus_farthest_wrong,mean_difference,max_hidden_dist,186,45,0.6956152927120669,0.6528733572281961,0.731678614097969,0.5517831541218639,0.5190277777777778,0.5838709677419355,0.8956204091502705,0.874726261837532,0.912264376356408
ELM,correct_minus_farthest_wrong,logistic_regression,max_hidden_dist,186,45,0.6665531660692952,0.6189187574671446,0.7386559139784945,0.5733512544802867,0.5448431899641577,0.6091084229390681,0.8815666486401005,0.8604573783698972,0.9206759393655352
ELM,concat_all_wrong_ordered,mean_difference,all_ordered_by_ext,186,45,0.752962962962963,0.7027060931899642,0.8000149342891278,0.5972222222222221,0.5494668458781362,0.6416890681003584,0.924110230358786,0.9009197926698386,0.9431413917425672
ELM,concat_all_wrong_ordered,logistic_regression,all_ordered_by_ext,186,45,0.7591816009557946,0.7064545997610514,0.7928166069295102,0.6223476702508961,0.5683960573476702,0.6612768817204301,0.9234945227063838,0.8969898818865284,0.94189132444196
ELM,mean_plus_spread,mean_difference,mean_plus_spread,186,45,0.7539486260454004,0.7008393070489845,0.802942054958184,0.5896505376344086,0.5453673835125448,0.6342383512544802,0.924720724276514,0.9014295303098818,0.9441556442546016
ELM,mean_plus_spread,logistic_regression,mean_plus_spread,186,45,0.7621863799283155,0.712921146953405,0.8106481481481481,0.6238351254480287,0.5698073476702509,0.6807930107526882,0.9238793149474986,0.9056591350458668,0.939234043939962
GradDiff,correct_only,mean_difference,none,138,21,0.570824706694272,0.4962646652864045,0.650103519668737,0.5022256728778467,0.479981884057971,0.5288819875776397,0.9032308335026314,0.8772257450808519,0.9279516466450404
GradDiff,correct_only,logistic_regression,none,138,21,0.6082988267770877,0.5555728088336785,0.6748533471359557,0.5478778467908902,0.4873964803312629,0.600297619047619,0.902184281615084,0.8805234417329079,0.9261056511511324
GradDiff,correct_minus_mean_wrong,mean_difference,mean_all_wrong,138,21,0.7451000690131127,0.6606107660455487,0.8140614216701173,0.5530279503105591,0.5037914078674948,0.6004917184265011,0.9435718078657204,0.915953927723106,0.9647656846675158
GradDiff,correct_minus_mean_wrong,logistic_regression,mean_all_wrong,138,21,0.7165976535541753,0.6353260869565217,0.7842563837129054,0.580771221532091,0.5230590062111801,0.6432065217391304,0.9432263024708624,0.9244053681398128,0.9630256902084552
GradDiff,correct_minus_strongest_wrong,mean_difference,max_base_ext,138,21,0.6958937198067633,0.5984730848861284,0.7550983436853002,0.5025103519668738,0.4710144927536231,0.5369306418219462,0.9358783638636808,0.9031705124963608,0.9586612494697008
GradDiff,correct_minus_strongest_wrong,logistic_regression,max_base_ext,138,21,0.6643029675638371,0.5681159420289854,0.7372412008281574,0.5314440993788819,0.4856754658385093,0.6044642857142857,0.9325782596583077,0.9058235830404788,0.952230938166144
GradDiff,correct_minus_closest_wrong,mean_difference,min_hidden_dist,138,21,0.673343685300207,0.6221532091097308,0.7194962042788129,0.5092650103519669,0.4872282608695652,0.5507893374741201,0.9301209148479757,0.9076007839953067,0.9459546123193836
GradDiff,correct_minus_closest_wrong,logistic_regression,min_hidden_dist,138,21,0.6297619047619049,0.5608178053830227,0.6996290545203588,0.5023550724637682,0.439945652173913,0.5645315734989648,0.926387496840892,0.909198373135986,0.9440417060890836
GradDiff,correct_minus_farthest_wrong,mean_difference,max_hidden_dist,138,21,0.6983264320220843,0.6246894409937889,0.7721014492753624,0.5329192546583852,0.4836050724637681,0.5915243271221532,0.9280964554309832,0.9085722201642626,0.9514927398319476
GradDiff,correct_minus_farthest_wrong,logistic_regression,max_hidden_dist,138,21,0.6555383022774326,0.581771911663216,0.757531055900621,0.5416149068322981,0.49101966873706,0.6085274327122153,0.930150024379644,0.9084341383512448,0.9573363369016396
GradDiff,concat_all_wrong_ordered,mean_difference,all_ordered_by_ext,138,21,0.7371635610766046,0.6427708764665286,0.7921411318150448,0.5568840579710146,0.5036102484472049,0.5992106625258798,0.9402455963868306,0.9053332646414148,0.9588277800340728
GradDiff,concat_all_wrong_ordered,logistic_regression,all_ordered_by_ext,138,21,0.693167701863354,0.6249051069703244,0.7643719806763285,0.54981884057971,0.4999870600414078,0.5802924430641822,0.9361007946541576,0.9131341870951928,0.953878656812168
GradDiff,mean_plus_spread,mean_difference,mean_plus_spread,138,21,0.7457211870255349,0.6683143547273982,0.8140614216701172,0.5530279503105591,0.5037914078674948,0.6004917184265011,0.943926644821446,0.9184481255452313,0.9647634230777258
GradDiff,mean_plus_spread,logistic_regression,mean_plus_spread,138,21,0.7159937888198759,0.6383109040717736,0.7844375431331952,0.5795807453416149,0.5230590062111801,0.6395833333333333,0.943078041294771,0.9243869638098052,0.963173541477614
PB&J,correct_only,mean_difference,none,189,60,0.6490255731922397,0.606358024691358,0.6745326278659612,0.5164285714285713,0.4953703703703703,0.5442460317460317,0.8500461826896718,0.828174566177468,0.8666188169134709
PB&J,correct_only,logistic_regression,none,189,60,0.5921428571428571,0.525163139329806,0.6360692239858906,0.5367460317460316,0.4950396825396825,0.5816898148148147,0.8247843132715229,0.7892553589894762,0.8475121144230477
PB&J,correct_minus_mean_wrong,mean_difference,mean_all_wrong,189,60,0.6860317460317461,0.6566181657848325,0.7266468253968253,0.5364351851851852,0.5197751322751323,0.5596660052910053,0.8644193655668049,0.8435121306080516,0.8816876739992263
PB&J,correct_minus_mean_wrong,logistic_regression,mean_all_wrong,189,60,0.6828791887125221,0.6483796296296297,0.7267173721340386,0.6021626984126984,0.5624702380952381,0.6547056878306878,0.8661508790246296,0.8412489540551258,0.8892887636101849
PB&J,correct_minus_strongest_wrong,mean_difference,max_base_ext,189,60,0.6818298059964728,0.6423589065255733,0.7244246031746031,0.5416468253968253,0.5071230158730159,0.5742261904761904,0.8642473939719315,0.8326756120189595,0.886937361401869
PB&J,correct_minus_strongest_wrong,logistic_regression,max_base_ext,189,60,0.6705379188712522,0.6432914462081128,0.6937477954144621,0.5885383597883598,0.5580489417989418,0.628505291005291,0.8632471879102596,0.8391631893827625,0.8793470601917273
PB&J,correct_minus_closest_wrong,mean_difference,min_hidden_dist,189,60,0.6688932980599648,0.6282385361552028,0.7100661375661376,0.5208267195767194,0.4803373015873016,0.5496693121693121,0.8575248336588766,0.8266023236347224,0.8903792395817548
PB&J,correct_minus_closest_wrong,logistic_regression,min_hidden_dist,189,60,0.6757054673721341,0.6458223104056438,0.7046715167548501,0.6053968253968254,0.5658366402116402,0.656494708994709,0.863580801809334,0.8351744722216087,0.8776832997606608
PB&J,correct_minus_farthest_wrong,mean_difference,max_hidden_dist,189,60,0.6668606701940035,0.6195061728395062,0.69336860670194,0.5543253968253967,0.520162037037037,0.5761904761904761,0.8590290779975469,0.83926968936851,0.8752740708861122
PB&J,correct_minus_farthest_wrong,logistic_regression,max_hidden_dist,189,60,0.645846560846561,0.5886640211640211,0.6865630511463845,0.5720965608465607,0.5382275132275132,0.6149206349206349,0.848176234718431,0.8132464601101584,0.8782177471427575
PB&J,concat_all_wrong_ordered,mean_difference,all_ordered_by_ext,189,60,0.6853174603174603,0.64663139329806,0.7183024691358024,0.5513558201058201,0.5222321428571428,0.5940674603174603,0.866790856116131,0.8461549868959862,0.8894308218957125
PB&J,concat_all_wrong_ordered,logistic_regression,all_ordered_by_ext,189,60,0.684805996472663,0.642010582010582,0.7312544091710758,0.5979695767195767,0.5555456349206349,0.6757671957671957,0.8718479263523914,0.845493470637158,0.8942402445110212
PB&J,mean_plus_spread,mean_difference,mean_plus_spread,189,60,0.6860582010582011,0.6455246913580247,0.7301697530864197,0.5351851851851852,0.5144080687830688,0.5593452380952381,0.8643870468323216,0.842532008965795,0.8818876742333892
PB&J,mean_plus_spread,logistic_regression,mean_plus_spread,189,60,0.6898589065255731,0.6577645502645503,0.7302292768959435,0.6098611111111112,0.5569708994708994,0.6567857142857143,0.8691741336716078,0.8471327678095293,0.89123238641179
RMU-LAT,correct_only,mean_difference,none,165,36,0.5834469696969697,0.5305450336700336,0.6295959595959596,0.4978156565656564,0.4909090909090909,0.5057007575757575,0.8592215040021234,0.8339975579341228,0.8807655727214363
RMU-LAT,correct_only,logistic_regression,none,165,36,0.5108459595959596,0.4490467171717172,0.5735900673400673,0.509810606060606,0.4570833333333333,0.5648484848484848,0.8305170640217752,0.8065478587576791,0.8541730094403227
RMU-LAT,correct_minus_mean_wrong,mean_difference,mean_all_wrong,165,36,0.6507449494949495,0.5762310606060606,0.7019696969696969,0.5083333333333333,0.4845454545454545,0.5471590909090909,0.88470165820264,0.8495022641561716,0.9117938555710384
RMU-LAT,correct_minus_mean_wrong,logistic_regression,mean_all_wrong,165,36,0.6750378787878788,0.5945517676767677,0.7259764309764309,0.574659090909091,0.5271969696969697,0.6361805555555555,0.9026933204216392,0.8625712593384705,0.9190700073384678
RMU-LAT,correct_minus_strongest_wrong,mean_difference,max_base_ext,165,36,0.6124915824915824,0.547712542087542,0.6976557239057238,0.5103156565656566,0.485625,0.5466477272727273,0.8718082857878269,0.8294365064821336,0.910657662205555
RMU-LAT,correct_minus_strongest_wrong,logistic_regression,max_base_ext,165,36,0.6256228956228956,0.5652546296296297,0.6801809764309764,0.5507323232323232,0.4942613636363636,0.6084027777777777,0.8792676283392555,0.8583197828545935,0.9027424727371308
RMU-LAT,correct_minus_closest_wrong,mean_difference,min_hidden_dist,165,36,0.6021127946127945,0.5199810606060606,0.6756439393939394,0.512739898989899,0.4923484848484848,0.5387878787878788,0.8657079557508578,0.8277817799726683,0.9010992476637644
RMU-LAT,correct_minus_closest_wrong,logistic_regression,min_hidden_dist,165,36,0.6049915824915826,0.5365593434343434,0.6676346801346801,0.5489772727272728,0.4858901515151515,0.6104482323232323,0.8693131451510577,0.8408738857277548,0.89802515782234
RMU-LAT,correct_minus_farthest_wrong,mean_difference,max_hidden_dist,165,36,0.6513468013468013,0.5925336700336701,0.6876473063973064,0.5141414141414141,0.4794760101010101,0.5413068181818181,0.8849391075957603,0.8690147957702223,0.9054897533388372
RMU-LAT,correct_minus_farthest_wrong,logistic_regression,max_hidden_dist,165,36,0.6538131313131312,0.6057659932659933,0.71756734006734,0.5650126262626263,0.5252714646464647,0.6173737373737374,0.8881173056033731,0.8639207594522809,0.9151558528766516
RMU-LAT,concat_all_wrong_ordered,mean_difference,all_ordered_by_ext,165,36,0.6428829966329966,0.5812037037037037,0.6962794612794613,0.5150126262626262,0.4893434343434343,0.569570707070707,0.8844239986977979,0.8512123124677877,0.9139290541377684
RMU-LAT,concat_all_wrong_ordered,logistic_regression,all_ordered_by_ext,165,36,0.6524116161616161,0.603007154882155,0.7104292929292929,0.5518686868686868,0.528125,0.5852714646464647,0.8929451717556693,0.8747791997457172,0.91853353681727
RMU-LAT,mean_plus_spread,mean_difference,mean_plus_spread,165,36,0.6505008417508418,0.5747285353535353,0.7020580808080809,0.5088762626262626,0.4845454545454545,0.5471590909090909,0.8843728916234246,0.8480349401733183,0.9117538073189058
RMU-LAT,mean_plus_spread,logistic_regression,mean_plus_spread,165,36,0.6747769360269361,0.591087962962963,0.7271338383838384,0.5714267676767676,0.5200568181818181,0.6291919191919192,0.903035920535612,0.8623591292571993,0.9212263368631454
RMU,correct_only,mean_difference,none,173,44,0.5825308723068838,0.4963199553336836,0.6465416447714135,0.4998127955859169,0.4840317919075144,0.514201261166579,0.8320220635679683,0.7973043324048554,0.8586668009361916
RMU,correct_only,logistic_regression,none,173,44,0.5523811087756174,0.4969308328954282,0.5980737651077246,0.5163885969521809,0.4718060299527062,0.5461836573830794,0.8302369189015634,0.7945013652757481,0.8537136619427738
RMU,correct_minus_mean_wrong,mean_difference,mean_all_wrong,173,44,0.6855885444035733,0.6330136626379401,0.7323075407251708,0.5276898318444561,0.5026931161324225,0.5629581581713085,0.8799951821455849,0.8523398849498591,0.904624338108008
RMU,correct_minus_mean_wrong,logistic_regression,mean_all_wrong,173,44,0.7200735680504468,0.672907908565423,0.766835260115607,0.6115179978980557,0.551095310036784,0.6542367314766159,0.9009451840041868,0.875438851060346,0.9258727863155192
RMU,correct_minus_strongest_wrong,mean_difference,max_base_ext,173,44,0.6578363110877561,0.6050676563321072,0.7017899369416709,0.5502233315817132,0.5007718076720967,0.5834553993694167,0.8674038488431932,0.835431738850594,0.8864602226088325
RMU,correct_minus_strongest_wrong,logistic_regression,max_base_ext,173,44,0.6541907514450866,0.6095310036784024,0.6976714398318444,0.5831680241723596,0.53213183131897,0.6535240409879137,0.8691970244978908,0.8506484273803951,0.8859892612282052
RMU,correct_minus_closest_wrong,mean_difference,min_hidden_dist,173,44,0.6479933000525486,0.5993332895428272,0.6794042301629006,0.5557803468208092,0.5238094456121912,0.5891322911192853,0.8662592891914966,0.8420162780409426,0.8809675303200353
