method,quintile,suppressed_rate
GradDiff,1,0.625
GradDiff,2,0.875
GradDiff,3,0.9032258064516129
GradDiff,4,0.9375
GradDiff,5,1.0
PB&J,1,0.48
PB&J,2,0.72
PB&J,3,0.8367346938775511
PB&J,4,0.86
PB&J,5,0.9
RMU,1,0.6136363636363636
RMU,2,0.6976744186046512
RMU,3,0.8837209302325582
RMU,4,0.9069767441860465
RMU,5,0.8863636363636364
RMU-LAT,1,0.6829268292682927
RMU-LAT,2,0.8
RMU-LAT,3,0.825
RMU-LAT,4,0.875
RMU-LAT,5,0.925
RepNoise,1,0.5714285714285714
RepNoise,2,0.6451612903225806
RepNoise,3,0.8095238095238095
RepNoise,4,0.9032258064516129
RepNoise,5,0.9841269841269841
ELM,1,0.5957446808510638
ELM,2,0.6521739130434783
ELM,3,0.9130434782608695
ELM,4,0.8695652173913043
ELM,5,1.0
RR,1,0.7317073170731707
RR,2,0.8
RR,3,0.925
RR,4,0.95
RR,5,0.9512195121951219
TAR,1,0.5306122448979592
TAR,2,0.7346938775510204
TAR,3,0.8333333333333334
TAR,4,0.8775510204081632
TAR,5,0.9183673469387755
