label_a,label_b,n_questions_with_both_labels,jaccard_similarity,p_label_b_given_a,p_label_a_given_b
is_ideation,is_ideation,83,1.0,1.0,1.0
is_ideation,is_design,10,0.01564945226917058,0.12048192771084337,0.0176678445229682
is_ideation,is_build,6,0.011764705882352941,0.07228915662650602,0.013856812933025405
is_ideation,is_test,7,0.04093567251461988,0.08433734939759036,0.07368421052631578
is_ideation,is_learn,1,0.007874015748031496,0.012048192771084338,0.022222222222222223
is_ideation,is_release,23,0.08679245283018867,0.27710843373493976,0.11219512195121951
is_ideation,is_test_learn,8,0.0392156862745098,0.0963855421686747,0.06201550387596899
is_ideation,is_background_knowledge,0,0.0,0.0,0.0
is_ideation,is_cannot_determine,0,0.0,0.0,0.0
is_design,is_ideation,10,0.01564945226917058,0.0176678445229682,0.12048192771084337
is_design,is_design,566,1.0,1.0,1.0
is_design,is_build,241,0.3179419525065963,0.42579505300353354,0.5565819861431871
is_design,is_test,39,0.06270096463022508,0.06890459363957598,0.4105263157894737
is_design,is_learn,25,0.042662116040955635,0.044169611307420496,0.5555555555555556
is_design,is_release,85,0.1239067055393586,0.1501766784452297,0.4146341463414634
is_design,is_test_learn,54,0.0842433697347894,0.09540636042402827,0.4186046511627907
is_design,is_background_knowledge,12,0.012461059190031152,0.02120141342756184,0.029339853300733496
is_design,is_cannot_determine,0,0.0,0.0,0.0
is_build,is_ideation,6,0.011764705882352941,0.013856812933025405,0.07228915662650602
is_build,is_design,241,0.3179419525065963,0.5565819861431871,0.42579505300353354
is_build,is_build,433,1.0,1.0,1.0
is_build,is_test,30,0.060240963855421686,0.06928406466512702,0.3157894736842105
is_build,is_learn,14,0.03017241379310345,0.03233256351039261,0.3111111111111111
is_build,is_release,37,0.06156405990016639,0.08545034642032333,0.18048780487804877
is_build,is_test_learn,40,0.07662835249042145,0.09237875288683603,0.31007751937984496
is_build,is_background_knowledge,18,0.021844660194174758,0.04157043879907621,0.044009779951100246
is_build,is_cannot_determine,0,0.0,0.0,0.0
is_test,is_ideation,7,0.04093567251461988,0.07368421052631578,0.08433734939759036
is_test,is_design,39,0.06270096463022508,0.4105263157894737,0.06890459363957598
is_test,is_build,30,0.060240963855421686,0.3157894736842105,0.06928406466512702
is_test,is_test,95,1.0,1.0,1.0
is_test,is_learn,11,0.08527131782945736,0.11578947368421053,0.24444444444444444
is_test,is_release,14,0.04895104895104895,0.14736842105263157,0.06829268292682927
is_test,is_test_learn,95,0.7364341085271318,1.0,0.7364341085271318
is_test,is_background_knowledge,4,0.008,0.042105263157894736,0.009779951100244499
is_test,is_cannot_determine,0,0.0,0.0,0.0
is_learn,is_ideation,1,0.007874015748031496,0.022222222222222223,0.012048192771084338
is_learn,is_design,25,0.042662116040955635,0.5555555555555556,0.044169611307420496
is_learn,is_build,14,0.03017241379310345,0.3111111111111111,0.03233256351039261
is_learn,is_test,11,0.08527131782945736,0.24444444444444444,0.11578947368421053
is_learn,is_learn,45,1.0,1.0,1.0
is_learn,is_release,8,0.03305785123966942,0.17777777777777778,0.03902439024390244
is_learn,is_test_learn,45,0.3488372093023256,1.0,0.3488372093023256
is_learn,is_background_knowledge,1,0.002207505518763797,0.022222222222222223,0.0024449877750611247
