method,label,n_questions_with_label,n_eligible_rows_with_label,mean_balanced_shift,median_balanced_shift,ci95_low,ci95_high,sign_probability_positive,sign_probability_negative,bootstrap_repetitions,bootstrap_seed
ELM,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
GradDiff,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
PB_J,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
RMU-LAT,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
RR,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
RepNoise,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
TAR,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
ELM,is_design,54,54,-0.13653729396976005,-0.13793103448275862,-0.4074074074074074,0.14814814814814814,0.1332,0.7996,5000,42
GradDiff,is_design,41,41,0.08509285326895767,0.08333333333333334,-0.25000000000000006,0.42857142857142855,0.6266,0.249,5000,42
PB_J,is_design,66,66,0.08300119639556304,0.08620689655172414,-0.1064019756838906,0.2708806818181811,0.7826,0.1648,5000,42
RMU-LAT,is_design,52,52,-0.020959346702207608,-0.023809523809523836,-0.2439024390243903,0.19444444444444442,0.3846,0.5274,5000,42
RR,is_design,48,48,0.1786350182975012,0.17948717948717952,-0.07697368421052636,0.42857142857142855,0.8938,0.0654,5000,42
RepNoise,is_design,88,88,-0.006140281980912596,0.0,-0.20456002331002335,0.2,0.4324,0.4826,5000,42
TAR,is_design,76,76,0.038036053824714006,0.032258064516129115,-0.19444444444444448,0.27027027027027023,0.5786,0.3276,5000,42
ELM,is_build,34,34,-0.1317782337086136,-0.1333333333333333,-0.3913043478260869,0.13516584766584722,0.1306,0.7986,5000,42
GradDiff,is_build,28,28,0.03662848264117939,0.047619047619047616,-0.2857142857142857,0.3684210526315789,0.5162,0.3396,5000,42
PB_J,is_build,51,51,0.05412566975416528,0.054058441558441556,-0.1333333333333333,0.24561403508771934,0.6756,0.2578,5000,42
RMU-LAT,is_build,30,30,-0.11132467715012093,-0.11363636363636365,-0.30952380952380953,0.09762195121951134,0.1242,0.8242,5000,42
RR,is_build,31,31,0.07276201388170517,0.07142857142857145,-0.16666666666666666,0.3157894736842105,0.676,0.232,5000,42
RepNoise,is_build,52,52,0.0746460619555375,0.07499999999999996,-0.12728239845261125,0.276595744680851,0.7334,0.1962,5000,42
TAR,is_build,43,43,-0.023548550622699435,-0.02702702702702703,-0.25,0.20514705882352918,0.3776,0.5278,5000,42
ELM,is_test,6,6,0.023877106013012878,0.03125,-0.09523809523809523,0.14814814814814814,0.525,0.2268,5000,42
GradDiff,is_test,5,5,-0.15045555996169468,-0.14285714285714285,-0.375,0.04550865800865722,0.0274,0.8922,5000,42
PB_J,is_test,6,6,0.060652908623873555,0.057692307692307696,-0.018518518518518517,0.14545454545454545,0.902,0.0342,5000,42
RMU-LAT,is_test,4,4,0.02696920807075508,0.025,-0.05405405405405406,0.11627906976744186,0.6278,0.166,5000,42
RR,is_test,9,9,0.037745311522365335,0.03571428571428571,-0.1,0.1875,0.6008,0.2284,5000,42
RepNoise,is_test,6,6,-0.007271839526472024,0.0,-0.09304142441860465,0.07692307692307693,0.3164,0.4542,5000,42
TAR,is_test,7,7,0.000710400843624713,0.0,-0.1111111111111111,0.1111111111111111,0.4034,0.3836,5000,42
ELM,is_learn,4,4,0.0005382512750366956,0.0,-0.10526315789473684,0.10714285714285714,0.3434,0.336,5000,42
GradDiff,is_learn,3,3,0.043427882192240586,0.043478260869565216,0.0,0.16666666666666666,0.5236,0.0,5000,42
PB_J,is_learn,5,5,0.0448712399760974,0.04,-0.022234848484848482,0.12244897959183673,0.8318,0.0706,5000,42
RMU-LAT,is_learn,5,5,0.04450493445898801,0.04545454545454545,-0.047619047619047616,0.13961794019933438,0.742,0.1042,5000,42
RR,is_learn,5,5,-0.024125967430678963,-0.030303030303030304,-0.14814814814814814,0.09375,0.2424,0.5334,5000,42
RepNoise,is_learn,7,7,0.0013737223979155032,0.0,-0.08888888888888889,0.09090909090909091,0.4112,0.3828,5000,42
TAR,is_learn,6,6,0.028451882976330535,0.027777777777777776,-0.0625,0.13157894736842105,0.5998,0.1818,5000,42
ELM,is_release,17,17,-0.1439952243317446,-0.14285714285714288,-0.37037037037037035,0.07999999999999999,0.0728,0.8686,5000,42
GradDiff,is_release,13,13,-0.03222356499226214,-0.037037037037037035,-0.2941176470588235,0.22222222222222224,0.3106,0.502,5000,42
PB_J,is_release,18,18,0.04584855136221362,0.04255319148936171,-0.0926033591731266,0.1851851851851852,0.6974,0.2118,5000,42
RMU-LAT,is_release,14,14,0.07547187328944978,0.075,-0.075,0.22857142857142856,0.7974,0.1248,5000,42
RR,is_release,12,12,-0.015214935867471515,0.0,-0.1923076923076923,0.16003225806451568,0.3516,0.4792,5000,42
RepNoise,is_release,26,26,0.2135225006388831,0.21276595744680848,0.08108108108108109,0.3541666666666667,0.9994,0.0,5000,42
TAR,is_release,17,17,0.03570888271557749,0.03125,-0.12123059866962306,0.1935483870967742,0.6022,0.2658,5000,42
ELM,is_test_learn,9,9,0.012110410618291814,0.0,-0.14285714285714285,0.16666666666666666,0.4668,0.3336,5000,42
GradDiff,is_test_learn,8,8,-0.10509593717412798,-0.1,-0.35,0.1111111111111111,0.1064,0.7448,5000,42
PB_J,is_test_learn,9,9,0.07361469511265191,0.07272727272727272,-0.020844414893617026,0.17647058823529413,0.9036,0.045,5000,42
RMU-LAT,is_test_learn,9,9,0.07195479068390995,0.07142857142857142,-0.049999999999999996,0.1951219512195122,0.8286,0.0832,5000,42
RR,is_test_learn,12,12,-0.01553392532753992,0.0,-0.19230769230769232,0.16666666666666666,0.3516,0.4932,5000,42
RepNoise,is_test_learn,12,12,-0.014267418456316964,-0.01999999999999999,-0.1282051282051282,0.1,0.3202,0.5186,5000,42
TAR,is_test_learn,11,11,0.006569124610213399,0.0,-0.12903225806451613,0.14285714285714285,0.452,0.3726,5000,42
ELM,is_background_knowledge,32,32,0.1476054844803724,0.14814814814814814,-0.09523809523809523,0.3846153846153846,0.8556,0.0808,5000,42
GradDiff,is_background_knowledge,30,30,-0.006170469500498119,0.0,-0.33333333333333337,0.3333333333333333,0.4182,0.443,5000,42
PB_J,is_background_knowledge,32,32,-0.14485897276096332,-0.14415584415584415,-0.3207547169811321,0.020000000000000018,0.0366,0.9432,5000,42
RMU-LAT,is_background_knowledge,33,33,-0.016500629452411045,-0.0222222222222222,-0.22499999999999998,0.19999999999999998,0.39,0.5124,5000,42
RR,is_background_knowledge,37,37,-0.23131244738352333,-0.23333333333333334,-0.48151340996168585,0.03125,0.028,0.9482,5000,42
RepNoise,is_background_knowledge,45,45,-0.12092410473316886,-0.11904761904761907,-0.3170731707317073,0.07142857142857145,0.0912,0.8642,5000,42
TAR,is_background_knowledge,34,34,-0.04604666098122584,-0.04545454545454543,-0.2647058823529411,0.17142857142857143,0.291,0.6068,5000,42
ELM,is_cannot_determine,3,3,0.03743829895671921,0.03571428571428571,0.0,0.125,0.6286,0.0,5000,42
GradDiff,is_cannot_determine,4,4,-0.013837832800971924,0.0,-0.16666666666666666,0.14285714285714285,0.2518,0.3848,5000,42
PB_J,is_cannot_determine,3,3,-0.02061270021281673,-0.018867924528301886,-0.08620689655172414,0.038461538461538464,0.1594,0.6366,5000,42
RMU-LAT,is_cannot_determine,1,1,-0.024997677206251193,-0.023809523809523808,-0.08333333333333333,0.0,0.0,0.6296,5000,42
RR,is_cannot_determine,3,3,-0.003310624304408625,0.0,-0.1,0.09375,0.313,0.364,5000,42
