method,label,n_rows_with_label,n_unique_questions_with_label,suppressed_count_with_label,forgotten_count_with_label,suppressed_rate_with_label,suppressed_rate_for_method,method_centered_effect,ci95_low,ci95_high
ELM,is_ideation,0,0,0,0,,0.7523809523809524,,,
ELM,is_design,54,54,38,16,0.7037037037037037,0.7523809523809524,-0.04867724867724865,-0.11362383729893619,0.01250752048131065
ELM,is_build,34,34,23,11,0.6764705882352942,0.7523809523809524,-0.07591036414565822,-0.17728535353535352,0.019238115449915043
ELM,is_test,6,6,5,1,0.8333333333333334,0.7523809523809524,0.080952380952381,-0.23134328358208955,0.2857142857142857
ELM,is_learn,4,4,3,1,0.75,0.7523809523809524,-0.0023809523809523725,-0.7121212121212122,0.28787878787878785
ELM,is_release,17,17,10,7,0.5882352941176471,0.7523809523809524,-0.1641456582633053,-0.3424573863636363,0.011538461538461497
ELM,is_test_learn,9,9,7,2,0.7777777777777778,0.7523809523809524,0.025396825396825418,-0.21433901918976545,0.25758797653958926
ELM,is_background_knowledge,32,32,27,5,0.84375,0.7523809523809524,0.09136904761904763,0.005597575269211069,0.18643629388514296
ELM,is_cannot_determine,3,3,3,0,1.0,0.7523809523809524,0.24761904761904763,0.18271446862996157,0.3088235294117647
GradDiff,is_ideation,0,0,0,0,,0.8023255813953488,,,
GradDiff,is_design,41,41,34,7,0.8292682926829268,0.8023255813953488,0.02694271128757797,-0.04041434755720473,0.09524257914088416
GradDiff,is_build,28,28,23,5,0.8214285714285714,0.8023255813953488,0.019102990033222578,-0.07446143768512188,0.11667145593869728
GradDiff,is_test,5,5,2,3,0.4,0.8023255813953488,-0.4023255813953488,-0.8245614035087719,0.15858823529411822
GradDiff,is_learn,3,3,3,0,1.0,0.8023255813953488,0.19767441860465118,0.12962962962962965,0.2592592592592593
GradDiff,is_release,13,13,10,3,0.7692307692307693,0.8023255813953488,-0.033094812164579546,-0.21137291280148418,0.1607142857142857
GradDiff,is_test_learn,8,8,5,3,0.625,0.8023255813953488,-0.17732558139534882,-0.4848484848484849,0.1636363636363637
GradDiff,is_background_knowledge,30,30,24,6,0.8,0.8023255813953488,-0.0023255813953487747,-0.09028118191721134,0.08996556956115757
GradDiff,is_cannot_determine,4,4,3,1,0.75,0.8023255813953488,-0.05232558139534882,-0.7351270696958029,0.23529411764705888
PB_J,is_ideation,0,0,0,0,,0.5384615384615384,,,
PB_J,is_design,66,66,38,28,0.5757575757575758,0.5384615384615384,0.037296037296037365,-0.023414634146341484,0.10000237567310732
PB_J,is_build,51,51,29,22,0.5686274509803921,0.5384615384615384,0.0301659125188537,-0.04977008258258255,0.11091657238033722
PB_J,is_test,6,6,5,1,0.8333333333333334,0.5384615384615384,0.29487179487179493,-0.006413502109704677,0.5070932843437437
