method,label,n_present,n_absent,suppressed_rate_present,suppressed_rate_absent,present_minus_absent_effect,ci95_low,ci95_high
ELM,is_ideation,0,105,,0.7523809523809524,,,
ELM,is_design,54,51,0.7037037037037037,0.803921568627451,-0.10021786492374729,-0.22857142857142854,0.025210777126099523
ELM,is_build,34,71,0.6764705882352942,0.7887323943661971,-0.11226180613090297,-0.25610035070938947,0.02729741019214693
ELM,is_test,6,99,0.8333333333333334,0.7474747474747475,0.08585858585858586,-0.2384615384615385,0.30000000000000004
ELM,is_learn,4,101,0.75,0.7524752475247525,-0.0024752475247524774,-0.7230769230769231,0.296875
ELM,is_release,17,88,0.5882352941176471,0.7840909090909091,-0.19585561497326198,-0.39815323565323557,0.013182482721956088
ELM,is_test_learn,9,96,0.7777777777777778,0.75,0.02777777777777779,-0.22881355932203384,0.2758885941644558
ELM,is_background_knowledge,32,73,0.84375,0.7123287671232876,0.13142123287671237,0.007935723696593233,0.2631686212814644
ELM,is_cannot_determine,3,102,1.0,0.7450980392156863,0.2549019607843137,0.19047619047619047,0.31746031746031744
GradDiff,is_ideation,0,86,,0.8023255813953488,,,
GradDiff,is_design,41,45,0.8292682926829268,0.7777777777777778,0.051490514905149,-0.07758620689655171,0.17971739130434772
GradDiff,is_build,28,58,0.8214285714285714,0.7931034482758621,0.028325123152709297,-0.10935672514619885,0.16974789915966382
GradDiff,is_test,5,81,0.4,0.8271604938271605,-0.4271604938271605,-0.8518518518518519,0.16211734693877594
GradDiff,is_learn,3,83,1.0,0.7951807228915663,0.20481927710843373,0.13725490196078427,0.2692307692307693
GradDiff,is_release,13,73,0.7692307692307693,0.8082191780821918,-0.03898840885142252,-0.24457353593611356,0.18186456400742043
GradDiff,is_test_learn,8,78,0.625,0.8205128205128205,-0.19551282051282048,-0.5167198581560283,0.174040920716113
GradDiff,is_background_knowledge,30,56,0.8,0.8035714285714286,-0.0035714285714285587,-0.13603623382551397,0.1363835725677828
GradDiff,is_cannot_determine,4,82,0.75,0.8048780487804879,-0.054878048780487854,-0.75,0.24528301886792447
PB_J,is_ideation,0,117,,0.5384615384615384,,,
PB_J,is_design,66,51,0.5757575757575758,0.49019607843137253,0.08556149732620327,-0.05477141024386533,0.22575757575757577
PB_J,is_build,51,66,0.5686274509803921,0.5151515151515151,0.053475935828877,-0.08680663254755999,0.19459667650844115
PB_J,is_test,6,111,0.8333333333333334,0.5225225225225225,0.31081081081081086,-0.006582458637253125,0.5333333333333333
PB_J,is_learn,5,112,0.8,0.5267857142857143,0.27321428571428574,-0.06000000000000005,0.5217391304347826
PB_J,is_release,18,99,0.6111111111111112,0.5252525252525253,0.08585858585858586,-0.11474319465844889,0.28571428571428575
PB_J,is_test_learn,9,108,0.7777777777777778,0.5185185185185185,0.2592592592592593,0.0,0.5076984126984125
PB_J,is_background_knowledge,32,85,0.40625,0.5882352941176471,-0.18198529411764708,-0.3401427540713255,-0.027272727272727226
PB_J,is_cannot_determine,3,114,0.3333333333333333,0.543859649122807,-0.21052631578947373,-0.5945945945945946,0.48051948051948057
RMU-LAT,is_ideation,0,97,,0.5876288659793815,,,
RMU-LAT,is_design,52,45,0.5769230769230769,0.6,-0.023076923076923106,-0.1759325396825397,0.12791991101223577
RMU-LAT,is_build,30,67,0.5,0.6268656716417911,-0.12686567164179108,-0.2941258169934641,0.04166666666666663
RMU-LAT,is_test,4,93,0.75,0.5806451612903226,0.16935483870967738,-0.5409836065573771,0.47457627118644063
RMU-LAT,is_learn,5,92,0.8,0.5760869565217391,0.2239130434782609,-0.11904761904761907,0.4821428571428571
RMU-LAT,is_release,14,83,0.7142857142857143,0.5662650602409639,0.1480206540447504,-0.06140350877192979,0.3726102941176462
RMU-LAT,is_test_learn,9,88,0.7777777777777778,0.5681818181818182,0.20959595959595956,-0.06896551724137934,0.4655172413793104
RMU-LAT,is_background_knowledge,33,64,0.5757575757575758,0.59375,-0.0179924242424242,-0.18184029484029485,0.14246031746031734
RMU-LAT,is_cannot_determine,1,96,0.0,0.59375,-0.59375,-0.6721055327868852,-0.5223880597014925
RR,is_ideation,0,95,,0.6947368421052632,,,
RR,is_design,48,47,0.7708333333333334,0.6170212765957447,0.1538120567375887,0.009515599343185518,0.2976304945054944
RR,is_build,31,64,0.7419354838709677,0.671875,0.07006048387096775,-0.0802008363153874,0.22299804389021327
RR,is_test,9,86,0.7777777777777778,0.686046511627907,0.09173126614987082,-0.17798123486682804,0.34545454545454546
RR,is_learn,5,90,0.6,0.7,-0.09999999999999998,-0.7,0.33333333333333337
RR,is_release,12,83,0.6666666666666666,0.6987951807228916,-0.032128514056224966,-0.27779146141215105,0.20834722222222204
RR,is_test_learn,12,83,0.6666666666666666,0.6987951807228916,-0.032128514056224966,-0.28571428571428575,0.20468562711125624
RR,is_background_knowledge,37,58,0.5675675675675675,0.7758620689655172,-0.2082945013979497,-0.36399231775089896,-0.054824561403508776
RR,is_cannot_determine,3,92,0.6666666666666666,0.6956521739130435,-0.02898550724637683,-0.7142857142857143,0.3571428571428571
RepNoise,is_ideation,0,150,,0.7066666666666667,,,
RepNoise,is_design,88,62,0.7045454545454546,0.7096774193548387,-0.00513196480938416,-0.12040034989298679,0.10819677871148449
RepNoise,is_build,52,98,0.75,0.6836734693877551,0.06632653061224492,-0.04444862155388477,0.1875
RepNoise,is_test,6,144,0.6666666666666666,0.7083333333333334,-0.04166666666666674,-0.3970037453183521,0.3126420454545451
RepNoise,is_learn,7,143,0.7142857142857143,0.7062937062937062,0.007992007992008054,-0.3572971781305115,0.31818181818181823
RepNoise,is_release,26,124,0.9615384615384616,0.6532258064516129,0.3083126550868487,0.22499999999999998,0.3950617283950617
RepNoise,is_test_learn,12,138,0.6666666666666666,0.7101449275362319,-0.0434782608695653,-0.27600744843391906,0.18611519607843133
RepNoise,is_background_knowledge,45,105,0.6222222222222222,0.7428571428571429,-0.12063492063492065,-0.24792164855072465,0.01016658520690759
