subset,label,n_questions_with_label,n_eligible_rows_with_label,mean_balanced_shift,median_balanced_shift,ci95_low,ci95_high,sign_probability_positive,sign_probability_negative,bootstrap_repetitions,bootstrap_seed
S0,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S0,is_design,155,425,0.02453012272850056,0.024721916636108093,-0.07421917644650655,0.12121212121212122,0.6738,0.2968,5000,42
S0,is_build,102,269,-0.009700531781695228,-0.008968609865470878,-0.09877721232683064,0.07986458333333328,0.3908,0.5722,5000,42
S0,is_test,17,43,0.00997040615008799,0.008547008547008546,-0.03968253968253968,0.06451612903225806,0.6128,0.3242,5000,42
S0,is_learn,10,35,0.01864543572712286,0.018018018018018018,-0.015874596850692466,0.056523789991796525,0.815,0.1296,5000,42
S0,is_release,42,117,0.0435058060889714,0.04435483870967743,-0.0326268115942029,0.11646775070205631,0.8566,0.1222,5000,42
S0,is_test_learn,25,70,0.013505137086189445,0.013043478260869566,-0.04444669365721997,0.07234042553191489,0.6504,0.3012,5000,42
S0,is_background_knowledge,84,243,-0.06426888980022923,-0.06422018348623854,-0.15574036619118586,0.02362673415823017,0.075,0.9116,5000,42
S0,is_cannot_determine,8,23,0.0018361716699005484,0.0,-0.027238238415281217,0.032922941256274575,0.4798,0.4022,5000,42
S1,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S1,is_design,149,408,0.013870107916908552,0.014492753623188415,-0.08763326628111644,0.11413431677018623,0.5924,0.3736,5000,42
S1,is_build,97,252,-0.017803758575475906,-0.017241379310344834,-0.12308823529411765,0.09090909090909088,0.3544,0.6104,5000,42
S1,is_test,14,37,0.01160026714286303,0.010752688172043015,-0.04519901832962651,0.0707070707070707,0.6186,0.3186,5000,42
S1,is_learn,9,32,0.014885515314243793,0.014742103738046942,-0.02590673575129533,0.05970149253731343,0.7188,0.2056,5000,42
S1,is_release,34,96,0.0538401576591794,0.054545454545454564,-0.01951943974885292,0.12560447163352997,0.9162,0.0636,5000,42
S1,is_test_learn,22,64,0.015248343892102435,0.014778325123152719,-0.04838709677419353,0.08253298825296346,0.6408,0.2992,5000,42
S1,is_background_knowledge,36,102,-0.06533345032674853,-0.06532663316582915,-0.14778325123152708,0.0189596027984653,0.0514,0.9316,5000,42
S1,is_cannot_determine,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S2,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S2,is_design,155,425,0.026440227283061352,0.026315789473684292,-0.07280104582901688,0.12654042386185224,0.6836,0.2864,5000,42
S2,is_build,102,269,-0.008530108167845588,-0.00829875518672199,-0.10044514403710099,0.08375108664155308,0.4138,0.5504,5000,42
S2,is_test,17,43,0.009857595634153253,0.009049773755656108,-0.044646188699360344,0.0627808106410173,0.6196,0.3236,5000,42
S2,is_learn,10,35,0.018803573284591646,0.017785686041913797,-0.016194331983805665,0.05809640325251653,0.8136,0.1324,5000,42
S2,is_release,42,117,0.04399553485380064,0.04417670682730924,-0.03347280334728034,0.12121825542878166,0.8522,0.1222,5000,42
S2,is_test_learn,25,70,0.013541388046924356,0.013215859030837003,-0.04583333333333333,0.07327794235121819,0.6482,0.301,5000,42
S2,is_background_knowledge,76,220,-0.0673045726892911,-0.06707491251874599,-0.16017316017316013,0.022527641277641196,0.067,0.9182,5000,42
S2,is_cannot_determine,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S3,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S3,is_design,155,425,-0.0222740802709063,-0.02253539008442834,-0.125,0.08537074475022825,0.318,0.6432,5000,42
S3,is_build,102,269,-0.04808426843654234,-0.04825097491414937,-0.16574659497148936,0.06315789473684208,0.2008,0.7746,5000,42
S3,is_test,17,43,0.007499459075434639,0.006116265150381564,-0.06282722513089005,0.07843393902063438,0.553,0.3818,5000,42
S3,is_learn,10,35,0.020627722017463542,0.019999999999999997,-0.025810640971931295,0.07262823768410356,0.7672,0.1642,5000,42
S3,is_release,42,117,0.04347792297282103,0.043853021978021975,-0.05496031746031745,0.14371351047904193,0.7932,0.1752,5000,42
S3,is_test_learn,25,70,0.008755840572275264,0.010610154227175497,-0.071857265860436,0.08824295343137244,0.566,0.38,5000,42
S3,is_background_knowledge,19,52,-0.019533869101409886,-0.017441860465116282,-0.10106532393019363,0.05298013245033113,0.295,0.6508,5000,42
S3,is_cannot_determine,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S4,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S4,is_design,155,425,-0.0222740802709063,-0.02253539008442834,-0.125,0.08537074475022825,0.318,0.6432,5000,42
S4,is_build,102,269,-0.04808426843654234,-0.04825097491414937,-0.16574659497148936,0.06315789473684208,0.2008,0.7746,5000,42
S4,is_test,17,43,0.007499459075434639,0.006116265150381564,-0.06282722513089005,0.07843393902063438,0.553,0.3818,5000,42
S4,is_learn,10,35,0.020627722017463542,0.019999999999999997,-0.025810640971931295,0.07262823768410356,0.7672,0.1642,5000,42
S4,is_release,42,117,0.04347792297282103,0.043853021978021975,-0.05496031746031745,0.14371351047904193,0.7932,0.1752,5000,42
S4,is_test_learn,25,70,0.008755840572275264,0.010610154227175497,-0.071857265860436,0.08824295343137244,0.566,0.38,5000,42
S4,is_background_knowledge,19,52,-0.019533869101409886,-0.017441860465116282,-0.10106532393019363,0.05298013245033113,0.295,0.6508,5000,42
S4,is_cannot_determine,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
