subset,model,balanced_accuracy_mean,balanced_accuracy_standard_deviation,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_standard_deviation,macro_f1_ci95_low,macro_f1_ci95_high,roc_auc_mean,roc_auc_standard_deviation,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_mean,average_precision_standard_deviation,average_precision_ci95_low,average_precision_ci95_high,log_loss_mean,log_loss_standard_deviation,log_loss_ci95_low,log_loss_ci95_high,brier_score_mean,brier_score_standard_deviation,brier_score_ci95_low,brier_score_ci95_high,delta_balanced_accuracy_vs_A_mean,delta_balanced_accuracy_vs_A_standard_deviation,delta_balanced_accuracy_vs_A_ci95_low,delta_balanced_accuracy_vs_A_ci95_high,delta_macro_f1_vs_A_mean,delta_macro_f1_vs_A_standard_deviation,delta_macro_f1_vs_A_ci95_low,delta_macro_f1_vs_A_ci95_high,delta_roc_auc_vs_A_mean,delta_roc_auc_vs_A_standard_deviation,delta_roc_auc_vs_A_ci95_low,delta_roc_auc_vs_A_ci95_high,delta_log_loss_vs_A_mean,delta_log_loss_vs_A_standard_deviation,delta_log_loss_vs_A_ci95_low,delta_log_loss_vs_A_ci95_high,delta_brier_score_vs_A_mean,delta_brier_score_vs_A_standard_deviation,delta_brier_score_vs_A_ci95_low,delta_brier_score_vs_A_ci95_high
S0,Model A,0.5594366415767829,0.01137213748684937,0.5384958679289206,0.5762275936990766,0.5579111960465069,0.013447537406833772,0.5323571888625936,0.5777290573285929,0.5672767129665555,0.00888708672533315,0.5477466633041049,0.5820802940948242,0.7212230999613913,0.006454112438007794,0.7090689137349799,0.7330073900379602,0.6834374521746795,0.0026516978386646947,0.6792584774383763,0.6890274094487974,0.24501496216727908,0.0012750094286611755,0.24301302094306215,0.2477404240567184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0,Model B,0.5588761930627764,0.010104541654356055,0.5456762629005976,0.5781269884379607,0.5468867262562602,0.010043127700769698,0.5340812337482836,0.5667980831366497,0.5661585318538063,0.008567861468131037,0.5518944478932257,0.5809489213936524,0.7079178885931394,0.0071651072764263015,0.6971380142438034,0.7194296392730949,0.6920092772256785,0.003231501619125503,0.6859318558930836,0.6968854335938892,0.24877247141409814,0.0014752763571736305,0.24599109280739334,0.25114861300475655,-0.0005604485140063509,0.013221241002595946,-0.021758458136106114,0.023925467525413233,-0.011024469790246577,0.014994574896740692,-0.03406652997926553,0.01894382129222653,-0.001118181112749267,0.010662114493313566,-0.01886862729882823,0.019591933731667528,0.008571825050999021,0.003465121140133964,0.0032491410809883992,0.013855788380871523,0.003757509246819077,0.0015851816692308567,0.0012599111451469468,0.006027152205400329
S0,Model C,0.5600979669434315,0.011405111036878952,0.5426403546209358,0.5822274385039187,0.5483193516391338,0.010742965732806376,0.5321470594299089,0.5699238474225344,0.5678431752929309,0.00884245848446651,0.5536920928067045,0.5855184488243966,0.7083891184869802,0.0074877882357297885,0.6981255395129023,0.7220911639035338,0.6908811335153069,0.003479220122987866,0.6836953311058549,0.6963842807972224,0.2482567091538866,0.0015947355154119498,0.24497546874481518,0.25082373290727294,0.000661325366648563,0.013852544607356273,-0.02669347016373086,0.021745266547683734,-0.009591844407373023,0.01493085170906893,-0.038168547148838945,0.016042007013220515,0.0005664623263754387,0.009624380595857008,-0.013805579265926756,0.019299584852952544,0.007443681340627173,0.003399119457753046,0.0013520736820093193,0.012808985976541367,0.0032417469866075133,0.0015489835994817855,0.0004635998051349989,0.005674014254648899
S0,Model D,0.5575777915729029,0.013335957788386081,0.5329209668658338,0.578342709707457,0.5384389343681321,0.011703351256318063,0.5143484047913018,0.5575365114662219,0.5650768216031661,0.011205696626472047,0.5431621013424381,0.5794180181578334,0.729749685074449,0.008616377312141403,0.7144242103825346,0.7420256586699855,0.6994600251278625,0.0057582290118681915,0.6919628991949419,0.708837328301475,0.251973172133691,0.002587949418749541,0.2487250259530606,0.2567604559759808,-0.0018588500038798806,0.015034723395017727,-0.03234742376037872,0.01602147512997605,-0.019472261678374802,0.015468317892879065,-0.04812939938104809,0.00281099918302748,-0.002199891363389461,0.011950832213546656,-0.024753433692868705,0.016008574532474548,0.016022572953182913,0.005831140376218082,0.0072756501610796885,0.025715394685510703,0.00695820996641198,0.0026308905412601273,0.0031424002863359364,0.011432251887346803
S1,Model A,0.5650349650349651,0.010870815398915329,0.5428515928515928,0.5804195804195804,0.5644960760269331,0.012551636284265083,0.5384974552557963,0.582162070469636,0.5546452285088649,0.010610737228064892,0.5375284017329471,0.577694632808269,0.7163850273790594,0.007500922914056261,0.7035332208610179,0.7280804603223213,0.6846814800865089,0.0028692786922408457,0.6801223820525665,0.6901555171317949,0.24563082630510502,0.0013894239836537072,0.24334465577777184,0.24824806216793122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,Model B,0.5715229215229216,0.010341855915594311,0.5562742812742812,0.5867958430458431,0.5562844875888849,0.009688931731514791,0.5417534908758025,0.5709088157096961,0.576781215417579,0.013061902054764814,0.5538048021002566,0.5982183431047068,0.7159231764211772,0.009883276850392605,0.6969808677806271,0.7316992837498969,0.690744399632925,0.006177937682511209,0.6811489906426866,0.700755357216564,0.24802435668745915,0.002790845995331269,0.24350439771325139,0.2523844704457061,0.006487956487956509,0.012298612331425226,-0.017579642579642597,0.0243055555555556,-0.008211588438048163,0.01373686370272051,-0.031017765478088398,0.013245224315210004,0.022135986908714177,0.009887735234913857,0.008230910503637811,0.038238150738150616,0.006062919546415996,0.005643280540176606,-0.0017799006811425682,0.017478934651220114,0.0023935303823541115,0.002476772680262745,-0.0012235345323356045,0.007341760011488145
S1,Model C,0.5741452991452991,0.012758883109261427,0.5525301087801088,0.5948572261072261,0.5595893425906475,0.012771761753293418,0.5391710488235368,0.5802681539358683,0.581801111346566,0.012218821309628923,0.5622340832568106,0.6018400791128065,0.7184812972625904,0.009326063870426353,0.7020777905675314,0.7343525017101284,0.6876211597132078,0.00491766495549187,0.6779984149026801,0.6944930563014381,0.2466360835095013,0.002304475199141427,0.24210357509572528,0.24971302571249418,0.009110334110334106,0.014163924865743013,-0.019216200466200463,0.029404623154623125,-0.004906733436285537,0.015696292612364153,-0.0338309280766011,0.021814403111512698,0.02715588283770106,0.008903707394746828,0.0141995420404513,0.0420333874879329,0.002939679626698799,0.003950916922785116,-0.004108101022342025,0.008891699392037485,0.0010052572043962344,0.0017950209648922761,-0.00231723198912243,0.0036662944069830086
S1,Model D,0.5529040404040403,0.014207096998343594,0.5344648407148408,0.5755050505050504,0.5381988693012654,0.013061540007712773,0.5185786012760827,0.5570542792753557,0.5601233783051964,0.013185917776024417,0.5387327529372984,0.5793347225165407,0.7213756941233898,0.011435959357250614,0.7007507019332644,0.7377795640643002,0.7038991062113633,0.008499555740166838,0.6906693815744893,0.7180932297139367,0.2534757748208703,0.0034827002843830163,0.2479704475619284,0.25870090048090283,-0.012130924630924628,0.014781227936133585,-0.03574689199689197,0.01286907536907527,-0.026297206725667727,0.01508969100019282,-0.050974166423365365,0.001114122600660958,0.005478149796331616,0.010149979913012587,-0.007584145652327462,0.025464287396105567,0.019217626124854243,0.00755259248312133,0.007752034692953605,0.03162013337012528,0.007844948515765301,0.0030177215618578416,0.0031188019191976894,0.012382197959562817
S2,Model A,0.5563725490196079,0.00937714995136225,0.5397373949579832,0.5697023809523809,0.5543583372219715,0.011547358567530912,0.5331877000408314,0.5704350779537646,0.5634066567803592,0.009205059098251794,0.545977508650519,0.5757975984511452,0.7192381346747286,0.0070138821946063796,0.7058802171135367,0.7294595610955253,0.6846891369196463,0.0026112764760335247,0.6804185612182012,0.6894181686171912,0.24566576688706485,0.0012523655744749763,0.2436319676846723,0.247956127418614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,Model B,0.561358543417367,0.01036592857944579,0.541313025210084,0.5789355742296919,0.5470406676115441,0.009296779176666749,0.5297283363001382,0.5613262494720526,0.5697075300708518,0.011006694756116037,0.5463931454934915,0.5816102323282254,0.7123611695705744,0.007231371812098014,0.6966969907661059,0.7210457262467294,0.6914798581366213,0.005079560700856441,0.6852937869849041,0.7022018144898585,0.24860748334375016,0.002323092155204485,0.2457721719504911,0.25344210209605933,0.004985994397759086,0.011178781523098752,-0.01380602240896359,0.022002801120448157,-0.007317669610427286,0.012356896816206733,-0.02863448073744034,0.014743823883336884,0.00630087329049267,0.008714189573715638,-0.009879510627780433,0.0186728662053057,0.006790721216974771,0.0039396995047922935,0.0018584131034014711,0.014713837729309827,0.0029417164566853003,0.0017806293314860996,0.000714962676844963,0.006387028570137212
