method,label,n_rows_with_label,n_unique_questions_with_label,suppressed_count_with_label,forgotten_count_with_label,suppressed_rate_with_label,suppressed_rate_for_method,method_centered_effect,ci95_low,ci95_high
ELM,is_ideation,2,2,2,0,1.0,0.7523809523809524,0.24761904761904763,0.18181818181818177,0.3088235294117647
ELM,is_design,51,51,37,14,0.7254901960784313,0.7523809523809524,-0.026890756302521024,-0.09726570800926519,0.0386513086740212
ELM,is_build,13,13,8,5,0.6153846153846154,0.7523809523809524,-0.13699633699633695,-0.3575879765395894,0.07499999999999996
ELM,is_test,6,6,5,1,0.8333333333333334,0.7523809523809524,0.080952380952381,-0.23770491803278693,0.2857142857142857
ELM,is_learn,4,4,3,1,0.75,0.7523809523809524,-0.0023809523809523725,-0.7004850746268656,0.288135593220339
ELM,is_release,6,6,3,3,0.5,0.7523809523809524,-0.2523809523809524,-0.7334895833333333,0.22058823529411764
ELM,is_test_learn,10,10,8,2,0.8,0.7523809523809524,0.04761904761904767,-0.14603766879886287,0.25813464235624023
ELM,is_background_knowledge,39,39,30,9,0.7692307692307693,0.7523809523809524,0.0168498168498169,-0.06772639777303958,0.10357915778251585
GradDiff,is_ideation,1,1,1,0,1.0,0.8023255813953488,0.19767441860465118,0.12962962962962965,0.2586206896551724
GradDiff,is_design,37,37,29,8,0.7837837837837838,0.8023255813953488,-0.018541797611565047,-0.09454545454545449,0.05870576837557953
GradDiff,is_build,10,10,7,3,0.7,0.8023255813953488,-0.10232558139534886,-0.33333333333333337,0.16077806122448884
GradDiff,is_test,5,5,3,2,0.6,0.8023255813953488,-0.20232558139534884,-0.7880494505494505,0.21052631578947367
GradDiff,is_learn,3,3,3,0,1.0,0.8023255813953488,0.19767441860465118,0.12962962962962965,0.2592592592592593
GradDiff,is_release,9,9,8,1,0.8888888888888888,0.8023255813953488,0.08656330749354002,-0.07354302832244004,0.23529411764705888
GradDiff,is_test_learn,8,8,6,2,0.75,0.8023255813953488,-0.05232558139534882,-0.31355932203389836,0.21057692307692324
GradDiff,is_background_knowledge,41,41,33,8,0.8048780487804879,0.8023255813953488,0.0025524673851390345,-0.06666666666666665,0.07407407407407407
PB_J,is_ideation,0,0,0,0,,0.5384615384615384,,,
PB_J,is_design,58,58,35,23,0.603448275862069,0.5384615384615384,0.06498673740053051,-0.0062947912262980256,0.13636972402597403
PB_J,is_build,18,18,11,7,0.6111111111111112,0.5384615384615384,0.07264957264957272,-0.09999999999999998,0.2507833518449953
PB_J,is_test,7,7,4,3,0.5714285714285714,0.5384615384615384,0.03296703296703296,-0.29291005291005284,0.4473684210526315
PB_J,is_learn,2,2,1,1,0.5,0.5384615384615384,-0.038461538461538436,-0.5774647887323944,0.5
PB_J,is_release,15,15,6,9,0.4,0.5384615384615384,-0.1384615384615384,-0.3357380952380953,0.04922766464868829
PB_J,is_test_learn,9,9,5,4,0.5555555555555556,0.5384615384615384,0.017094017094017144,-0.2568493150684932,0.28685897435897445
PB_J,is_background_knowledge,46,46,21,25,0.45652173913043476,0.5384615384615384,-0.08193979933110368,-0.17053958365578087,0.003818781300398882
RMU-LAT,is_ideation,1,1,1,0,1.0,0.5876288659793815,0.41237113402061853,0.33333333333333337,0.4833333333333333
RMU-LAT,is_design,43,43,27,16,0.627906976744186,0.5876288659793815,0.04027811076480459,-0.045676454692848076,0.125
RMU-LAT,is_build,16,16,8,8,0.5,0.5876288659793815,-0.08762886597938147,-0.27566226783968717,0.09999999999999998
RMU-LAT,is_test,2,2,1,1,0.5,0.5876288659793815,-0.08762886597938147,-0.6307692307692307,0.4516129032258065
RMU-LAT,is_learn,6,6,4,2,0.6666666666666666,0.5876288659793815,0.07903780068728516,-0.27096394984326017,0.43333333333333335
RMU-LAT,is_release,10,10,6,4,0.6,0.5876288659793815,0.012371134020618513,-0.23809523809523808,0.2666666666666667
RMU-LAT,is_test_learn,8,8,5,3,0.625,0.5876288659793815,0.037371134020618535,-0.2738095238095238,0.38987023305084756
RMU-LAT,is_background_knowledge,42,42,23,19,0.5476190476190477,0.5876288659793815,-0.04000981836033379,-0.12452475685234311,0.04822460279248916
RR,is_ideation,0,0,0,0,,0.6947368421052632,,,
RR,is_design,45,45,36,9,0.8,0.6947368421052632,0.10526315789473684,0.030330186051693353,0.18229878371232147
RR,is_build,9,9,8,1,0.8888888888888888,0.6947368421052632,0.19415204678362563,0.02868852459016391,0.3508771929824561
RR,is_test,4,4,3,1,0.75,0.6947368421052632,0.05526315789473679,-0.6551724137931034,0.35
RR,is_learn,3,3,1,2,0.3333333333333333,0.6947368421052632,-0.3614035087719299,-0.7380075662042875,0.3114754098360656
RR,is_release,9,9,6,3,0.6666666666666666,0.6947368421052632,-0.02807017543859658,-0.29630291005291004,0.2858225108225112
RR,is_test_learn,7,7,4,3,0.5714285714285714,0.6947368421052632,-0.12330827067669181,-0.45491803278688525,0.27586206896551724
RR,is_background_knowledge,43,43,25,18,0.5813953488372093,0.6947368421052632,-0.11334149326805387,-0.19855124223602483,-0.033039812330676856
RepNoise,is_ideation,2,2,1,1,0.5,0.7066666666666667,-0.20666666666666667,-0.7419354838709677,0.3231297348484849
RepNoise,is_design,72,72,50,22,0.6944444444444444,0.7066666666666667,-0.012222222222222245,-0.06968486153326571,0.046704931972789035
RepNoise,is_build,17,17,12,5,0.7058823529411765,0.7066666666666667,-0.0007843137254901489,-0.16459848484848483,0.1777777777777777
RepNoise,is_test,6,6,2,4,0.3333333333333333,0.7066666666666667,-0.37333333333333335,-0.7263157894736842,-0.02708964774028455
RepNoise,is_learn,6,6,5,1,0.8333333333333334,0.7066666666666667,0.1266666666666667,-0.18817204301075274,0.33333333333333337
RepNoise,is_release,14,14,11,3,0.7857142857142857,0.7066666666666667,0.07904761904761903,-0.08333333333333337,0.27371023713128934
RepNoise,is_test_learn,12,12,7,5,0.5833333333333334,0.7066666666666667,-0.1233333333333333,-0.3503535624776226,0.10507246376811596
RepNoise,is_background_knowledge,63,63,44,19,0.6984126984126984,0.7066666666666667,-0.008253968253968291,-0.0754421664626682,0.0559028732826317
TAR,is_ideation,0,0,0,0,,0.7107438016528925,,,
TAR,is_design,56,56,42,14,0.75,0.7107438016528925,0.039256198347107474,-0.026786221360420602,0.10864749852903385
TAR,is_build,13,13,9,4,0.6923076923076923,0.7107438016528925,-0.018436109345200236,-0.21621621621621623,0.1766011904761902
TAR,is_test,5,5,3,2,0.6,0.7107438016528925,-0.11074380165289255,-0.699931506849315,0.3026315789473685
TAR,is_learn,4,4,4,0,1.0,0.7107438016528925,0.2892561983471075,0.22666666666666668,0.3513513513513513
TAR,is_release,9,9,6,3,0.6666666666666666,0.7107438016528925,-0.0440771349862259,-0.3237061403508772,0.2692307692307693
TAR,is_test_learn,9,9,7,2,0.7777777777777778,0.7107438016528925,0.06703397612488526,-0.17913580246913582,0.30379746835443033
TAR,is_background_knowledge,54,54,38,16,0.7037037037037037,0.7107438016528925,-0.007040097949188806,-0.07843447505584507,0.061773752563226286
