subset,label,n_questions_with_label,n_eligible_rows_with_label,mean_balanced_shift,median_balanced_shift,ci95_low,ci95_high,sign_probability_positive,sign_probability_negative,bootstrap_repetitions,bootstrap_seed
S0,is_ideation,2,6,0.0053750463707174555,0.004149377593360995,-0.004166666666666667,0.019924318789100566,0.6452,0.0462,5000,42
S0,is_design,127,362,0.05277978432359377,0.051282051282051294,-0.04198473282442744,0.15000000000000002,0.852,0.1238,5000,42
S0,is_build,39,96,-0.01467136061167344,-0.01431131592421915,-0.07834101382488479,0.04859022556390967,0.2976,0.6552,5000,42
S0,is_test,14,35,-0.017123802591128823,-0.016597510373443987,-0.061541850220264316,0.02542372881355932,0.1898,0.7584,5000,42
S0,is_learn,9,28,0.011547837478068748,0.01174172794117647,-0.01895869749337754,0.04471544715447154,0.7288,0.1862,5000,42
S0,is_release,23,72,-0.01883758896669155,-0.017937219730941707,-0.07490870786516853,0.03484548788095489,0.2246,0.723,5000,42
S0,is_test_learn,23,63,-0.0056919766061616275,-0.004405286343612327,-0.059327078288942695,0.04681476846057563,0.3862,0.5536,5000,42
S0,is_background_knowledge,120,328,-0.05736188917808238,-0.05882352941176466,-0.15476315002988644,0.03891050583657585,0.1146,0.868,5000,42
S1,is_ideation,2,6,0.0053750463707174555,0.004149377593360995,-0.004166666666666667,0.019924318789100566,0.6452,0.0462,5000,42
S1,is_design,127,362,0.05277978432359377,0.051282051282051294,-0.04198473282442744,0.15000000000000002,0.852,0.1238,5000,42
S1,is_build,39,96,-0.01467136061167344,-0.01431131592421915,-0.07834101382488479,0.04859022556390967,0.2976,0.6552,5000,42
S1,is_test,14,35,-0.017123802591128823,-0.016597510373443987,-0.061541850220264316,0.02542372881355932,0.1898,0.7584,5000,42
S1,is_learn,9,28,0.011547837478068748,0.01174172794117647,-0.01895869749337754,0.04471544715447154,0.7288,0.1862,5000,42
S1,is_release,23,72,-0.01883758896669155,-0.017937219730941707,-0.07490870786516853,0.03484548788095489,0.2246,0.723,5000,42
S1,is_test_learn,23,63,-0.0056919766061616275,-0.004405286343612327,-0.059327078288942695,0.04681476846057563,0.3862,0.5536,5000,42
S1,is_background_knowledge,120,328,-0.05736188917808238,-0.05882352941176466,-0.15476315002988644,0.03891050583657585,0.1146,0.868,5000,42
S2,is_ideation,2,6,0.00851400264864361,0.007407407407407408,-0.008198414848936459,0.03389830508474576,0.5976,0.0722,5000,42
S2,is_design,127,362,0.009423327846941195,0.007936507936507908,-0.08730158730158732,0.10869934930493935,0.5396,0.4042,5000,42
S2,is_build,39,96,-0.04931970916319117,-0.04878048780487804,-0.16084360554699537,0.05738493064312726,0.1738,0.7908,5000,42
S2,is_test,14,35,-0.03920558360110777,-0.03875968992248062,-0.1200075187969925,0.03597555690387444,0.134,0.8136,5000,42
S2,is_learn,9,28,0.013966020515232077,0.014388489208633087,-0.04000806451612904,0.07142857142857142,0.6362,0.2648,5000,42
S2,is_release,23,72,-0.04968123183924353,-0.048611111111111105,-0.1484546326754386,0.043797221155077455,0.1298,0.8256,5000,42
S2,is_test_learn,23,63,-0.02573029469720301,-0.024999999999999994,-0.12080942844771594,0.06767812388113127,0.2694,0.6766,5000,42
S2,is_background_knowledge,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S3,is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
S3,is_design,43,128,0.05397406385048041,0.049590163934426224,-0.10526315789473684,0.2272727272727273,0.6906,0.218,5000,42
S3,is_build,13,32,-0.10790145094217994,-0.10526315789473684,-0.29033724340175954,0.06382978723404256,0.091,0.8554,5000,42
S3,is_test,5,11,-0.07597992949511431,-0.07272727272727272,-0.19512195121951217,0.024390243902439025,0.048,0.8882,5000,42
S3,is_learn,4,13,0.03899916502809452,0.038461538461538464,-0.044469696969696965,0.13636363636363635,0.7248,0.1242,5000,42
S3,is_release,11,39,-0.009138633803686054,0.0,-0.1875294811320755,0.17777777777777776,0.4082,0.4988,5000,42
S3,is_test_learn,9,24,-0.03742405626800133,-0.037735849056603765,-0.18367346938775508,0.10204081632653061,0.2518,0.6374,5000,42
S3,is_background_knowledge,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
