axis,label,n_rows,n_unique_questions
risk_mechanism_final,cross_cutting_or_unclear,343,118
risk_mechanism_final,expanding_access,40,21
risk_mechanism_final,unlocking_new_biology,388,141
risk_stage_final,background_or_cross_cutting,255,87
risk_stage_final,build,160,64
risk_stage_final,design,324,116
risk_stage_final,learn,5,1
risk_stage_final,release,9,4
risk_stage_final,test,18,8
risk_stage_analysis_final,background_or_cross_cutting,255,87
risk_stage_analysis_final,build,160,64
risk_stage_analysis_final,design,324,116
risk_stage_analysis_final,release,9,4
risk_stage_analysis_final,test_learn,23,9
proxy_relation_final,component,283,107
proxy_relation_final,general_proxy,91,37
proxy_relation_final,neighbor,58,19
proxy_relation_final,precursor,142,49
proxy_relation_final,unclear,197,68
topic_category_inferred,bioweapons_bioterrorism,26,13
topic_category_inferred,dual_use_virology,241,81
topic_category_inferred,enhanced_potential_pandemic_pathogens,198,66
topic_category_inferred,expanding_access,15,7
topic_category_inferred,reverse_genetics_easy_editing,175,68
topic_category_inferred,viral_vector_research,116,45
