method,axis,label,n_rows_total,n_unique_questions,n_suppressed_rows,n_forgotten_rows,mean_balanced_shift,median_balanced_shift,ci95_low,ci95_high,sign_probability_positive,sign_probability_negative,bootstrap_repetitions,bootstrap_seed
ELM,proxy_relation,component,105,105,79,26,-0.17176335799735593,-0.17391304347826086,-0.44,0.10000000000000003,0.0796,0.8666,5000,44
ELM,proxy_relation,general_proxy,105,105,79,26,-0.07781578347202042,-0.07692307692307693,-0.25017857142857136,0.09523809523809523,0.1366,0.7446,5000,44
ELM,proxy_relation,neighbor,105,105,79,26,0.0766798454243046,0.07407407407407407,0.0,0.19230769230769232,0.8626,0.0,5000,44
ELM,proxy_relation,precursor,105,105,79,26,0.08777150717007827,0.08695652173913043,-0.12499999999999997,0.3076923076923077,0.7374,0.1674,5000,44
ELM,proxy_relation,unclear,105,105,79,26,0.08512778887499346,0.08333333333333334,-0.14814814814814814,0.31818181818181823,0.7086,0.1844,5000,44
GradDiff,proxy_relation,component,86,86,69,17,-0.09093740297409084,-0.09090909090909088,-0.4210526315789474,0.23076923076923078,0.228,0.6488,5000,44
GradDiff,proxy_relation,general_proxy,86,86,69,17,-0.0021834143528176725,0.0,-0.23076923076923078,0.22727272727272727,0.379,0.3926,5000,44
GradDiff,proxy_relation,neighbor,86,86,69,17,0.02753446094647526,0.0,-0.15000000000000002,0.21052631578947367,0.4806,0.2502,5000,44
GradDiff,proxy_relation,precursor,86,86,69,17,0.07378436527221698,0.07142857142857142,-0.16666666666666669,0.3125,0.6426,0.1924,5000,44
GradDiff,proxy_relation,unclear,86,86,69,17,-0.008198008891783721,0.0,-0.3157894736842105,0.3076923076923077,0.3956,0.4454,5000,44
PB_J,proxy_relation,component,117,117,63,54,0.004401445374826824,0.0,-0.18181818181818177,0.19298245614035087,0.4794,0.4426,5000,44
PB_J,proxy_relation,general_proxy,117,117,63,54,0.13531724991022293,0.13636363636363635,0.018181818181818174,0.2592592592592593,0.9802,0.007,5000,44
PB_J,proxy_relation,neighbor,117,117,63,54,-0.04571869142110493,-0.04166666666666667,-0.14285714285714285,0.045508658008657214,0.1256,0.7764,5000,44
PB_J,proxy_relation,precursor,117,117,63,54,-0.010148114086350494,-0.017241379310344834,-0.15517241379310345,0.13999999999999999,0.3916,0.5042,5000,44
PB_J,proxy_relation,unclear,117,117,63,54,-0.08385188977759434,-0.08510638297872339,-0.2363636363636364,0.07547169811320756,0.1166,0.827,5000,44
RMU-LAT,proxy_relation,component,97,97,57,40,-0.143765249305355,-0.1428571428571429,-0.35135135135135137,0.0714285714285714,0.0716,0.8896,5000,44
RMU-LAT,proxy_relation,general_proxy,97,97,57,40,0.022425666660828056,0.02439024390243902,-0.11627906976744186,0.16216216216216217,0.5574,0.3158,5000,44
RMU-LAT,proxy_relation,neighbor,97,97,57,40,0.056374624013406024,0.05405405405405406,-0.058823529411764705,0.1764705882352941,0.7658,0.1192,5000,44
RMU-LAT,proxy_relation,precursor,97,97,57,40,0.1277968711199783,0.12765957446808512,-0.028571428571428567,0.2972972972972973,0.922,0.04,5000,44
RMU-LAT,proxy_relation,unclear,97,97,57,40,-0.06283191248885743,-0.0625,-0.25813464235624123,0.13513513513513514,0.226,0.689,5000,44
RR,proxy_relation,component,95,95,66,29,0.15584700137604504,0.15625,-0.07692307692307693,0.3870967741935484,0.8768,0.073,5000,44
RR,proxy_relation,general_proxy,95,95,66,29,0.03515263766285683,0.034482758620689655,-0.13516584766584766,0.2069324712643673,0.5792,0.2678,5000,44
RR,proxy_relation,neighbor,95,95,66,29,-0.04720228893535352,-0.041666666666666664,-0.21742527173913045,0.12,0.225,0.6396,5000,44
RR,proxy_relation,precursor,95,95,66,29,0.04205729656057363,0.038461538461538464,-0.15,0.23076923076923078,0.598,0.2738,5000,44
RR,proxy_relation,unclear,95,95,66,29,-0.185854646664122,-0.1875,-0.423076923076923,0.05882352941176466,0.048,0.9162,5000,44
RepNoise,proxy_relation,component,150,150,106,44,0.02737281499765631,0.024390243902439046,-0.18368689581095599,0.24324324324324326,0.557,0.361,5000,44
RepNoise,proxy_relation,general_proxy,150,150,106,44,0.06340954574742914,0.06382978723404255,-0.06521739130434782,0.1915098199672665,0.7896,0.1184,5000,44
RepNoise,proxy_relation,neighbor,150,150,106,44,0.0714301532076318,0.06976744186046512,-0.02439024390243902,0.17394021739130394,0.8928,0.0402,5000,44
RepNoise,proxy_relation,precursor,150,150,106,44,0.03814009612654375,0.040816326530612235,-0.12251275510204082,0.195662830349531,0.6288,0.2692,5000,44
RepNoise,proxy_relation,unclear,150,150,106,44,-0.200352610079261,-0.2,-0.39027041357370096,0.0,0.0162,0.9726,5000,44
TAR,proxy_relation,component,121,121,86,35,0.06486093827287966,0.06451612903225806,-0.16129032258064518,0.29411764705882354,0.6652,0.2484,5000,44
TAR,proxy_relation,general_proxy,121,121,86,35,-0.01643631567954264,-0.024390243902439025,-0.1724137931034483,0.15000000000000002,0.3466,0.516,5000,44
TAR,proxy_relation,neighbor,121,121,86,35,0.012888345246946667,0.0,-0.10714285714285714,0.13157894736842105,0.4824,0.3098,5000,44
TAR,proxy_relation,precursor,121,121,86,35,0.015191651954735968,0.022474747474747488,-0.16666666666666666,0.19999999999999998,0.503,0.377,5000,44
TAR,proxy_relation,unclear,121,121,86,35,-0.07650461979501967,-0.07692307692307693,-0.28003125,0.13162280701754325,0.1826,0.7344,5000,44
