method,axis,label,n_rows_total,n_unique_questions,n_suppressed_rows,n_forgotten_rows,mean_balanced_shift,median_balanced_shift,ci95_low,ci95_high,sign_probability_positive,sign_probability_negative,bootstrap_repetitions,bootstrap_seed
ELM,risk_mechanism,cross_cutting_or_unclear,105,105,79,26,0.17377506788461516,0.17391304347826086,-0.09523809523809523,0.44,0.869,0.0764,5000,42
ELM,risk_mechanism,expanding_access,105,105,79,26,-0.04979146347557261,-0.04545454545454544,-0.20833333333333334,0.103493647912885,0.1876,0.6538,5000,42
ELM,risk_mechanism,unlocking_new_biology,105,105,79,26,-0.12398360440904257,-0.125,-0.4,0.15629111842105203,0.1514,0.7712,5000,42
GradDiff,risk_mechanism,cross_cutting_or_unclear,86,86,69,17,0.0626958015639654,0.0625,-0.28571428571428575,0.41176470588235287,0.5778,0.2908,5000,42
GradDiff,risk_mechanism,expanding_access,86,86,69,17,-0.028078811267489,0.0,-0.18181818181818182,0.1111111111111111,0.1764,0.4606,5000,42
GradDiff,risk_mechanism,unlocking_new_biology,86,86,69,17,-0.034616990296476406,-0.04545454545454547,-0.375,0.30781249999999827,0.3454,0.5142,5000,42
PB_J,risk_mechanism,cross_cutting_or_unclear,117,117,63,54,-0.07927500601185382,-0.0784313725490196,-0.2653401360544217,0.10869565217391303,0.1722,0.7658,5000,42
PB_J,risk_mechanism,expanding_access,117,117,63,54,0.04231126717653469,0.0392156862745098,-0.04166666666666667,0.1320754716981132,0.77,0.1126,5000,42
PB_J,risk_mechanism,unlocking_new_biology,117,117,63,54,0.03696373883531913,0.03703703703703709,-0.15384615384615385,0.2264150943396226,0.6178,0.3096,5000,42
RMU-LAT,risk_mechanism,cross_cutting_or_unclear,97,97,57,40,0.054997088816215546,0.05128205128205132,-0.15789473684210525,0.2750398936170207,0.6462,0.2656,5000,42
RMU-LAT,risk_mechanism,expanding_access,97,97,57,40,-0.021362519159955348,-0.023809523809523808,-0.1282258064516129,0.08571428571428572,0.2614,0.567,5000,42
RMU-LAT,risk_mechanism,unlocking_new_biology,97,97,57,40,-0.033634569656260195,-0.02941176470588236,-0.25641025641025644,0.19047619047619047,0.3382,0.5782,5000,42
RR,risk_mechanism,cross_cutting_or_unclear,95,95,66,29,-0.19881839432009457,-0.19999999999999996,-0.4545454545454546,0.06065340909090846,0.0484,0.9204,5000,42
RR,risk_mechanism,expanding_access,95,95,66,29,0.02973775896261551,0.030303030303030304,0.0,0.10714285714285714,0.5816,0.0,5000,42
RR,risk_mechanism,unlocking_new_biology,95,95,66,29,0.16908063535747905,0.16666666666666669,-0.08571428571428569,0.4210526315789474,0.8806,0.0738,5000,42
RepNoise,risk_mechanism,cross_cutting_or_unclear,150,150,106,44,-0.08134324364640295,-0.08108108108108106,-0.29411764705882354,0.12765957446808507,0.192,0.7406,5000,42
RepNoise,risk_mechanism,expanding_access,150,150,106,44,0.0022324094210561226,0.0,-0.08571428571428572,0.09090909090909091,0.415,0.3768,5000,42
RepNoise,risk_mechanism,unlocking_new_biology,150,150,106,44,0.07911083422534682,0.07692307692307698,-0.13043478260869562,0.28888888888888886,0.7366,0.2002,5000,42
TAR,risk_mechanism,cross_cutting_or_unclear,121,121,86,35,-0.006753178536695938,0.0,-0.23695553539019967,0.22222222222222227,0.4226,0.4772,5000,42
TAR,risk_mechanism,expanding_access,121,121,86,35,0.040199149549411756,0.03333333333333334,-0.06060606060606061,0.15,0.6866,0.141,5000,42
TAR,risk_mechanism,unlocking_new_biology,121,121,86,35,-0.03344597101271582,-0.03125,-0.2703316953316953,0.2045600233100231,0.3494,0.5646,5000,42
