method,axis,label,n_rows_total,n_unique_questions,n_suppressed_rows,n_forgotten_rows,mean_balanced_shift,median_balanced_shift,ci95_low,ci95_high,sign_probability_positive,sign_probability_negative,bootstrap_repetitions,bootstrap_seed
ELM,risk_stage,background_or_cross_cutting,105,105,79,26,0.16095337173594923,0.16129032258064513,-0.09090909090909088,0.4,0.878,0.0706,5000,43
ELM,risk_stage,build,105,105,79,26,-0.06658027725142135,-0.06896551724137931,-0.2962962962962963,0.17241379310344826,0.231,0.6544,5000,43
ELM,risk_stage,design,105,105,79,26,-0.06717143845185337,-0.06896551724137934,-0.33333333333333337,0.20833333333333331,0.2666,0.637,5000,43
ELM,risk_stage,release,105,105,79,26,-0.025212084404473003,-0.030303030303030304,-0.11764705882352941,0.05,0.1188,0.5188,5000,43
ELM,risk_stage,test_learn,105,105,79,26,-0.001989571628201489,0.0,-0.1111111111111111,0.103493647912885,0.3308,0.3476,5000,43
GradDiff,risk_stage,background_or_cross_cutting,86,86,69,17,0.021010096480187444,0.0,-0.3076923076923077,0.35714285714285715,0.4778,0.3812,5000,43
GradDiff,risk_stage,build,86,86,69,17,-0.014698659335402568,0.0,-0.26666666666666666,0.25,0.3656,0.455,5000,43
GradDiff,risk_stage,design,86,86,69,17,-0.003745429200855217,0.0,-0.3571428571428571,0.3333333333333333,0.42,0.4438,5000,43
GradDiff,risk_stage,release,86,86,69,17,0.028294734288984665,0.0,0.0,0.13333333333333333,0.383,0.0,5000,43
GradDiff,risk_stage,test_learn,86,86,69,17,-0.030860742232914323,0.0,-0.18181818181818182,0.1111111111111111,0.1762,0.4832,5000,43
PB_J,risk_stage,background_or_cross_cutting,117,117,63,54,-0.12936226969077502,-0.12962962962962962,-0.29633569739952725,0.037753991291726866,0.056,0.9104,5000,43
PB_J,risk_stage,build,117,117,63,54,0.06389399090893064,0.06382978723404258,-0.10529115341545352,0.22807017543859648,0.7394,0.1954,5000,43
PB_J,risk_stage,design,117,117,63,54,0.01757460276632032,0.01851851851851849,-0.17391304347826086,0.21052631578947373,0.531,0.3946,5000,43
PB_J,risk_stage,release,117,117,63,54,0.016057864037190336,0.017543859649122806,0.0,0.058823529411764705,0.5722,0.0,5000,43
PB_J,risk_stage,test_learn,117,117,63,54,0.03183581197833371,0.034482758620689655,0.0,0.08771929824561403,0.8136,0.0,5000,43
RMU-LAT,risk_stage,background_or_cross_cutting,97,97,57,40,-0.005329017973268626,0.0,-0.23076923076923073,0.21280395136778057,0.4386,0.4738,5000,43
RMU-LAT,risk_stage,build,97,97,57,40,-0.007082532114528766,0.0,-0.18421052631578946,0.16666666666666666,0.4092,0.4802,5000,43
RMU-LAT,risk_stage,design,97,97,57,40,-0.022578736267136485,-0.02439024390243899,-0.24140543364681297,0.19999999999999996,0.3838,0.5344,5000,43
RMU-LAT,risk_stage,test_learn,97,97,57,40,0.03499028635493388,0.02702702702702703,0.0,0.10256410256410256,0.7576,0.0,5000,43
RR,risk_stage,background_or_cross_cutting,95,95,66,29,-0.23200936793683122,-0.23529411764705882,-0.48275862068965514,0.0,0.0244,0.9556,5000,43
RR,risk_stage,build,95,95,66,29,0.02551308636673432,0.030303030303030304,-0.1724137931034483,0.22727272727272727,0.5262,0.3406,5000,43
RR,risk_stage,design,95,95,66,29,0.14655656089902655,0.14705882352941174,-0.10344827586206895,0.4001351351351332,0.8508,0.0916,5000,43
RR,risk_stage,test_learn,95,95,66,29,0.05993972067107036,0.05555555555555555,0.0,0.16666666666666666,0.824,0.0,5000,43
RepNoise,risk_stage,background_or_cross_cutting,150,150,106,44,-0.1263876512614735,-0.125,-0.326530612244898,0.08108108108108109,0.0876,0.8684,5000,43
RepNoise,risk_stage,build,150,150,106,44,0.15161021551175646,0.1509433962264151,-0.021739130434782622,0.3137254901960784,0.9532,0.0266,5000,43
RepNoise,risk_stage,design,150,150,106,44,-0.018023148610055904,-0.021276595744680882,-0.2272727272727273,0.19154083733699312,0.3898,0.5224,5000,43
RepNoise,risk_stage,release,150,150,106,44,0.01898397510140798,0.02040816326530612,0.0,0.06976744186046512,0.5638,0.0,5000,43
RepNoise,risk_stage,test_learn,150,150,106,44,-0.02618339074163505,-0.023809523809523808,-0.10256410256410256,0.044444444444444446,0.1426,0.6456,5000,43
TAR,risk_stage,background_or_cross_cutting,121,121,86,35,-0.06269046386899775,-0.0625,-0.2759099616858237,0.15557291666666642,0.246,0.6672,5000,43
TAR,risk_stage,build,121,121,86,35,-0.05457522037364408,-0.057142857142857106,-0.2424242424242424,0.1388888888888889,0.2322,0.6688,5000,43
TAR,risk_stage,design,121,121,86,35,0.08728618332886215,0.08823529411764708,-0.1470860566448802,0.3235294117647059,0.734,0.1982,5000,43
TAR,risk_stage,release,121,121,86,35,0.023268190082156085,0.025,0.0,0.08339285714285627,0.5706,0.0,5000,43
TAR,risk_stage,test_learn,121,121,86,35,0.006711310831623614,0.0,-0.075,0.09375,0.4178,0.2976,5000,43
