method,axis,label,n_rows_total,n_unique_questions,n_suppressed_rows,n_forgotten_rows,mean_balanced_shift,median_balanced_shift,ci95_low,ci95_high,sign_probability_positive,sign_probability_negative,bootstrap_repetitions,bootstrap_seed
ELM,topic_category,bioweapons_bioterrorism,105,105,79,26,0.07535187367628993,0.07142857142857142,0.0,0.19047619047619047,0.8644,0.0,5000,45
ELM,topic_category,dual_use_virology,105,105,79,26,0.2638938529297334,0.2666666666666667,0.033333333333333326,0.5,0.9764,0.0104,5000,45
ELM,topic_category,enhanced_potential_pandemic_pathogens,105,105,79,26,-0.09138816646036431,-0.08695652173913046,-0.32003571428571426,0.13793103448275862,0.1586,0.7364,5000,45
ELM,topic_category,expanding_access,105,105,79,26,-0.0004793367529477372,0.0,-0.10526315789473684,0.1111111111111111,0.3282,0.3462,5000,45
ELM,topic_category,reverse_genetics_easy_editing,105,105,79,26,-0.04193469234566328,-0.040000000000000036,-0.2631965944272446,0.1875,0.2908,0.5736,5000,45
ELM,topic_category,viral_vector_research,105,105,79,26,-0.20544353104704796,-0.20689655172413793,-0.4230769230769231,0.0,0.0186,0.958,5000,45
GradDiff,topic_category,bioweapons_bioterrorism,86,86,69,17,0.07091369767475598,0.0625,0.0,0.2222222222222222,0.6974,0.0,5000,45
GradDiff,topic_category,dual_use_virology,86,86,69,17,0.30319440355798727,0.30000000000000004,0.05555555555555555,0.5652173913043478,0.979,0.0066,5000,45
GradDiff,topic_category,enhanced_potential_pandemic_pathogens,86,86,69,17,-0.043008444147131876,-0.05263157894736842,-0.33333333333333337,0.26324561403508645,0.319,0.532,5000,45
GradDiff,topic_category,expanding_access,86,86,69,17,-0.030431693874097936,0.0,-0.18196022727272723,0.1111111111111111,0.1752,0.4732,5000,45
GradDiff,topic_category,reverse_genetics_easy_editing,86,86,69,17,-0.1375944527101975,-0.14285714285714285,-0.42857142857142855,0.14285714285714288,0.1212,0.7614,5000,45
GradDiff,topic_category,viral_vector_research,86,86,69,17,-0.16307351050131594,-0.16666666666666666,-0.4375,0.11764705882352942,0.0796,0.8296,5000,45
PB_J,topic_category,dual_use_virology,117,117,63,54,-0.08130591288654034,-0.08163265306122447,-0.25927777777777783,0.09259259259259262,0.1554,0.7858,5000,45
PB_J,topic_category,enhanced_potential_pandemic_pathogens,117,117,63,54,-0.10825223644618213,-0.10889328063241106,-0.27450980392156865,0.05558176100628895,0.0846,0.877,5000,45
PB_J,topic_category,expanding_access,117,117,63,54,0.015554064474545921,0.017543859649122806,0.0,0.057692307692307696,0.551,0.0,5000,45
PB_J,topic_category,reverse_genetics_easy_editing,117,117,63,54,0.09598765456229223,0.09615384615384613,-0.07272727272727275,0.26318272095332634,0.8424,0.1098,5000,45
PB_J,topic_category,viral_vector_research,117,117,63,54,0.07801643029588431,0.07692307692307693,-0.06382978723404255,0.21822727272727208,0.8266,0.1178,5000,45
RMU-LAT,topic_category,bioweapons_bioterrorism,97,97,57,40,0.026608053719001986,0.025,-0.05405405405405406,0.11764705882352941,0.6136,0.1718,5000,45
RMU-LAT,topic_category,dual_use_virology,97,97,57,40,-0.03843247732908902,-0.03125,-0.24244471744471743,0.1579246411483249,0.312,0.595,5000,45
RMU-LAT,topic_category,enhanced_potential_pandemic_pathogens,97,97,57,40,0.01699868501618739,0.0222222222222222,-0.1842105263157895,0.22499999999999998,0.5116,0.3948,5000,45
