method,axis,label,n_rows,n_unique_questions,suppressed_count,forgotten_count,suppressed_rate_for_label,suppressed_rate_for_method,method_centered_effect,ci95_low,ci95_high
ELM,proxy_relation,component,39,39,26,13,0.6666666666666666,0.7523809523809524,-0.08571428571428574,-0.20224089635854336,0.025317931926590615
ELM,proxy_relation,general_proxy,10,10,6,4,0.6,0.7523809523809524,-0.1523809523809524,-0.4833333333333333,0.1428571428571429
ELM,proxy_relation,neighbor,6,6,6,0,1.0,0.7523809523809524,0.24761904761904763,0.17142857142857137,0.33333333333333337
ELM,proxy_relation,precursor,23,23,19,4,0.8260869565217391,0.7523809523809524,0.07370600414078676,-0.07619047619047614,0.21190476190476182
ELM,proxy_relation,unclear,27,27,22,5,0.8148148148148148,0.7523809523809524,0.0624338624338624,-0.07619047619047625,0.1885806451612901
GradDiff,proxy_relation,component,29,29,22,7,0.7586206896551724,0.8023255813953488,-0.043704891740176444,-0.16961708099438658,0.07462047803617561
GradDiff,proxy_relation,general_proxy,10,10,8,2,0.8,0.8023255813953488,-0.0023255813953487747,-0.2605500894454382,0.22093023255813948
GradDiff,proxy_relation,neighbor,7,7,6,1,0.8571428571428571,0.8023255813953488,0.054817275747508276,-0.27740863787375414,0.2558139534883721
GradDiff,proxy_relation,precursor,15,15,13,2,0.8666666666666667,0.8023255813953488,0.06434108527131788,-0.11298172757475079,0.22093023255813948
GradDiff,proxy_relation,unclear,25,25,20,5,0.8,0.8023255813953488,-0.0023255813953487747,-0.14688481187802677,0.1223458038422649
PB_J,proxy_relation,component,48,48,26,22,0.5416666666666666,0.5384615384615384,0.0032051282051281937,-0.10683760683760679,0.1162474995453718
PB_J,proxy_relation,general_proxy,15,15,12,3,0.8,0.5384615384615384,0.2615384615384616,0.041226747109100015,0.45299145299145294
PB_J,proxy_relation,neighbor,8,8,3,5,0.375,0.5384615384615384,-0.16346153846153844,-0.5213675213675214,0.1966880341880326
PB_J,proxy_relation,precursor,21,21,11,10,0.5238095238095238,0.5384615384615384,-0.0146520146520146,-0.2153876678876679,0.18803418803418803
PB_J,proxy_relation,unclear,25,25,11,14,0.44,0.5384615384615384,-0.09846153846153843,-0.2775966183574879,0.08181023956886026
RMU-LAT,proxy_relation,component,33,33,16,17,0.48484848484848486,0.5876288659793815,-0.1027803811308966,-0.2415854672430994,0.037800687285223344
RMU-LAT,proxy_relation,general_proxy,11,11,7,4,0.6363636363636364,0.5876288659793815,0.04873477038425489,-0.23430334270540454,0.3226804123711341
RMU-LAT,proxy_relation,neighbor,8,8,6,2,0.75,0.5876288659793815,0.16237113402061853,-0.1773195876288659,0.44329896907216493
RMU-LAT,proxy_relation,precursor,17,17,13,4,0.7647058823529411,0.5876288659793815,0.17707701637355966,-0.028876831253391213,0.3608247422680413
RMU-LAT,proxy_relation,unclear,28,28,15,13,0.5357142857142857,0.5876288659793815,-0.05191458026509577,-0.2108482381689102,0.10873164636051211
RR,proxy_relation,component,30,30,24,6,0.8,0.6947368421052632,0.10526315789473684,-0.024276315789473684,0.233393829401089
RR,proxy_relation,general_proxy,12,12,9,3,0.75,0.6947368421052632,0.05526315789473679,-0.19260190918472647,0.2947368421052632
RR,proxy_relation,neighbor,10,10,6,4,0.6,0.6947368421052632,-0.09473684210526323,-0.41403508771929826,0.20003289473684158
RR,proxy_relation,precursor,16,16,12,4,0.75,0.6947368421052632,0.05526315789473679,-0.1631743421052631,0.24939271255060735
RR,proxy_relation,unclear,27,27,15,12,0.5555555555555556,0.6947368421052632,-0.13918128654970763,-0.3019116541353384,0.01348958333333332
RepNoise,proxy_relation,component,57,57,41,16,0.7192982456140351,0.7066666666666667,0.012631578947368438,-0.07999999999999996,0.10941456582633056
RepNoise,proxy_relation,general_proxy,17,17,14,3,0.8235294117647058,0.7066666666666667,0.11686274509803918,-0.07907142857142856,0.2866666666666666
RepNoise,proxy_relation,neighbor,11,11,10,1,0.9090909090909091,0.7066666666666667,0.2024242424242424,-0.00666666666666671,0.3466666666666667
RepNoise,proxy_relation,precursor,28,28,21,7,0.75,0.7066666666666667,0.043333333333333335,-0.10666666666666669,0.18235472370766487
RepNoise,proxy_relation,unclear,37,37,20,17,0.5405405405405406,0.7066666666666667,-0.1661261261261261,-0.30958765243902436,-0.03267835365853668
TAR,proxy_relation,component,47,47,35,12,0.7446808510638298,0.7107438016528925,0.033937049410937226,-0.06818181818181823,0.13315074636427704
TAR,proxy_relation,general_proxy,16,16,11,5,0.6875,0.7107438016528925,-0.023243801652892526,-0.2573812551085279,0.1889807162534436
TAR,proxy_relation,neighbor,8,8,6,2,0.75,0.7107438016528925,0.039256198347107474,-0.3058736717827627,0.31404958677685946
TAR,proxy_relation,precursor,22,22,16,6,0.7272727272727273,0.7107438016528925,0.016528925619834767,-0.16581439393939384,0.18186309737693077
TAR,proxy_relation,unclear,28,28,18,10,0.6428571428571429,0.7107438016528925,-0.06788665879574962,-0.2326815230224321,0.08926308539944902
