method,axis,label,n_rows,n_unique_questions,suppressed_count,forgotten_count,suppressed_rate_for_label,suppressed_rate_for_method,method_centered_effect,ci95_low,ci95_high
ELM,risk_mechanism,cross_cutting_or_unclear,46,46,38,8,0.8260869565217391,0.7523809523809524,0.07370600414078676,-0.016533998585383614,0.16523054464914924
ELM,risk_mechanism,expanding_access,8,8,5,3,0.625,0.7523809523809524,-0.12738095238095237,-0.49210317460317465,0.21904761904761905
ELM,risk_mechanism,unlocking_new_biology,51,51,36,15,0.7058823529411765,0.7523809523809524,-0.046498599439775856,-0.13501960784313732,0.0381077694235588
GradDiff,risk_mechanism,cross_cutting_or_unclear,45,45,37,8,0.8222222222222222,0.8023255813953488,0.01989664082687337,-0.06342494714587732,0.10212692178061226
GradDiff,risk_mechanism,expanding_access,3,3,2,1,0.6666666666666666,0.8023255813953488,-0.1356589147286822,-0.8255813953488372,0.2441860465116279
GradDiff,risk_mechanism,unlocking_new_biology,38,38,30,8,0.7894736842105263,0.8023255813953488,-0.012851897184822492,-0.11125078566939028,0.08440147425249152
PB_J,risk_mechanism,cross_cutting_or_unclear,47,47,23,24,0.48936170212765956,0.5384615384615384,-0.04909983633387888,-0.1611721611721612,0.05982905982905984
PB_J,risk_mechanism,expanding_access,7,7,5,2,0.7142857142857143,0.5384615384615384,0.17582417582417587,-0.21367521367521375,0.49572649572649574
PB_J,risk_mechanism,unlocking_new_biology,63,63,35,28,0.5555555555555556,0.5384615384615384,0.017094017094017144,-0.0641068376068376,0.10076698155645517
RMU-LAT,risk_mechanism,cross_cutting_or_unclear,42,42,26,16,0.6190476190476191,0.5876288659793815,0.031418753068237604,-0.07764860715069094,0.14740735842483504
RMU-LAT,risk_mechanism,expanding_access,6,6,3,3,0.5,0.5876288659793815,-0.08762886597938147,-0.5773195876288659,0.3917525773195877
RMU-LAT,risk_mechanism,unlocking_new_biology,49,49,28,21,0.5714285714285714,0.5876288659793815,-0.016200294550810068,-0.11501920355771167,0.07923141092683893
RR,risk_mechanism,cross_cutting_or_unclear,49,49,30,19,0.6122448979591837,0.6947368421052632,-0.08249194414607952,-0.17407444894286997,0.004811270600743924
RR,risk_mechanism,expanding_access,2,2,2,0,1.0,0.6947368421052632,0.3052631578947368,0.21052631578947367,0.4
RR,risk_mechanism,unlocking_new_biology,44,44,34,10,0.7727272727272727,0.6947368421052632,0.0779904306220095,-0.019742883995703547,0.1829959514170041
RepNoise,risk_mechanism,cross_cutting_or_unclear,63,63,42,21,0.6666666666666666,0.7066666666666667,-0.040000000000000036,-0.1279169926119078,0.048572196620583624
RepNoise,risk_mechanism,expanding_access,7,7,5,2,0.7142857142857143,0.7066666666666667,0.007619047619047636,-0.38666666666666666,0.31333333333333335
RepNoise,risk_mechanism,unlocking_new_biology,80,80,59,21,0.7375,0.7066666666666667,0.03083333333333338,-0.03901234567901235,0.09981690140845069
TAR,risk_mechanism,cross_cutting_or_unclear,51,51,36,15,0.7058823529411765,0.7107438016528925,-0.00486144871171601,-0.09917355371900827,0.09073764726569361
TAR,risk_mechanism,expanding_access,7,7,6,1,0.8571428571428571,0.7107438016528925,0.14639905548996457,-0.18595041322314054,0.3471074380165289
TAR,risk_mechanism,unlocking_new_biology,63,63,44,19,0.6984126984126984,0.7107438016528925,-0.012331103240194152,-0.09077912556651567,0.06440723852949551
