method,axis,label,n_rows,n_unique_questions,suppressed_count,forgotten_count,suppressed_rate_for_label,suppressed_rate_for_method,method_centered_effect,ci95_low,ci95_high
ELM,risk_stage,background_or_cross_cutting,33,33,28,5,0.8484848484848485,0.7523809523809524,0.09610389610389614,-0.0190604890604891,0.20478422619047593
ELM,risk_stage,build,23,23,16,7,0.6956521739130435,0.7523809523809524,-0.056728778467908914,-0.226235119047619,0.1029464285714283
ELM,risk_stage,design,43,43,31,12,0.7209302325581395,0.7523809523809524,-0.03145071982281289,-0.1333333333333333,0.06666666666666665
ELM,risk_stage,release,2,2,1,1,0.5,0.7523809523809524,-0.2523809523809524,-0.8,0.2952380952380952
ELM,risk_stage,test_learn,4,4,3,1,0.75,0.7523809523809524,-0.0023809523809523725,-0.7047619047619048,0.2952380952380952
GradDiff,risk_stage,background_or_cross_cutting,32,32,26,6,0.8125,0.8023255813953488,0.01017441860465118,-0.10165703190503518,0.11827476786779102
GradDiff,risk_stage,build,14,14,11,3,0.7857142857142857,0.8023255813953488,-0.01661129568106312,-0.22898032200357787,0.17441860465116277
GradDiff,risk_stage,design,35,35,28,7,0.8,0.8023255813953488,-0.0023255813953487747,-0.10498999062952546,0.09898515787483443
GradDiff,risk_stage,release,2,2,2,0,1.0,0.8023255813953488,0.19767441860465118,0.11627906976744184,0.2790697674418605
GradDiff,risk_stage,test_learn,3,3,2,1,0.6666666666666666,0.8023255813953488,-0.1356589147286822,-0.813953488372093,0.2441860465116279
PB_J,risk_stage,background_or_cross_cutting,33,33,14,19,0.42424242424242425,0.5384615384615384,-0.11421911421911418,-0.26474893162393165,0.03127084399770417
PB_J,risk_stage,build,30,30,18,12,0.6,0.5384615384615384,0.06153846153846154,-0.09974626068376075,0.21554824054824023
PB_J,risk_stage,design,51,51,28,23,0.5490196078431373,0.5384615384615384,0.010558069381598867,-0.09555741009514594,0.11391251605537313
PB_J,risk_stage,release,1,1,1,0,1.0,0.5384615384615384,0.46153846153846156,0.36752136752136755,0.5470085470085471
PB_J,risk_stage,test_learn,2,2,2,0,1.0,0.5384615384615384,0.46153846153846156,0.36752136752136755,0.5470085470085471
RMU-LAT,risk_stage,background_or_cross_cutting,36,36,21,15,0.5833333333333334,0.5876288659793815,-0.004295532646048095,-0.13520004909180175,0.12667107377158904
RMU-LAT,risk_stage,build,19,19,11,8,0.5789473684210527,0.5876288659793815,-0.00868149755832881,-0.21701258338386903,0.19725085910652917
RMU-LAT,risk_stage,design,40,40,23,17,0.575,0.5876288659793815,-0.01262886597938151,-0.13981958762886593,0.10237353152721163
RMU-LAT,risk_stage,test_learn,2,2,2,0,1.0,0.5876288659793815,0.41237113402061853,0.30927835051546393,0.5051546391752577
RR,risk_stage,background_or_cross_cutting,37,37,21,16,0.5675675675675675,0.6947368421052632,-0.12716927453769566,-0.25326953748006376,-0.007984816962507179
RR,risk_stage,build,18,18,13,5,0.7222222222222222,0.6947368421052632,0.027485380116959002,-0.16842105263157903,0.21140350877192982
RR,risk_stage,design,36,36,28,8,0.7777777777777778,0.6947368421052632,0.08304093567251458,-0.029248458985301033,0.20000773993808033
RR,risk_stage,test_learn,4,4,4,0,1.0,0.6947368421052632,0.3052631578947368,0.21052631578947367,0.4
RepNoise,risk_stage,background_or_cross_cutting,48,48,30,18,0.625,0.7066666666666667,-0.08166666666666667,-0.19418287037037035,0.026666666666666727
RepNoise,risk_stage,build,33,33,28,5,0.8484848484848485,0.7066666666666667,0.14181818181818184,0.02111111111111108,0.2533333333333334
RepNoise,risk_stage,design,63,63,44,19,0.6984126984126984,0.7066666666666667,-0.008253968253968291,-0.09515734265734271,0.07611992668237764
RepNoise,risk_stage,release,2,2,2,0,1.0,0.7066666666666667,0.29333333333333333,0.21999999999999997,0.3666666666666667
RepNoise,risk_stage,test_learn,4,4,2,2,0.5,0.7066666666666667,-0.20666666666666667,-0.7333333333333333,0.31333333333333335
TAR,risk_stage,background_or_cross_cutting,36,36,24,12,0.6666666666666666,0.7107438016528925,-0.0440771349862259,-0.1776859504132231,0.08078886434881727
TAR,risk_stage,build,23,23,15,8,0.6521739130434783,0.7107438016528925,-0.058569888609414256,-0.2409550045913682,0.114056473829201
TAR,risk_stage,design,56,56,42,14,0.75,0.7107438016528925,0.039256198347107474,-0.04872604374465668,0.12690193329397859
TAR,risk_stage,release,2,2,2,0,1.0,0.7107438016528925,0.2892561983471075,0.2148760330578512,0.371900826446281
TAR,risk_stage,test_learn,4,4,3,1,0.75,0.7107438016528925,0.039256198347107474,-0.6694214876033058,0.3471074380165289
