method,axis,label,n_rows,n_unique_questions,suppressed_count,forgotten_count,suppressed_rate_for_label,suppressed_rate_for_method,method_centered_effect,ci95_low,ci95_high
ELM,topic_category,bioweapons_bioterrorism,6,6,6,0,1.0,0.7523809523809524,0.24761904761904763,0.16190476190476188,0.33333333333333337
ELM,topic_category,dual_use_virology,37,37,33,4,0.8918918918918919,0.7523809523809524,0.1395109395109395,0.04126488095238092,0.23809523809523814
ELM,topic_category,enhanced_potential_pandemic_pathogens,21,21,14,7,0.6666666666666666,0.7523809523809524,-0.08571428571428574,-0.26666666666666666,0.09404761904761905
ELM,topic_category,expanding_access,4,4,3,1,0.75,0.7523809523809524,-0.0023809523809523725,-0.7047619047619048,0.2952380952380952
ELM,topic_category,reverse_genetics_easy_editing,21,21,15,6,0.7142857142857143,0.7523809523809524,-0.03809523809523807,-0.21845238095238095,0.13215430402930384
ELM,topic_category,viral_vector_research,16,16,8,8,0.5,0.7523809523809524,-0.2523809523809524,-0.4833333333333333,-0.0257659313725491
GradDiff,topic_category,bioweapons_bioterrorism,5,5,5,0,1.0,0.8023255813953488,0.19767441860465118,0.11627906976744184,0.2906976744186046
GradDiff,topic_category,dual_use_virology,26,26,25,1,0.9615384615384616,0.8023255813953488,0.15921288014311274,0.05745447161422706,0.2558139534883721
GradDiff,topic_category,enhanced_potential_pandemic_pathogens,22,22,17,5,0.7727272727272727,0.8023255813953488,-0.029598308668076112,-0.18896220930232557,0.11839323467230445
GradDiff,topic_category,expanding_access,3,3,2,1,0.6666666666666666,0.8023255813953488,-0.1356589147286822,-0.813953488372093,0.2441860465116279
GradDiff,topic_category,reverse_genetics_easy_editing,16,16,11,5,0.6875,0.8023255813953488,-0.11482558139534882,-0.33617864693446087,0.086046511627907
GradDiff,topic_category,viral_vector_research,14,14,9,5,0.6428571428571429,0.8023255813953488,-0.15946843853820591,-0.39867109634551495,0.07267441860465118
PB_J,topic_category,dual_use_virology,34,34,16,18,0.47058823529411764,0.5384615384615384,-0.0678733031674208,-0.2136752136752137,0.0705159627953746
PB_J,topic_category,enhanced_potential_pandemic_pathogens,30,30,13,17,0.43333333333333335,0.5384615384615384,-0.10512820512820509,-0.25471916971916975,0.04853479853479853
PB_J,topic_category,expanding_access,1,1,1,0,1.0,0.5384615384615384,0.46153846153846156,0.36752136752136755,0.5470085470085471
PB_J,topic_category,reverse_genetics_easy_editing,32,32,20,12,0.625,0.5384615384615384,0.08653846153846156,-0.0582277097902098,0.23362282878411894
PB_J,topic_category,viral_vector_research,20,20,13,7,0.65,0.5384615384615384,0.11153846153846159,-0.08762820512820509,0.30826341754650527
RMU-LAT,topic_category,bioweapons_bioterrorism,4,4,3,1,0.75,0.5876288659793815,0.16237113402061853,-0.5257731958762887,0.48453608247422686
RMU-LAT,topic_category,dual_use_virology,27,27,15,12,0.5555555555555556,0.5876288659793815,-0.032073310423825885,-0.20186301407826185,0.12432007854688239
RMU-LAT,topic_category,enhanced_potential_pandemic_pathogens,30,30,18,12,0.6,0.5876288659793815,0.012371134020618513,-0.13731958762886592,0.16391752577319585
RMU-LAT,topic_category,expanding_access,1,1,1,0,1.0,0.5876288659793815,0.41237113402061853,0.30927835051546393,0.5051546391752577
RMU-LAT,topic_category,reverse_genetics_easy_editing,19,19,13,6,0.6842105263157895,0.5876288659793815,0.09658166033640803,-0.10584478808705608,0.29415939730372725
RMU-LAT,topic_category,viral_vector_research,16,16,7,9,0.4375,0.5876288659793815,-0.15012886597938147,-0.3801565342631898,0.08008338386901107
RR,topic_category,bioweapons_bioterrorism,1,1,0,1,0.0,0.6947368421052632,-0.6947368421052632,-0.7789473684210526,-0.6
RR,topic_category,dual_use_virology,32,32,22,10,0.6875,0.6947368421052632,-0.007236842105263208,-0.13920020639834882,0.12344497607655502
RR,topic_category,enhanced_potential_pandemic_pathogens,25,25,15,10,0.6,0.6947368421052632,-0.09473684210526323,-0.26319377990430626,0.06492324561403502
RR,topic_category,reverse_genetics_easy_editing,24,24,17,7,0.7083333333333334,0.6947368421052632,0.013596491228070162,-0.1473684210526316,0.1729323308270676
