model,bin,n_rows_mean,observed_rate_mean,predicted_mean_mean
Model A,"(0.3, 0.4]",151.55,0.5728730841817767,0.3638054689219028
Model A,"(0.4, 0.5]",109.9,0.6470934581852739,0.4449455758630959
Model A,"(0.5, 0.6]",395.8,0.70923744913758,0.5402502066413313
Model A,"(0.6, 0.7]",111.0,0.7664051723670924,0.6361576675477709
Model A,"(0.7, 0.8]",18.333333333333332,0.6181139122315593,0.7150180049695037
Model B,"(0.2, 0.3]",23.75,0.6541556984031408,0.26935897554787924
Model B,"(0.3, 0.4]",121.4,0.5765070170928649,0.3619229190679366
Model B,"(0.4, 0.5]",186.45,0.6285939275731122,0.45120072260713107
Model B,"(0.5, 0.6]",292.2,0.7289038470724913,0.5526411353013512
Model B,"(0.6, 0.7]",126.9,0.7590572708696859,0.6400512750099574
Model B,"(0.7, 0.8]",18.55,0.7087993831989491,0.7291597948680859
Model B,"(0.8, 0.9]",3.4,0.4258974358974359,0.8302130800961368
Model B,"(0.9, 1.0]",1.0,0.0,0.9110023369667385
Model C,"(0.2, 0.3]",8.0,0.5711190855927698,0.2851661665403237
Model C,"(0.3, 0.4]",137.75,0.5736753896278735,0.35930343436176015
Model C,"(0.4, 0.5]",175.9,0.6393934408799092,0.45597424659386804
Model C,"(0.5, 0.6]",327.0,0.743071740440598,0.5479169713277275
Model C,"(0.6, 0.7]",106.6,0.720761798353918,0.6395028577090105
Model C,"(0.7, 0.8]",13.9,0.6527114225643638,0.7359139177999867
Model C,"(0.8, 0.9]",2.3684210526315788,0.5350877192982456,0.8286902652844322
Model D,"(0.2, 0.3]",7.8,0.746969696969697,0.29092539932634215
Model D,"(0.3, 0.4]",152.5,0.5803681405065293,0.36330502302161444
Model D,"(0.4, 0.5]",132.8,0.6695328143688377,0.4567011060183683
Model D,"(0.5, 0.6]",365.2,0.7122331571493359,0.5424273167890661
Model D,"(0.6, 0.7]",113.65,0.737808766149949,0.6366754983574541
Model D,"(0.7, 0.8]",6.533333333333333,0.33708457120221824,0.7239060150738421
Model E,"(0.2, 0.3]",21.95,0.5417529100542416,0.27495628796250554
Model E,"(0.3, 0.4]",115.55,0.5597422824909075,0.35456397669089135
Model E,"(0.4, 0.5]",207.05,0.6456958189294959,0.45434704410653115
Model E,"(0.5, 0.6]",262.0,0.7523944048148653,0.550100580968224
Model E,"(0.6, 0.7]",141.35,0.7187057093335764,0.639439098106244
Model E,"(0.7, 0.8]",23.1,0.7275719515947039,0.7299175623949737
Model F,"(0.1, 0.2]",3.736842105263158,0.6615288220551379,0.183218120706404
Model F,"(0.2, 0.3]",42.45,0.6152113142094574,0.26255151827675693
Model F,"(0.3, 0.4]",115.7,0.5906443066699847,0.35571251428666834
Model F,"(0.4, 0.5]",186.0,0.6419126234752425,0.4542822903481607
Model F,"(0.5, 0.6]",218.65,0.7305848501446001,0.548269526016673
Model F,"(0.6, 0.7]",145.3,0.7382421178832946,0.643008685192445
Model F,"(0.7, 0.8]",49.95,0.7211636265925282,0.7396683546190995
Model F,"(0.8, 0.9]",9.1,0.7130255855255856,0.8303102849771113
Model F,"(0.9, 1.0]",1.2,0.6,0.9118310534468981
Model G,"(-0.001, 0.1]",1.0,1.0,0.09226580195273415
Model G,"(0.1, 0.2]",9.95,0.7355220229117287,0.17199738507440043
Model G,"(0.2, 0.3]",68.45,0.6469781430230975,0.2583045003009343
Model G,"(0.3, 0.4]",127.15,0.5831181758762554,0.35256822798056636
Model G,"(0.4, 0.5]",142.65,0.6429002477538023,0.45200614368923253
Model G,"(0.5, 0.6]",151.25,0.7191119039422103,0.5490398267970995
Model G,"(0.6, 0.7]",149.95,0.7486480800365757,0.6498611685173639
Model G,"(0.7, 0.8]",91.15,0.7280955985720505,0.7392262414966406
Model G,"(0.8, 0.9]",28.95,0.7321393032224904,0.8428407132043862
Model G,"(0.9, 1.0]",2.3636363636363638,0.5212121212121212,0.9198569771846483
