model,bin,n_rows_mean,observed_rate_mean,predicted_mean_mean
Model A,"(0.3, 0.4]",63.95,0.6778412977085848,0.374012561961045
Model A,"(0.4, 0.5]",95.65,0.6671664308318921,0.45682634724763804
Model A,"(0.5, 0.6]",112.5,0.6746671112643842,0.5351229189422837
Model A,"(0.6, 0.7]",59.1,0.8275084565551838,0.6456892525600314
Model A,"(0.7, 0.8]",12.705882352941176,0.6276238247028394,0.7286741814037533
Model B,"(0.2, 0.3]",14.05,0.6936889523015684,0.27123591052469886
Model B,"(0.3, 0.4]",58.65,0.5983450154855297,0.3569159689019858
Model B,"(0.4, 0.5]",92.8,0.6985774194349184,0.4546954064540185
Model B,"(0.5, 0.6]",85.1,0.7014942810009056,0.5454336474572623
Model B,"(0.6, 0.7]",62.3,0.7200685292217442,0.6439246932169695
Model B,"(0.7, 0.8]",25.65,0.8197844015086488,0.7455291490714309
Model B,"(0.8, 0.9]",3.45,0.7870238095238096,0.818413203645574
Model C,"(0.2, 0.3]",5.0,1.0,0.2895505150996274
Model C,"(0.3, 0.4]",63.9,0.6219284658053124,0.3613563457108199
Model C,"(0.4, 0.5]",108.8,0.7103869550176583,0.45989549356061066
Model C,"(0.5, 0.6]",91.75,0.6929299515551419,0.5439189372719383
Model C,"(0.6, 0.7]",54.9,0.7488560300025525,0.6411572538348151
Model C,"(0.7, 0.8]",19.75,0.7478446396151732,0.7348481781461271
Model C,"(0.8, 0.9]",3.6153846153846154,0.6041375291375292,0.828890129415162
Model C,"(0.9, 1.0]",1.0,1.0,0.9227505181143631
Model D,"(0.2, 0.3]",7.0,1.0,0.29399365267920796
Model D,"(0.3, 0.4]",65.5,0.6450591746870147,0.3663394712877896
Model D,"(0.4, 0.5]",104.65,0.7041888568146162,0.4593277346372872
Model D,"(0.5, 0.6]",94.9,0.691274467428029,0.5407117967347712
Model D,"(0.6, 0.7]",56.5,0.7397420819275593,0.6432152989059265
Model D,"(0.7, 0.8]",18.1,0.7634733277128788,0.7348687259938508
Model D,"(0.8, 0.9]",3.3333333333333335,0.8191137566137566,0.8165651481826396
Model E,"(0.2, 0.3]",5.0,0.8380952380952381,0.2834327797089929
Model E,"(0.3, 0.4]",60.9,0.6657441837996373,0.3661453415355845
Model E,"(0.4, 0.5]",103.05,0.6928811454784463,0.4560795627684892
Model E,"(0.5, 0.6]",106.15,0.6822494740122531,0.5400659643617413
Model E,"(0.6, 0.7]",56.1,0.7816033689116526,0.6459162333007715
Model E,"(0.7, 0.8]",14.2,0.6569933258344384,0.7344522642614946
Model E,"(0.8, 0.9]",3.4,0.4723809523809524,0.8100371117164654
Model F,"(0.1, 0.2]",1.3333333333333333,1.0,0.17776151050753647
Model F,"(0.2, 0.3]",18.75,0.6445327988145325,0.2654531989182119
Model F,"(0.3, 0.4]",59.0,0.6488887306156651,0.3532116135527425
Model F,"(0.4, 0.5]",86.8,0.7039127269612899,0.4532573996508214
Model F,"(0.5, 0.6]",74.2,0.7304303659796415,0.5465479679851053
Model F,"(0.6, 0.7]",59.7,0.6963583070370303,0.648330096364328
Model F,"(0.7, 0.8]",34.15,0.7090205049588374,0.7465103782483711
Model F,"(0.8, 0.9]",8.45,0.7676520864756159,0.8335167279013236
Model F,"(0.9, 1.0]",3.5,0.7083333333333333,0.9176505571844908
Model G,"(0.1, 0.2]",6.5,0.8246789321789322,0.17732872956519463
Model G,"(0.2, 0.3]",27.0,0.5692031954510182,0.25667419659908675
Model G,"(0.3, 0.4]",45.2,0.6419432949720789,0.3536792591185108
Model G,"(0.4, 0.5]",77.8,0.7492625982877763,0.45351689017873487
Model G,"(0.5, 0.6]",76.5,0.7278470516428307,0.5486870483066675
Model G,"(0.6, 0.7]",50.8,0.6767128746569313,0.6469741055396665
Model G,"(0.7, 0.8]",33.2,0.6457496224252552,0.7413989696051579
Model G,"(0.8, 0.9]",21.05,0.7211020396533889,0.8492232662763788
Model G,"(0.9, 1.0]",3.95,0.9557142857142857,0.9180990149796535
