model,bin,n_rows_mean,observed_rate_mean,predicted_mean_mean
Model A,"(0.3, 0.4]",30.2,0.727427869799607,0.3698074142355267
Model A,"(0.4, 0.5]",70.9,0.6122493647315634,0.4430264452166376
Model A,"(0.5, 0.6]",87.2,0.7247218221348994,0.5437327704030879
Model A,"(0.6, 0.7]",30.75,0.8311320271834479,0.6388848716675097
Model A,"(0.7, 0.8]",7.722222222222222,0.5474499266165933,0.7291388242429995
Model B,"(0.1, 0.2]",1.0,0.0,0.18989125166928644
Model B,"(0.2, 0.3]",3.0,0.6116666666666667,0.2730759548215488
Model B,"(0.3, 0.4]",32.5,0.7148677647018521,0.3613680005516907
Model B,"(0.4, 0.5]",67.35,0.6326297902445314,0.45201248862312166
Model B,"(0.5, 0.6]",76.2,0.7213366559629109,0.5470454314630403
Model B,"(0.6, 0.7]",38.3,0.7922965368692408,0.642178402610548
Model B,"(0.7, 0.8]",8.2,0.550275974025974,0.7409777203662842
Model B,"(0.8, 0.9]",2.0,0.25,0.8135836879798168
Model C,"(0.2, 0.3]",3.1666666666666665,0.9027777777777778,0.2952100081436768
Model C,"(0.3, 0.4]",31.0,0.7338334358216623,0.3673762622715388
Model C,"(0.4, 0.5]",72.5,0.6247334454645215,0.44899400095847614
Model C,"(0.5, 0.6]",81.9,0.7297092933823843,0.545192344849575
Model C,"(0.6, 0.7]",32.25,0.7813241978860026,0.6393130158334366
Model C,"(0.7, 0.8]",7.473684210526316,0.5050944669365722,0.7303734426888389
Model C,"(0.8, 0.9]",2.0,0.3333333333333333,0.8081069976445496
Model D,"(0.2, 0.3]",2.8333333333333335,0.7680555555555556,0.27533528500734805
Model D,"(0.3, 0.4]",30.0,0.7392486690612619,0.3668980292470493
Model D,"(0.4, 0.5]",69.2,0.6122722395193011,0.444470329735499
Model D,"(0.5, 0.6]",84.55,0.7220494609984758,0.5459279021493189
Model D,"(0.6, 0.7]",33.7,0.8171041803131635,0.6389818660459673
Model D,"(0.7, 0.8]",7.705882352941177,0.5509965524671407,0.7261233349523627
Model D,"(0.8, 0.9]",3.0,0.2,0.8086404454313654
Model E,"(0.3, 0.4]",29.95,0.7270900319617691,0.36956340755620126
Model E,"(0.4, 0.5]",71.15,0.612809793581466,0.44284803517071847
Model E,"(0.5, 0.6]",87.2,0.7247218221348994,0.5437371745076137
Model E,"(0.6, 0.7]",30.75,0.8311320271834479,0.6387703331949346
Model E,"(0.7, 0.8]",7.722222222222222,0.5474499266165933,0.7292161739955911
Model F,"(0.1, 0.2]",1.625,0.84375,0.18022298975036866
Model F,"(0.2, 0.3]",4.85,0.7761111111111111,0.2622822480727355
Model F,"(0.3, 0.4]",31.9,0.7274471274304679,0.3604715754614108
Model F,"(0.4, 0.5]",66.35,0.6468844595563829,0.4525226770274863
Model F,"(0.5, 0.6]",72.5,0.7079492998693739,0.547879233454298
Model F,"(0.6, 0.7]",38.5,0.7627819347399691,0.6426644755046769
Model F,"(0.7, 0.8]",10.55,0.601505994005994,0.7366401169078393
Model F,"(0.8, 0.9]",1.75,0.25,0.816192541696164
Model G,"(0.1, 0.2]",1.0,1.0,0.18839883902783783
Model G,"(0.2, 0.3]",9.05,0.8484188034188034,0.268468621829148
Model G,"(0.3, 0.4]",39.15,0.6932162789516998,0.3589141553760814
Model G,"(0.4, 0.5]",59.9,0.6398517721305973,0.4519935912619135
Model G,"(0.5, 0.6]",60.45,0.7413367403079116,0.55188917597445
Model G,"(0.6, 0.7]",38.05,0.7511103017597113,0.6417901635727107
Model G,"(0.7, 0.8]",14.6,0.6219359963651759,0.7399685319268853
Model G,"(0.8, 0.9]",4.722222222222222,0.45522486772486775,0.8461162101334933
Model G,"(0.9, 1.0]",1.3333333333333333,0.16666666666666666,0.915263979333962
