subset,axis,label,n_rows_total,n_unique_questions,n_suppressed_rows,n_forgotten_rows,mean_balanced_shift,median_balanced_shift,ci95_low,ci95_high,sign_probability_positive,sign_probability_negative,bootstrap_repetitions,bootstrap_seed
S0_all,risk_mechanism,cross_cutting_or_unclear,771,280,526,245,-0.011462841732203417,-0.011741727941176477,-0.108497967158759,0.08299619640387267,0.4014,0.568,5000,42
S0_all,risk_mechanism,expanding_access,771,280,526,245,0.004038583380213538,0.0040568118231789595,-0.03557665160926031,0.046026550720166565,0.5406,0.3828,5000,42
S0_all,risk_mechanism,unlocking_new_biology,771,280,526,245,0.007424258351989883,0.007767019575905643,-0.08662273194111607,0.10373848143557683,0.537,0.431,5000,42
S0_all,risk_stage,background_or_cross_cutting,771,280,526,245,-0.058892744088494126,-0.0580912863070539,-0.15058036219124088,0.028478171726491117,0.087,0.895,5000,42
S0_all,risk_stage,build,771,280,526,245,0.016057736817787664,0.01646090534979422,-0.06320081077898701,0.09328358208955226,0.6402,0.3226,5000,42
S0_all,risk_stage,design,771,280,526,245,0.017860659861005667,0.018726591760299616,-0.07655556273977328,0.11458572247706422,0.6304,0.3364,5000,42
S0_all,risk_stage,release,771,280,526,245,0.011013017877097167,0.009049773755656108,0.0,0.029411764705882353,0.8794,0.0172,5000,42
S0_all,risk_stage,test_learn,771,280,526,245,0.013961329532603633,0.012658227848101269,-0.01593625498007968,0.047619047619047616,0.773,0.1516,5000,42
S0_all,proxy_relation,component,771,280,526,245,-0.019514150074213258,-0.020284059115894787,-0.1111111111111111,0.07196969696969696,0.3236,0.6448,5000,42
S0_all,proxy_relation,general_proxy,771,280,526,245,0.029313343727532987,0.02962962962962963,-0.03226388727145685,0.09523809523809523,0.801,0.1636,5000,42
S0_all,proxy_relation,neighbor,771,280,526,245,0.020742418487145198,0.02049180327868852,-0.020080321285140562,0.0642211046018938,0.8168,0.1358,5000,42
S0_all,proxy_relation,precursor,771,280,526,245,0.0490935504351744,0.049815246587856715,-0.02702702702702703,0.12552301255230125,0.8876,0.0932,5000,42
S0_all,proxy_relation,unclear,771,280,526,245,-0.07963516257563934,-0.07905138339920946,-0.16606703567035666,0.008196721311475391,0.033,0.9608,5000,42
S0_all,topic_category,bioweapons_bioterrorism,771,280,526,245,0.013665200158480306,0.013513513513513514,-0.022813688212927754,0.047619047619047616,0.7474,0.1886,5000,42
S0_all,topic_category,dual_use_virology,771,280,526,245,0.04491789315091504,0.04480958436516966,-0.04405286343612336,0.13366823887113113,0.8294,0.1468,5000,42
S0_all,topic_category,enhanced_potential_pandemic_pathogens,771,280,526,245,-0.03589141930810849,-0.03585657370517929,-0.11814345991561181,0.04838887309933209,0.1874,0.7852,5000,42
S0_all,topic_category,expanding_access,771,280,526,245,0.010379650770789818,0.00851063829787234,-0.01606425702811245,0.044897959183673466,0.6964,0.2068,5000,42
S0_all,topic_category,reverse_genetics_easy_editing,771,280,526,245,0.027126703881046474,0.02857142857142858,-0.060981831757093076,0.10980503565062387,0.7226,0.2478,5000,42
S0_all,topic_category,viral_vector_research,771,280,526,245,-0.06019802865312315,-0.06,-0.12719298245614036,0.004167102510460244,0.03,0.9616,5000,42
S1_no_review,risk_mechanism,cross_cutting_or_unclear,342,125,238,104,0.054475911409590676,0.05357142857142856,-0.033712626166444486,0.15126687038451736,0.8504,0.1062,5000,42
S1_no_review,risk_mechanism,expanding_access,342,125,238,104,0.003444467950837334,0.0,-0.07438236328468437,0.07865168539325842,0.4856,0.4142,5000,42
S1_no_review,risk_mechanism,unlocking_new_biology,342,125,238,104,-0.057920379360428,-0.05671097770154376,-0.17460702727693023,0.05208333333333337,0.138,0.8176,5000,42
S1_no_review,risk_stage,build,342,125,238,104,0.03489244705077593,0.0340909090909091,-0.0784313725490196,0.14737739234449748,0.708,0.2404,5000,42
S1_no_review,risk_stage,design,342,125,238,104,-0.06889238726546487,-0.06787888760901761,-0.19791666666666663,0.05320098784194517,0.1274,0.8402,5000,42
S1_no_review,risk_stage,release,342,125,238,104,0.011176248983999945,0.009523809523809525,-0.010416666666666666,0.04444940476190469,0.612,0.062,5000,42
S1_no_review,risk_stage,test_learn,342,125,238,104,0.02282369123068898,0.021052631578947364,-0.04807692307692308,0.09803921568627451,0.6828,0.2278,5000,42
S1_no_review,proxy_relation,component,342,125,238,104,-0.039698135247422085,-0.039682539682539736,-0.18333715596330277,0.10619469026548667,0.2724,0.6796,5000,42
S1_no_review,proxy_relation,general_proxy,342,125,238,104,0.03683040112552265,0.037735849056603786,-0.08046847788227099,0.14895108371445592,0.724,0.226,5000,42
S1_no_review,proxy_relation,precursor,342,125,238,104,0.002867734121899443,0.0,-0.12931832694763729,0.13461538461538458,0.4818,0.46,5000,42
S1_no_review,topic_category,bioweapons_bioterrorism,342,125,238,104,0.029412882627862326,0.02727272727272727,0.0,0.07547169811320754,0.9104,0.0,5000,42
S1_no_review,topic_category,dual_use_virology,342,125,238,104,0.020103433553347854,0.0202020202020202,-0.10679611650485438,0.1403747139588097,0.6028,0.3396,5000,42
S1_no_review,topic_category,enhanced_potential_pandemic_pathogens,342,125,238,104,-0.02540061872075567,-0.02702702702702703,-0.16216216216216217,0.11428571428571427,0.34,0.6102,5000,42
