method,axis,label,n_rows,n_unique_questions,suppressed_count,forgotten_count,suppressed_rate_for_label,suppressed_rate_for_method,method_centered_effect,ci95_low,ci95_high
ELM,proxy_relation,component,39,39,26,13,0.6666666666666666,0.7523809523809524,-0.0857142857142857,-0.2022408963585433,0.0253179319265906
ELM,proxy_relation,general_proxy,10,10,6,4,0.6,0.7523809523809524,-0.1523809523809524,-0.4833333333333333,0.1428571428571429
ELM,proxy_relation,neighbor,6,6,6,0,1.0,0.7523809523809524,0.2476190476190476,0.1714285714285713,0.3333333333333333
ELM,proxy_relation,precursor,23,23,19,4,0.8260869565217391,0.7523809523809524,0.0737060041407867,-0.0761904761904761,0.2119047619047618
ELM,proxy_relation,unclear,27,27,22,5,0.8148148148148148,0.7523809523809524,0.0624338624338624,-0.0761904761904762,0.1885806451612901
GradDiff,proxy_relation,component,29,29,22,7,0.7586206896551724,0.8023255813953488,-0.0437048917401764,-0.1696170809943865,0.0746204780361756
GradDiff,proxy_relation,general_proxy,10,10,8,2,0.8,0.8023255813953488,-0.0023255813953487,-0.2605500894454382,0.2209302325581394
GradDiff,proxy_relation,neighbor,7,7,6,1,0.8571428571428571,0.8023255813953488,0.0548172757475082,-0.2774086378737541,0.2558139534883721
GradDiff,proxy_relation,precursor,15,15,13,2,0.8666666666666667,0.8023255813953488,0.0643410852713178,-0.1129817275747507,0.2209302325581394
GradDiff,proxy_relation,unclear,25,25,20,5,0.8,0.8023255813953488,-0.0023255813953487,-0.1468848118780267,0.1223458038422649
PB_J,proxy_relation,component,48,48,26,22,0.5416666666666666,0.5384615384615384,0.0032051282051281,-0.1068376068376067,0.1162474995453718
PB_J,proxy_relation,general_proxy,15,15,12,3,0.8,0.5384615384615384,0.2615384615384616,0.0412267471091,0.4529914529914529
PB_J,proxy_relation,neighbor,8,8,3,5,0.375,0.5384615384615384,-0.1634615384615384,-0.5213675213675214,0.1966880341880326
PB_J,proxy_relation,precursor,21,21,11,10,0.5238095238095238,0.5384615384615384,-0.0146520146520146,-0.2153876678876679,0.188034188034188
PB_J,proxy_relation,unclear,25,25,11,14,0.44,0.5384615384615384,-0.0984615384615384,-0.2775966183574879,0.0818102395688602
RMU-LAT,proxy_relation,component,33,33,16,17,0.4848484848484848,0.5876288659793815,-0.1027803811308966,-0.2415854672430994,0.0378006872852233
RMU-LAT,proxy_relation,general_proxy,11,11,7,4,0.6363636363636364,0.5876288659793815,0.0487347703842548,-0.2343033427054045,0.3226804123711341
RMU-LAT,proxy_relation,neighbor,8,8,6,2,0.75,0.5876288659793815,0.1623711340206185,-0.1773195876288659,0.4432989690721649
RMU-LAT,proxy_relation,precursor,17,17,13,4,0.7647058823529411,0.5876288659793815,0.1770770163735596,-0.0288768312533912,0.3608247422680413
RMU-LAT,proxy_relation,unclear,28,28,15,13,0.5357142857142857,0.5876288659793815,-0.0519145802650957,-0.2108482381689102,0.1087316463605121
RR,proxy_relation,component,30,30,24,6,0.8,0.6947368421052632,0.1052631578947368,-0.0242763157894736,0.233393829401089
RR,proxy_relation,general_proxy,12,12,9,3,0.75,0.6947368421052632,0.0552631578947367,-0.1926019091847264,0.2947368421052632
RR,proxy_relation,neighbor,10,10,6,4,0.6,0.6947368421052632,-0.0947368421052632,-0.4140350877192982,0.2000328947368415
RR,proxy_relation,precursor,16,16,12,4,0.75,0.6947368421052632,0.0552631578947367,-0.1631743421052631,0.2493927125506073
RR,proxy_relation,unclear,27,27,15,12,0.5555555555555556,0.6947368421052632,-0.1391812865497076,-0.3019116541353384,0.0134895833333333
RepNoise,proxy_relation,component,57,57,41,16,0.7192982456140351,0.7066666666666667,0.0126315789473684,-0.0799999999999999,0.1094145658263305
RepNoise,proxy_relation,general_proxy,17,17,14,3,0.8235294117647058,0.7066666666666667,0.1168627450980391,-0.0790714285714285,0.2866666666666666
RepNoise,proxy_relation,neighbor,11,11,10,1,0.9090909090909092,0.7066666666666667,0.2024242424242424,-0.0066666666666667,0.3466666666666667
RepNoise,proxy_relation,precursor,28,28,21,7,0.75,0.7066666666666667,0.0433333333333333,-0.1066666666666666,0.1823547237076648
RepNoise,proxy_relation,unclear,37,37,20,17,0.5405405405405406,0.7066666666666667,-0.1661261261261261,-0.3095876524390243,-0.0326783536585366
TAR,proxy_relation,component,47,47,35,12,0.7446808510638298,0.7107438016528925,0.0339370494109372,-0.0681818181818182,0.133150746364277
TAR,proxy_relation,general_proxy,16,16,11,5,0.6875,0.7107438016528925,-0.0232438016528925,-0.2573812551085279,0.1889807162534436
TAR,proxy_relation,neighbor,8,8,6,2,0.75,0.7107438016528925,0.0392561983471074,-0.3058736717827627,0.3140495867768594
TAR,proxy_relation,precursor,22,22,16,6,0.7272727272727273,0.7107438016528925,0.0165289256198347,-0.1658143939393938,0.1818630973769307
TAR,proxy_relation,unclear,28,28,18,10,0.6428571428571429,0.7107438016528925,-0.0678866587957496,-0.2326815230224321,0.089263085399449
