model,probe_type,clf,n_folds_complete,mean_n_test,mean_best_layer,std_best_layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
base,per_layer,LR,5,508.0,21.4,4.2708313008125245,0.6566929133858268,0.006421065523740231,0.6566929133858268,0.022465106484546634,0.6566929133858268,0.02875902735078689,0.6572385675195196,0.012099200210050788,0.6566929133858268,0.022465106484546634,0.6565573596972385,0.007786148131443159,0.7126945253890508,0.010865074631078922
base,per_layer,RF,5,508.0,16.2,1.6,0.6464566929133858,0.018407353901670823,0.6496062992125984,0.011410532871015337,0.6433070866141732,0.0280164517711137,0.6459347935215238,0.021133210499499958,0.6496062992125984,0.011410532871015337,0.6476885479783022,0.015446006495123071,0.7100052700105399,0.022181533589785033
base,per_layer,AdaBoost,5,508.0,18.0,2.280350850198276,0.639763779527559,0.022855000431023606,0.6582677165354329,0.021477451491316316,0.621259842519685,0.033257814302272225,0.635188937138055,0.023456896028350323,0.6582677165354329,0.021477451491316316,0.6463706584596833,0.0204368398852832,0.6893406286812572,0.022338735341316657
base,mid_band,LR,5,508.0,,,0.6921259842519685,0.016869515972935838,0.7007874015748032,0.027502754640272395,0.6834645669291339,0.02994197376666386,0.689316832977538,0.019850270143074115,0.7007874015748032,0.027502754640272395,0.6946466271559408,0.017641080027307472,0.7636865273730548,0.014466819230729216
base,mid_band,RF,5,508.0,,,0.6299212598425197,0.012938328130043272,0.6275590551181102,0.02920824722990772,0.6322834645669291,0.021649963913177188,0.630620143733065,0.012299668910411678,0.6275590551181102,0.02920824722990772,0.6287727646508541,0.017088832293508556,0.6825206150412302,0.014293808062443653
base,mid_band,AdaBoost,5,508.0,,,0.6279527559055118,0.007674641216384997,0.6220472440944882,0.02170716338911846,0.6338582677165354,0.023490447071143766,0.629769040038861,0.009983440388573805,0.6220472440944882,0.02170716338911846,0.6255873121662413,0.010535957848272602,0.6820184140368281,0.009476763065297822
base,full_layer,LR,5,508.0,,,0.676771653543307,0.015619554665257782,0.6913385826771654,0.016628907151136095,0.6622047244094488,0.03259880558186526,0.672442473513059,0.02038892526619144,0.6913385826771654,0.016628907151136095,0.6814709867195415,0.012392243194438574,0.7510881021762044,0.014070772082075553
base,full_layer,RF,5,508.0,,,0.6196850393700787,0.0033867422311191385,0.5921259842519685,0.0437415572041926,0.647244094488189,0.04156108100912328,0.6276322134352075,0.011383881256229751,0.5921259842519685,0.0437415572041926,0.608105066130644,0.018540309313547925,0.6737661975323951,0.004055024369572217
base,full_layer,AdaBoost,5,508.0,,,0.6224409448818897,0.02815442390359234,0.6283464566929133,0.0350017492455006,0.6165354330708661,0.02711681158696469,0.6208650597874428,0.02718646194852404,0.6283464566929133,0.0350017492455006,0.6244688246479223,0.030046797843084512,0.6757099014198028,0.024568157589348386
base,init_band,LR,5,508.0,,,0.6023622047244095,0.015094716151717195,0.5905511811023622,0.020228712722307293,0.6141732283464567,0.027048132342232564,0.6051710473235002,0.01734575634555107,0.5905511811023622,0.020228712722307293,0.5975533121702006,0.014896104579255802,0.6348285696571393,0.011182382824883184
base,init_band,RF,5,508.0,,,0.5452755905511811,0.02109148856059665,0.49921259842519683,0.019826265058290014,0.5913385826771653,0.038686987390671626,0.5506580758799504,0.024742707462252933,0.49921259842519683,0.019826265058290014,0.5233627495357881,0.01792216550308282,0.5644553289106577,0.014705342998297772
base,init_band,AdaBoost,5,508.0,,,0.5440944881889763,0.016684740236548905,0.5480314960629921,0.016777382482411438,0.5401574803149607,0.02287533708084086,0.5438887691593524,0.016993478140779516,0.5480314960629921,0.016777382482411438,0.5458862327137832,0.01579216634282307,0.5613785727571455,0.015296099710113347
base,init_band_emb,LR,5,508.0,,,0.6023622047244095,0.015094716151717195,0.5905511811023622,0.020228712722307293,0.6141732283464567,0.027048132342232564,0.6051710473235002,0.01734575634555107,0.5905511811023622,0.020228712722307293,0.5975533121702006,0.014896104579255802,0.6348409696819394,0.01117380281170999
base,init_band_emb,RF,5,508.0,,,0.5492125984251969,0.016563530683435163,0.5007874015748032,0.013952791454070346,0.5976377952755906,0.02766010719724456,0.5548919203139537,0.01932690828721666,0.5007874015748032,0.013952791454070346,0.5263221128528086,0.014268139487691225,0.5600626201252403,0.009179803558619117
base,init_band_emb,AdaBoost,5,508.0,,,0.5472440944881889,0.01908535376935562,0.5440944881889763,0.015826575781292748,0.5503937007874016,0.028973810225156077,0.547876848313626,0.020235031119162156,0.5440944881889763,0.015826575781292748,0.545879865168003,0.01654233005866064,0.5692076384152767,0.020251951042787108
base,end_band,LR,5,508.0,,,0.6732283464566929,0.011612504884844567,0.6834645669291338,0.020623308431037466,0.6629921259842521,0.019383517519828624,0.6698980723955474,0.012426678493404824,0.6834645669291338,0.020623308431037466,0.676443995906028,0.013009719400460399,0.747727695455391,0.012514336082821362
base,end_band,RF,5,508.0,,,0.6240157480314961,0.012635280736914318,0.6031496062992125,0.01204492798486487,0.6448818897637795,0.022739415871171113,0.6297217384028507,0.015596063554299443,0.6031496062992125,0.01204492798486487,0.616032350945661,0.010843032456153895,0.6761036022072044,0.006815880220096813
base,end_band,AdaBoost,5,508.0,,,0.6204724409448819,0.014908737188001144,0.647244094488189,0.0169976638936401,0.5937007874015748,0.02232668799804383,0.6145173822084237,0.015220675941439466,0.647244094488189,0.0169976638936401,0.6303578520252568,0.014007714959218888,0.6579468658937317,0.011101026976848007
base,ib_no_pca,LR,5,508.0,,,0.5716535433070866,0.012172932939952976,0.5755905511811024,0.015629474993133205,0.5677165354330709,0.023278339368652756,0.5713006848609103,0.01302072321746484,0.5755905511811024,0.015629474993133205,0.5733025167062278,0.011426432257357087,0.5969464938929878,0.010409424772006527
base,ib_no_pca,RF,5,508.0,,,0.5744094488188976,0.011369707935585532,0.5409448818897638,0.025828692073790124,0.6078740157480315,0.03437618890227254,0.5803373506290066,0.01450373491484723,0.5409448818897638,0.025828692073790124,0.5594332965619001,0.013481494450099421,0.5937813875627752,0.01795084508080518
base,ib_no_pca,AdaBoost,5,508.0,,,0.5551181102362205,0.03407275043058081,0.5480314960629922,0.050010848844725724,0.5622047244094489,0.0351608087586868,0.5553804842394394,0.03298729876276355,0.5480314960629922,0.050010848844725724,0.5512857566352336,0.040170199759768356,0.5681660363320726,0.023800628746788365
