fold,model,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
0,base,per_layer,LR,1524,508,508,28,0.6594488188976378,0.6771653543307087,0.6417322834645669,0.6539923954372624,0.6771653543307087,0.6653771760154739,0.723246946493893,172,82,163,91,508
0,base,per_layer,RF,1524,508,508,14,0.6259842519685039,0.6377952755905512,0.6141732283464567,0.6230769230769231,0.6377952755905512,0.6303501945525292,0.6800716101432203,162,92,156,98,508
0,base,per_layer,AdaBoost,1524,508,508,16,0.6318897637795275,0.6417322834645669,0.6220472440944882,0.6293436293436293,0.6417322834645669,0.6354775828460039,0.6903403806807613,163,91,158,96,508
0,base,mid_band,LR,1524,508,508,,0.6948818897637795,0.7440944881889764,0.6456692913385826,0.6774193548387096,0.7440944881889764,0.7091932457786116,0.7684295368590737,189,65,164,90,508
0,base,mid_band,RF,1524,508,508,,0.6299212598425197,0.6062992125984252,0.6535433070866141,0.6363636363636364,0.6062992125984252,0.6209677419354839,0.6792191084382169,154,100,166,88,508
0,base,mid_band,AdaBoost,1524,508,508,,0.6338582677165354,0.6181102362204725,0.6496062992125984,0.6382113821138211,0.6181102362204725,0.628,0.6860158720317441,157,97,165,89,508
0,base,full_layer,LR,1524,508,508,,0.6948818897637795,0.7165354330708661,0.6732283464566929,0.6867924528301886,0.7165354330708661,0.7013487475915221,0.757269514539029,182,72,171,83,508
0,base,full_layer,RF,1524,508,508,,0.6200787401574803,0.5275590551181102,0.7125984251968503,0.6473429951690821,0.5275590551181102,0.5813449023861171,0.6674933349866701,134,120,181,73,508
0,base,full_layer,AdaBoost,1524,508,508,,0.6594488188976378,0.6614173228346457,0.65748031496063,0.6588235294117647,0.6614173228346457,0.6601178781925344,0.7176204352408706,168,86,167,87,508
0,base,init_band,LR,1524,508,508,,0.6240157480314961,0.5866141732283464,0.6614173228346457,0.6340425531914894,0.5866141732283464,0.6094069529652352,0.6430807861615724,149,105,168,86,508
0,base,init_band,RF,1524,508,508,,0.5669291338582677,0.515748031496063,0.6181102362204725,0.5745614035087719,0.515748031496063,0.5435684647302904,0.5775699051398102,131,123,157,97,508
0,base,init_band,AdaBoost,1524,508,508,,0.5255905511811023,0.5196850393700787,0.531496062992126,0.5258964143426295,0.5196850393700787,0.5227722772277228,0.5581716163432326,132,122,135,119,508
0,base,init_band_emb,LR,1524,508,508,,0.6240157480314961,0.5866141732283464,0.6614173228346457,0.6340425531914894,0.5866141732283464,0.6094069529652352,0.6430962861925724,149,105,168,86,508
0,base,init_band_emb,RF,1524,508,508,,0.5649606299212598,0.5236220472440944,0.6062992125984252,0.5708154506437768,0.5236220472440944,0.5462012320328542,0.5729198958397917,133,121,154,100,508
0,base,init_band_emb,AdaBoost,1524,508,508,,0.5255905511811023,0.5196850393700787,0.531496062992126,0.5258964143426295,0.5196850393700787,0.5227722772277228,0.5583576167152333,132,122,135,119,508
0,base,end_band,LR,1524,508,508,,0.6732283464566929,0.7125984251968503,0.6338582677165354,0.6605839416058394,0.7125984251968503,0.6856060606060606,0.7471479942959887,181,73,161,93,508
0,base,end_band,RF,1524,508,508,,0.6417322834645669,0.6023622047244095,0.6811023622047244,0.6538461538461539,0.6023622047244095,0.6270491803278688,0.6840086180172361,153,101,173,81,508
0,base,end_band,AdaBoost,1524,508,508,,0.6240157480314961,0.6299212598425197,0.6181102362204725,0.622568093385214,0.6299212598425197,0.6262230919765166,0.6709653419306838,160,94,157,97,508
0,base,ib_no_pca,LR,1524,508,508,,0.5767716535433071,0.5905511811023622,0.562992125984252,0.5747126436781609,0.5905511811023622,0.5825242718446602,0.6079577159154318,150,104,143,111,508
0,base,ib_no_pca,RF,1524,508,508,,0.5846456692913385,0.5196850393700787,0.6496062992125984,0.5972850678733032,0.5196850393700787,0.5557894736842105,0.5991381982763966,132,122,165,89,508
0,base,ib_no_pca,AdaBoost,1524,508,508,,0.5216535433070866,0.47244094488188976,0.5708661417322834,0.5240174672489083,0.47244094488188976,0.4968944099378882,0.5558621117242235,120,134,145,109,508
0,base,vote_ensemble,LR,1524,508,508,,0.6614173228346457,0.6889763779527559,0.6338582677165354,0.6529850746268657,0.6889763779527559,0.6704980842911877,,175,79,161,93,508
0,base,vote_ensemble,RF,1524,508,508,,0.65748031496063,0.6535433070866141,0.6614173228346457,0.6587301587301587,0.6535433070866141,0.6561264822134387,,166,88,168,86,508
0,base,vote_ensemble,AdaBoost,1524,508,508,,0.6751968503937008,0.6889763779527559,0.6614173228346457,0.6704980842911877,0.6889763779527559,0.6796116504854369,,175,79,168,86,508
0,base,avg_ensemble,LR,1524,508,508,,0.655511811023622,0.6929133858267716,0.6181102362204725,0.6446886446886447,0.6929133858267716,0.6679316888045541,0.7352749705499412,176,78,157,97,508
0,base,avg_ensemble,RF,1524,508,508,,0.6614173228346457,0.6653543307086615,0.65748031496063,0.66015625,0.6653543307086615,0.6627450980392157,0.733492466984934,169,85,167,87,508
