method,ck,clf,layer,mean_accuracy,std_accuracy,ci95_accuracy,mean_true_accuracy,std_true_accuracy,ci95_true_accuracy,mean_false_accuracy,std_false_accuracy,ci95_false_accuracy,mean_precision,std_precision,ci95_precision,mean_recall,std_recall,ci95_recall,mean_f1,std_f1,ci95_f1,mean_auc,std_auc,ci95_auc
ELM,1,AdaBoost,1,0.5539370078740158,0.017633224942172166,0.024478840539772825,0.553543307086614,0.02653905440370507,0.036842113847872504,0.5543307086614173,0.045465196955124576,0.06311581177145474,0.5549096669001836,0.020083961786277655,0.027881008697245115,0.553543307086614,0.02653905440370507,0.036842113847872504,0.5536204354893259,0.014864756202639409,0.020635589799388402,0.5687689875379751,0.022614584855591455,0.031394076714193586
ELM,1,AdaBoost,2,0.5433070866141733,0.010781940108369427,0.014967732419209056,0.5448818897637795,0.013546968924476589,0.018806207780314853,0.5417322834645668,0.01485666320008914,0.020624354910729878,0.5432044113373912,0.010992366348048682,0.015259850870790381,0.5448818897637795,0.013546968924476589,0.018806207780314853,0.5439959740554927,0.011230155414982361,0.015589955016269167,0.5577717155434311,0.020418630134515826,0.028345602845910364
ELM,1,AdaBoost,3,0.537007874015748,0.026539054403705072,0.03684211384787251,0.537007874015748,0.015469986381408282,0.021475783983068812,0.537007874015748,0.038942560689380276,0.05406094100494904,0.5376673426732351,0.02717949207249028,0.03773118386321401,0.537007874015748,0.015469986381408282,0.021475783983068812,0.5372459042782487,0.02099977631215714,0.029152363076068683,0.5509114018228036,0.027889945106221337,0.03871745078720176
ELM,1,AdaBoost,4,0.5295275590551181,0.031000031000046512,0.04303494216552958,0.5440944881889763,0.022465106484546617,0.03118656746838339,0.5149606299212598,0.05502804790442881,0.07639117712642068,0.5299650791257925,0.03052597521215403,0.04237684722958719,0.5440944881889763,0.022465106484546617,0.03118656746838339,0.5365272903037103,0.022687770787440213,0.031495675075318995,0.5515887531775062,0.02131234061645115,0.02958627189242702
ELM,1,AdaBoost,5,0.5377952755905512,0.007814737496566604,0.010848594835374021,0.5590551181102362,0.014518967649280111,0.020155558331184476,0.5165354330708661,0.020289919254685235,0.028166923499764688,0.5363793092440903,0.008179220160084027,0.011354577888900225,0.5590551181102362,0.014518967649280111,0.020155558331184476,0.5473573772741327,0.008058414147617437,0.011186872257904563,0.5543555087110175,0.012626748613696417,0.017528737191530253
ELM,1,AdaBoost,6,0.544488188976378,0.00365103090373846,0.0050684434408052705,0.5606299212598425,0.019542793143292693,0.02712974618229405,0.5283464566929134,0.01853323196210997,0.025728250582347807,0.5431344667299725,0.0036131102063782154,0.005015801073519502,0.5606299212598425,0.019542793143292693,0.02712974618229405,0.5515596135746533,0.009651573396661119,0.01339853185730853,0.5627456754913511,0.005813686202028268,0.008070690299388682
ELM,1,AdaBoost,7,0.5468503937007874,0.014804406044852891,0.02055181034929626,0.5614173228346456,0.02888808870526635,0.04010309624212828,0.5322834645669291,0.031828949498279906,0.044185665519043585,0.5457359566651786,0.015383025883667693,0.0213550634589201,0.5614173228346456,0.02888808870526635,0.04010309624212828,0.5531039550013194,0.0175223086544842,0.02432486404775384,0.5651915803831609,0.02676894368269916,0.037161251329572806
ELM,1,AdaBoost,8,0.5468503937007874,0.00926661598105496,0.012864125291173869,0.5574803149606299,0.02179268110724102,0.03025309139466794,0.5362204724409448,0.022465106484546634,0.031186567468383414,0.5459655734808292,0.009198004175302532,0.012768876835053814,0.5574803149606299,0.02179268110724102,0.03025309139466794,0.5514427698589072,0.012596566954369094,0.017486838331377208,0.5578011656023312,0.012613534768826746,0.017510393434075632
ELM,1,AdaBoost,9,0.5468503937007874,0.004885698285823163,0.006782436545573497,0.5511811023622047,0.009959929638325586,0.013826598946221777,0.5425196850393701,0.008407148229945899,0.011670992775852814,0.5464449806320208,0.00480087118616248,0.0066646776527529835,0.5511811023622047,0.009959929638325586,0.013826598946221777,0.5487700256149939,0.006526736267508859,0.009060562481420962,0.5734608469216939,0.007502792207061183,0.010415545349305607
ELM,1,AdaBoost,10,0.5622047244094488,0.023444212489699842,0.03254578450612211,0.5724409448818897,0.051187158939039384,0.07105916844263882,0.5519685039370079,0.022187405989929705,0.03080105737888832,0.5602427648807004,0.019677852966155332,0.027317239274341976,0.5724409448818897,0.051187158939039384,0.07105916844263882,0.5657259221839466,0.03317200476356549,0.04605012512769973,0.5855555211110423,0.021183351215062294,0.029407205896372766
