method,ck,fold,clf,layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc
GradDiff,1,0,LR,1,0.5846456692913385,0.6023622047244095,0.5669291338582677,0.5817490494296578,0.6023622047244095,0.5918762088974855,0.5910781821563642
GradDiff,1,0,LR,2,0.5807086614173228,0.5826771653543307,0.5787401574803149,0.5803921568627451,0.5826771653543307,0.581532416502947,0.595743691487383
GradDiff,1,0,LR,3,0.5590551181102362,0.5708661417322834,0.547244094488189,0.5576923076923077,0.5708661417322834,0.5642023346303502,0.5905201810403621
GradDiff,1,0,LR,4,0.5748031496062992,0.5905511811023622,0.5590551181102362,0.5725190839694656,0.5905511811023622,0.5813953488372093,0.6006417012834027
GradDiff,1,0,LR,5,0.5610236220472441,0.6023622047244095,0.5196850393700787,0.5563636363636364,0.6023622047244095,0.5784499054820416,0.5844751689503379
GradDiff,1,0,LR,6,0.59251968503937,0.5905511811023622,0.594488188976378,0.5928853754940712,0.5905511811023622,0.591715976331361,0.6119877239754479
GradDiff,1,0,LR,7,0.5688976377952756,0.5511811023622047,0.5866141732283464,0.5714285714285714,0.5511811023622047,0.561122244488978,0.6158782317564635
GradDiff,1,0,LR,8,0.5964566929133859,0.6220472440944882,0.5708661417322834,0.5917602996254682,0.6220472440944882,0.6065259117082533,0.6156922313844628
GradDiff,1,0,LR,9,0.5964566929133859,0.6220472440944882,0.5708661417322834,0.5917602996254682,0.6220472440944882,0.6065259117082533,0.6219852439704879
GradDiff,1,0,LR,10,0.5984251968503937,0.6062992125984252,0.5905511811023622,0.5968992248062015,0.6062992125984252,0.6015625,0.6515438030876063
GradDiff,1,0,LR,11,0.6062992125984252,0.65748031496063,0.5551181102362205,0.5964285714285714,0.65748031496063,0.6254681647940075,0.6461652923305847
GradDiff,1,0,LR,12,0.6318897637795275,0.6338582677165354,0.6299212598425197,0.6313725490196078,0.6338582677165354,0.6326129666011788,0.6643003286006571
GradDiff,1,0,LR,13,0.6141732283464567,0.6181102362204725,0.610236220472441,0.61328125,0.6181102362204725,0.615686274509804,0.6718798437596875
GradDiff,1,0,LR,14,0.6377952755905512,0.6259842519685039,0.6496062992125984,0.6411290322580645,0.6259842519685039,0.6334661354581673,0.689022878045756
GradDiff,1,0,LR,15,0.6456692913385826,0.6535433070866141,0.6377952755905512,0.6434108527131783,0.6535433070866141,0.6484375,0.6911928823857647
GradDiff,1,0,LR,16,0.6318897637795275,0.6220472440944882,0.6417322834645669,0.6345381526104418,0.6220472440944882,0.6282306163021869,0.6906503813007625
GradDiff,1,0,LR,17,0.6299212598425197,0.6338582677165354,0.6259842519685039,0.62890625,0.6338582677165354,0.6313725490196078,0.6875658751317503
GradDiff,1,0,LR,18,0.6437007874015748,0.6614173228346457,0.6259842519685039,0.6387832699619772,0.6614173228346457,0.6499032882011605,0.6878448756897514
GradDiff,1,0,LR,19,0.655511811023622,0.6692913385826772,0.6417322834645669,0.6513409961685823,0.6692913385826772,0.6601941747572816,0.6941378882757765
GradDiff,1,0,LR,20,0.6259842519685039,0.6614173228346457,0.5905511811023622,0.6176470588235294,0.6614173228346457,0.6387832699619772,0.6905418810837622
GradDiff,1,0,LR,21,0.6181102362204725,0.6299212598425197,0.6062992125984252,0.6153846153846154,0.6299212598425197,0.622568093385214,0.6919368838737677
GradDiff,1,0,LR,22,0.6358267716535433,0.6496062992125984,0.6220472440944882,0.632183908045977,0.6496062992125984,0.6407766990291263,0.6961063922127845
GradDiff,1,0,LR,23,0.610236220472441,0.6299212598425197,0.5905511811023622,0.6060606060606061,0.6299212598425197,0.6177606177606177,0.6860623721247443
