method,ck,fold,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
GradDiff,1,0,per_layer,LR,1524,508,508,31,0.6338582677165354,0.6299212598425197,0.6377952755905512,0.6349206349206349,0.6299212598425197,0.6324110671936759,0.6763128526257052,160,94,162,92,508
GradDiff,1,0,per_layer,RF,1524,508,508,16,0.6161417322834646,0.5590551181102362,0.6732283464566929,0.6311111111111111,0.5590551181102362,0.592901878914405,0.6773281046562093,142,112,171,83,508
GradDiff,1,0,per_layer,AdaBoost,1524,508,508,23,0.5984251968503937,0.5748031496062992,0.6220472440944882,0.6033057851239669,0.5748031496062992,0.5887096774193549,0.6493737987475975,146,108,158,96,508
GradDiff,1,0,mid_band,LR,1524,508,508,,0.6653543307086615,0.6811023622047244,0.6496062992125984,0.6603053435114504,0.6811023622047244,0.6705426356589147,0.746760493520987,173,81,165,89,508
GradDiff,1,0,mid_band,RF,1524,508,508,,0.6141732283464567,0.5748031496062992,0.6535433070866141,0.6239316239316239,0.5748031496062992,0.5983606557377049,0.6526830553661108,146,108,166,88,508
GradDiff,1,0,mid_band,AdaBoost,1524,508,508,,0.5885826771653543,0.6220472440944882,0.5551181102362205,0.5830258302583026,0.6220472440944882,0.6019047619047619,0.6385625271250542,158,96,141,113,508
GradDiff,1,0,full_layer,LR,1524,508,508,,0.6751968503937008,0.6850393700787402,0.6653543307086615,0.6718146718146718,0.6850393700787402,0.6783625730994152,0.7360189720379441,174,80,169,85,508
GradDiff,1,0,full_layer,RF,1524,508,508,,0.6082677165354331,0.5866141732283464,0.6299212598425197,0.6131687242798354,0.5866141732283464,0.5995975855130785,0.6576353152706305,149,105,160,94,508
GradDiff,1,0,full_layer,AdaBoost,1524,508,508,,0.6318897637795275,0.6417322834645669,0.6220472440944882,0.6293436293436293,0.6417322834645669,0.6354775828460039,0.6789943579887159,163,91,158,96,508
GradDiff,1,0,init_band,LR,1524,508,508,,0.6062992125984252,0.5708661417322834,0.6417322834645669,0.614406779661017,0.5708661417322834,0.5918367346938775,0.644754789509579,145,109,163,91,508
