method,probe_quad,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
Base,N/A,gen,-,1146,352,143,429,221,1,0.7111,0.6143,0.6592,
Base,N/A,logit,-,1146,329,131,442,244,,0.7152,0.5742,0.637,0.7546
Base,base,pl,LR,1146,375,210,363,198,,0.641,0.6545,0.6477,0.703
Base,base,mb,LR,1146,389,173,400,184,,0.6922,0.6789,0.6855,0.758
Base,base,vote,LR,1146,369,196,377,204,,0.6531,0.644,0.6485,
Base,base,avg,LR,1146,369,189,384,204,,0.6613,0.644,0.6525,0.7208
Base,base,fl,LR,1146,382,198,375,191,,0.6586,0.6667,0.6626,0.7428
Base,base,ib,LR,1146,333,231,342,240,,0.5904,0.5812,0.5858,0.6253
Base,base,ibe,LR,1146,333,231,342,240,,0.5904,0.5812,0.5858,0.6253
Base,base,eb,LR,1146,369,176,397,204,,0.6771,0.644,0.6601,0.7371
Base,base,pl,RF,1146,348,194,379,225,,0.6421,0.6073,0.6242,0.7064
Base,base,mb,RF,1146,350,204,369,223,,0.6318,0.6108,0.6211,0.687
Base,base,vote,RF,1146,342,170,403,231,,0.668,0.5969,0.6304,
Base,base,avg,RF,1146,351,181,392,222,,0.6598,0.6126,0.6353,0.7321
Base,base,fl,RF,1146,328,192,381,245,,0.6308,0.5724,0.6002,0.6792
Base,base,ib,RF,1146,276,219,354,297,,0.5576,0.4817,0.5169,0.5744
Base,base,ibe,RF,1146,281,224,349,292,,0.5564,0.4904,0.5213,0.5726
Base,base,eb,RF,1146,318,191,382,255,,0.6248,0.555,0.5878,0.6592
Base,base,pl,AdaBoost,1146,351,198,375,222,,0.6393,0.6126,0.6257,0.6875
Base,base,mb,AdaBoost,1146,349,205,368,224,,0.63,0.6091,0.6193,0.7033
Base,base,vote,AdaBoost,1146,386,183,390,187,,0.6784,0.6736,0.676,
Base,base,avg,AdaBoost,1146,386,189,384,187,,0.6713,0.6736,0.6725,0.7452
Base,base,fl,AdaBoost,1146,373,235,338,200,,0.6135,0.651,0.6317,0.6684
Base,base,ib,AdaBoost,1146,295,245,328,278,,0.5463,0.5148,0.5301,0.5655
Base,base,ibe,AdaBoost,1146,284,220,353,289,,0.5635,0.4956,0.5274,0.5758
Base,base,eb,AdaBoost,1146,364,215,358,209,,0.6287,0.6353,0.6319,0.6787
GradDiff,N/A,gen,-,1146,1,0,0,0,1145,1.0,0.0017,0.0035,
GradDiff,N/A,logit,-,1146,568,564,9,5,,0.5018,0.9913,0.6663,0.5457
GradDiff,base,pl,LR,1146,349,362,211,224,,0.4909,0.6091,0.5436,0.4925
GradDiff,base,mb,LR,1146,15,11,562,558,,0.5769,0.0262,0.0501,0.5457
GradDiff,base,vote,LR,1146,0,0,573,573,,0.0,0.0,0.0,
GradDiff,base,avg,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5324
GradDiff,base,fl,LR,1146,7,8,565,566,,0.4667,0.0122,0.0238,0.5434
GradDiff,base,ib,LR,1146,288,200,373,285,,0.5902,0.5026,0.5429,0.6196
GradDiff,base,ibe,LR,1146,288,200,373,285,,0.5902,0.5026,0.5429,0.6196
GradDiff,base,eb,LR,1146,93,90,483,480,,0.5082,0.1623,0.246,0.5056
GradDiff,base,pl,RF,1146,162,163,410,411,,0.4985,0.2827,0.3608,0.5134
GradDiff,base,mb,RF,1146,88,86,487,485,,0.5057,0.1536,0.2356,0.485
GradDiff,base,vote,RF,1146,242,247,326,331,,0.4949,0.4223,0.4557,
