method,subset,n_pairs,gen_acc,gen_valid_acc,gen_true,gen_false,gen_gib,gen_precision,gen_recall,gen_f1,logit_acc,logit_true,logit_false,logit_precision,logit_recall,logit_f1,logit_auc
Base,og,2574,0.4425,0.5911,0.3341,0.5509,0.2514,0.6277,0.3341,0.4361,0.5606,0.4002,0.7211,0.5892,0.4002,0.4766,0.6073
Base,pattern,1682,0.5488,0.6096,0.4423,0.6552,0.0999,0.6425,0.4423,0.5239,0.5868,0.4281,0.7455,0.6272,0.4281,0.5088,0.6489
Base,gibberish,1922,0.5916,0.5916,0.4464,0.7367,0.0,0.629,0.4464,0.5222,0.5796,0.3871,0.7721,0.6294,0.3871,0.4794,0.6423
Base,both,1512,0.6098,0.6098,0.4921,0.7275,0.0,0.6436,0.4921,0.5577,0.5972,0.4431,0.7513,0.6405,0.4431,0.5238,0.6648
GradDiff,og,2574,0.0614,0.513,0.1049,0.0179,0.8803,0.5056,0.1049,0.1737,0.5455,0.6138,0.4771,0.54,0.6138,0.5745,0.5704
GradDiff,pattern,1682,0.0416,0.5303,0.0761,0.0071,0.9215,0.5203,0.0761,0.1328,0.5618,0.7122,0.4114,0.5475,0.7122,0.6191,0.6023
GradDiff,gibberish,1922,0.0817,0.5148,0.1394,0.0239,0.8413,0.5076,0.1394,0.2188,0.5598,0.6431,0.4766,0.5513,0.6431,0.5937,0.5894
GradDiff,both,1512,0.0463,0.5344,0.0847,0.0079,0.9134,0.5246,0.0847,0.1458,0.5675,0.754,0.381,0.5491,0.754,0.6355,0.613
RMU,og,2574,0.4413,0.5877,0.3458,0.5369,0.249,0.6189,0.3458,0.4437,0.566,0.4242,0.7078,0.5922,0.4242,0.4943,0.6118
RMU,pattern,1682,0.5482,0.6074,0.4982,0.5981,0.0975,0.6207,0.4982,0.5528,0.5945,0.4923,0.6968,0.6188,0.4923,0.5483,0.6569
RMU,gibberish,1922,0.5858,0.5874,0.4589,0.7128,0.0026,0.6176,0.4589,0.5266,0.5858,0.4225,0.7492,0.6275,0.4225,0.505,0.6458
RMU,both,1512,0.6052,0.6072,0.5529,0.6574,0.0033,0.6202,0.5529,0.5846,0.6052,0.5132,0.6971,0.6288,0.5132,0.5652,0.6721
RMU-LAT,og,2574,0.4324,0.5749,0.2152,0.6496,0.2479,0.6756,0.2152,0.3265,0.5556,0.3061,0.805,0.6109,0.3061,0.4079,0.6079
RMU-LAT,pattern,1682,0.541,0.5963,0.3294,0.7527,0.0927,0.6806,0.3294,0.4439,0.5832,0.3317,0.8347,0.6675,0.3317,0.4432,0.6583
RMU-LAT,gibberish,1922,0.5734,0.5752,0.283,0.8637,0.0031,0.68,0.283,0.3997,0.5713,0.2601,0.8824,0.6887,0.2601,0.3776,0.6433
RMU-LAT,both,1512,0.5946,0.5954,0.3598,0.8294,0.0013,0.68,0.3598,0.4706,0.5913,0.3307,0.8519,0.6906,0.3307,0.4472,0.673
RepNoise,og,2574,0.345,0.6037,0.4281,0.2618,0.4285,0.5825,0.4281,0.4935,0.5618,0.5952,0.5284,0.5579,0.5952,0.5759,0.5804
RepNoise,pattern,1682,0.5024,0.6105,0.6231,0.3817,0.1772,0.5861,0.6231,0.604,0.5892,0.6468,0.5315,0.58,0.6468,0.6116,0.6188
RepNoise,gibberish,1922,0.4573,0.6033,0.5702,0.3444,0.2419,0.5817,0.5702,0.5759,0.5806,0.5723,0.589,0.582,0.5723,0.5771,0.6123
RepNoise,both,1512,0.5529,0.6102,0.6892,0.4167,0.0939,0.5854,0.6892,0.633,0.5972,0.6389,0.5556,0.5897,0.6389,0.6133,0.6339
ELM,og,2574,0.3904,0.5183,0.1002,0.6807,0.2467,0.5811,0.1002,0.171,0.512,0.2494,0.7747,0.5254,0.2494,0.3383,0.5219
ELM,pattern,1682,0.4738,0.5226,0.1379,0.8098,0.0933,0.5888,0.1379,0.2235,0.5184,0.1677,0.8692,0.5618,0.1677,0.2582,0.5327
ELM,gibberish,1922,0.5161,0.518,0.1311,0.9011,0.0036,0.5806,0.1311,0.2139,0.5156,0.1113,0.9199,0.5815,0.1113,0.1869,0.5291
ELM,both,1512,0.5198,0.5216,0.1495,0.8902,0.0033,0.5855,0.1495,0.2381,0.5198,0.1336,0.9061,0.5872,0.1336,0.2177,0.5347
RR,og,2574,0.4375,0.5831,0.296,0.5789,0.2498,0.6329,0.296,0.4034,0.5567,0.3629,0.7506,0.5926,0.3629,0.4501,0.6061
RR,pattern,1682,0.5434,0.6025,0.4019,0.6849,0.0981,0.6475,0.4019,0.496,0.5826,0.3841,0.7812,0.6371,0.3841,0.4792,0.6475
RR,gibberish,1922,0.5827,0.583,0.3944,0.7711,0.0005,0.6338,0.3944,0.4862,0.5744,0.3361,0.8127,0.6421,0.3361,0.4413,0.6417
RR,both,1512,0.6019,0.6023,0.4471,0.7566,0.0007,0.6488,0.4471,0.5294,0.5926,0.3929,0.7923,0.6542,0.3929,0.4909,0.6635
TAR,og,2574,0.3749,0.5018,0.0039,0.7459,0.2529,0.8333,0.0039,0.0077,0.4992,0.0925,0.906,0.4958,0.0925,0.1559,0.5638
TAR,pattern,1682,0.4536,0.5026,0.0059,0.9013,0.0975,0.8333,0.0059,0.0118,0.5,0.0499,0.9501,0.5,0.0499,0.0908,0.6034
TAR,gibberish,1922,0.4974,0.5016,0.0052,0.9896,0.0083,0.8333,0.0052,0.0103,0.5005,0.0031,0.9979,0.6,0.0031,0.0062,0.6046
TAR,both,1512,0.4993,0.5023,0.0066,0.9921,0.006,0.8333,0.0066,0.0131,0.5013,0.004,0.9987,0.75,0.004,0.0079,0.6269
PB&J,og,2574,0.4433,0.5921,0.3434,0.5431,0.2514,0.627,0.3434,0.4438,0.566,0.4204,0.7117,0.5932,0.4204,0.492,0.6083
PB&J,pattern,1682,0.5511,0.6131,0.4614,0.6409,0.1011,0.6413,0.4614,0.5367,0.5957,0.4554,0.736,0.6331,0.4554,0.5297,0.6504
PB&J,gibberish,1922,0.5921,0.5927,0.4579,0.7263,0.001,0.6277,0.4579,0.5295,0.5869,0.411,0.7627,0.634,0.411,0.4987,0.6431
PB&J,both,1512,0.6124,0.6132,0.5132,0.7116,0.0013,0.6424,0.5132,0.5706,0.6071,0.4696,0.7447,0.6478,0.4696,0.5445,0.6664
Llama3-8B,og,2574,0.3963,0.5212,0.7397,0.0528,0.2397,0.511,0.7397,0.6044,0.5287,0.8353,0.2222,0.5178,0.8353,0.6393,0.5861
Llama3-8B,pattern,1682,0.478,0.5272,0.8787,0.0773,0.0933,0.5143,0.8787,0.6488,0.5428,0.8859,0.1998,0.5254,0.8859,0.6596,0.6431
Llama3-8B,gibberish,1922,0.5177,0.5215,0.9677,0.0676,0.0073,0.5113,0.9677,0.6691,0.5395,0.9594,0.1197,0.5215,0.9594,0.6757,0.6354
Llama3-8B,both,1512,0.5245,0.5273,0.9643,0.0847,0.0053,0.5145,0.9643,0.671,0.5476,0.9524,0.1429,0.5263,0.9524,0.678,0.6699
