method,gen_acc,gen_valid_acc,gen_true,gen_false,gen_margin,gibberish,gen_precision,gen_recall,gen_f1,logit_acc,logit_true,logit_false,logit_margin,logit_precision,logit_recall,logit_f1,logit_auc
Base,0.6815,0.6821,0.6143,0.7487,,0.0009,0.7111,0.6143,0.6592,0.6728,0.5742,0.7714,-0.5262,0.7152,0.5742,0.637,0.7546
GradDiff,0.0009,1.0,0.0017,0.0,,0.9991,1.0,0.0017,0.0035,0.5035,0.9913,0.0157,5.8585,0.5018,0.9913,0.6663,0.5457
RMU,0.4581,0.5303,0.4363,0.4799,,0.1361,0.5274,0.4363,0.4776,0.5262,0.5236,0.5288,0.115,0.5263,0.5236,0.5249,0.5394
RMU-LAT,0.4625,0.5359,0.4031,0.5218,,0.137,0.5372,0.4031,0.4606,0.5314,0.4991,0.5637,0.1279,0.5336,0.4991,0.5158,0.546
RepNoise,0.0602,0.5188,0.0436,0.0768,,0.8839,0.5319,0.0436,0.0806,0.5044,0.6614,0.3473,0.5868,0.5033,0.6614,0.5716,0.5114
ELM,0.5227,0.5227,0.8045,0.2408,,0.0,0.5145,0.8045,0.6276,0.5166,0.7627,0.2705,1.2813,0.5111,0.7627,0.612,0.5323
RR,0.3848,0.5661,0.1414,0.6283,,0.3202,0.7043,0.1414,0.2355,0.5279,0.1675,0.8883,-1.9808,0.6,0.1675,0.2619,0.5846
TAR,0.5,0.5,0.0,1.0,,0.0,0.0,0.0,0.0,0.5,0.0,1.0,-1.8746,0.0,0.0,0.0,0.5358
PB&J,0.4276,0.5543,0.3543,0.5009,,0.2286,0.5399,0.3543,0.4278,0.5262,0.3892,0.6632,-0.656,0.5361,0.3892,0.451,0.5512
Llama3-8B,0.5585,0.5585,0.9895,0.1274,,0.0,0.5314,0.9895,0.6915,0.5716,0.9703,0.1728,0.7136,0.5398,0.9703,0.6937,0.7573
Llama-3-70B-Instruct,0.7339,0.7351,0.9162,0.5515,,0.0017,0.6714,0.9162,0.7749,0.7365,0.9162,0.5567,4.4619,0.6739,0.9162,0.7766,0.8615
