method,pl_lr_acc,pl_lr_true,pl_lr_fals,pl_lr_lyr,pl_lr_prec,pl_lr_rec,pl_lr_f1,pl_lr_auc,pl_rf_acc,pl_rf_true,pl_rf_fals,pl_rf_lyr,pl_rf_prec,pl_rf_rec,pl_rf_f1,pl_rf_auc,pl_adaboost_acc,pl_adaboost_true,pl_adaboost_fals,pl_adaboost_lyr,pl_adaboost_prec,pl_adaboost_rec,pl_adaboost_f1,pl_adaboost_auc,ml_lr_acc,ml_lr_true,ml_lr_fals,ml_lr_prec,ml_lr_rec,ml_lr_f1,ml_lr_auc,ml_rf_acc,ml_rf_true,ml_rf_fals,ml_rf_prec,ml_rf_rec,ml_rf_f1,ml_rf_auc,ml_adaboost_acc,ml_adaboost_true,ml_adaboost_fals,ml_adaboost_prec,ml_adaboost_rec,ml_adaboost_f1,ml_adaboost_auc,vote_lr_acc,vote_lr_true,vote_lr_fals,vote_lr_prec,vote_lr_rec,vote_lr_f1,vote_rf_acc,vote_rf_true,vote_rf_fals,vote_rf_prec,vote_rf_rec,vote_rf_f1,vote_adaboost_acc,vote_adaboost_true,vote_adaboost_fals,vote_adaboost_prec,vote_adaboost_rec,vote_adaboost_f1,avg_lr_acc,avg_lr_true,avg_lr_fals,avg_lr_prec,avg_lr_rec,avg_lr_f1,avg_lr_auc,avg_rf_acc,avg_rf_true,avg_rf_fals,avg_rf_prec,avg_rf_rec,avg_rf_f1,avg_rf_auc,avg_adaboost_acc,avg_adaboost_true,avg_adaboost_fals,avg_adaboost_prec,avg_adaboost_rec,avg_adaboost_f1,avg_adaboost_auc
Base,0.644,0.6545,0.6335,28,0.641,0.6545,0.6477,0.703,0.6344,0.6073,0.6614,17,0.6421,0.6073,0.6242,0.7064,0.6335,0.6126,0.6545,21,0.6393,0.6126,0.6257,0.6875,0.6806,0.6719,0.6894,0.6838,0.6719,0.6778,0.7584,0.6195,0.5899,0.6492,0.6271,0.5899,0.6079,0.6795,0.6361,0.6038,0.6684,0.6455,0.6038,0.624,0.6923,0.6492,0.637,0.6614,0.653,0.637,0.6449,0.6518,0.6108,0.6928,0.6654,0.6108,0.6369,0.6719,0.6736,0.6702,0.6713,0.6736,0.6725,0.6545,0.6457,0.6632,0.6572,0.6457,0.6514,0.7233,0.6536,0.6318,0.6754,0.6606,0.6318,0.6459,0.7334,0.6675,0.6754,0.6597,0.6649,0.6754,0.6701,0.7426
GradDiff,0.4887,0.6091,0.3682,28,0.4909,0.6091,0.5436,0.4925,0.4991,0.2827,0.7155,17,0.4985,0.2827,0.3608,0.5134,0.5,1.0,0.0,21,0.5,1.0,0.6667,0.4985,0.5009,0.9983,0.0035,0.5004,0.9983,0.6667,0.5303,0.5009,0.9058,0.096,0.5005,0.9058,0.6447,0.5034,0.5026,0.4677,0.5375,0.5028,0.4677,0.4846,0.5031,0.5,0.0,1.0,0.0,0.0,0.0,0.493,0.4817,0.5044,0.4929,0.4817,0.4872,0.5113,0.4188,0.6038,0.5139,0.4188,0.4615,0.5,0.0,1.0,0.0,0.0,0.0,0.5424,0.5192,0.8045,0.2339,0.5122,0.8045,0.6259,0.5055,0.5,1.0,0.0,0.5,1.0,0.6667,0.5168
RMU,0.5079,0.0733,0.9424,28,0.56,0.0733,0.1296,0.5127,0.4887,0.5881,0.3892,17,0.4905,0.5881,0.5349,0.512,0.5218,0.5148,0.5288,21,0.5221,0.5148,0.5185,0.5188,0.5052,0.3543,0.6562,0.5075,0.3543,0.4173,0.515,0.5131,0.2845,0.7417,0.5241,0.2845,0.3688,0.5148,0.5175,0.3072,0.7277,0.5301,0.3072,0.389,0.5228,0.5,0.0105,0.9895,0.5,0.0105,0.0205,0.5201,0.3822,0.6579,0.5277,0.3822,0.4433,0.5131,0.3909,0.6353,0.5173,0.3909,0.4453,0.5009,0.0105,0.9913,0.5455,0.0105,0.0205,0.5115,0.5148,0.5113,0.5183,0.5149,0.5113,0.5131,0.5188,0.5244,0.2914,0.7574,0.5458,0.2914,0.38,0.5385
RMU-LAT,0.5026,0.0052,1.0,28,1.0,0.0052,0.0104,0.5138,0.4921,0.7592,0.2251,17,0.4949,0.7592,0.5992,0.4838,0.5061,0.6178,0.3944,21,0.505,0.6178,0.5557,0.5073,0.5227,0.2862,0.7592,0.543,0.2862,0.3749,0.5345,0.4887,0.2007,0.7766,0.4733,0.2007,0.2819,0.4952,0.5305,0.5166,0.5445,0.5314,0.5166,0.5239,0.5389,0.5,0.0,1.0,0.0,0.0,0.0,0.5148,0.63,0.3997,0.5121,0.63,0.5649,0.5262,0.4398,0.6126,0.5316,0.4398,0.4814,0.5,0.0,1.0,0.0,0.0,0.0,0.528,0.5052,0.7784,0.2321,0.5034,0.7784,0.6114,0.498,0.5122,0.2356,0.7888,0.5273,0.2356,0.3257,0.5263
RepNoise,0.5227,0.3752,0.6702,28,0.5322,0.3752,0.4401,0.5194,0.5218,0.178,0.8656,17,0.5698,0.178,0.2713,0.5256,0.4965,0.8988,0.0942,21,0.4981,0.8988,0.6409,0.4785,0.5,1.0,0.0,0.5,1.0,0.6667,0.504,0.493,0.0401,0.9459,0.4259,0.0401,0.0734,0.4944,0.5,1.0,0.0,0.5,1.0,0.6667,0.4863,0.5,0.0,1.0,0.0,0.0,0.0,0.5087,0.3787,0.6387,0.5118,0.3787,0.4353,0.5009,0.9895,0.0122,0.5004,0.9895,0.6647,0.5,0.0,1.0,0.0,0.0,0.0,0.5221,0.5087,0.5009,0.5166,0.5089,0.5009,0.5048,0.509,0.5,1.0,0.0,0.5,1.0,0.6667,0.47
ELM,0.5,1.0,0.0,28,0.5,1.0,0.6667,0.4979,0.5148,0.267,0.7627,17,0.5294,0.267,0.355,0.5204,0.5,0.9581,0.0419,21,0.5,0.9581,0.6571,0.5097,0.5009,0.9442,0.0576,0.5005,0.9442,0.6542,0.5297,0.4904,0.7347,0.2461,0.4936,0.7347,0.5905,0.4769,0.4948,0.2251,0.7644,0.4886,0.2251,0.3082,0.5067,0.5,0.9895,0.0105,0.5,0.9895,0.6643,0.5113,0.5637,0.459,0.5103,0.5637,0.5357,0.5096,0.6963,0.3229,0.507,0.6963,0.5868,0.4991,0.9895,0.0087,0.4996,0.9895,0.6639,0.528,0.5052,0.733,0.2775,0.5036,0.733,0.597,0.4891,0.5052,0.1169,0.8935,0.5234,0.1169,0.1912,0.5171
RR,0.5061,0.2827,0.7295,28,0.511,0.2827,0.364,0.5034,0.5087,0.274,0.7435,17,0.5164,0.274,0.358,0.5239,0.5244,0.3857,0.6632,21,0.5338,0.3857,0.4478,0.5387,0.5323,0.7714,0.2932,0.5218,0.7714,0.6225,0.5334,0.5157,0.5428,0.4887,0.5149,0.5428,0.5285,0.5111,0.5201,0.5323,0.5079,0.5196,0.5323,0.5259,0.5248,0.4956,0.2024,0.7888,0.4895,0.2024,0.2864,0.5044,0.4206,0.5881,0.5052,0.4206,0.459,0.5079,0.6073,0.4084,0.5066,0.6073,0.5524,0.4948,0.2042,0.7853,0.4875,0.2042,0.2878,0.5105,0.5009,0.5846,0.4171,0.5007,0.5846,0.5395,0.5207,0.5209,0.7592,0.2827,0.5142,0.7592,0.6131,0.5184
TAR,0.5,1.0,0.0,28,0.5,1.0,0.6667,0.5,0.4983,0.3211,0.6754,17,0.4973,0.3211,0.3902,0.4995,0.5,0.9791,0.0209,21,0.5,0.9791,0.6619,0.5047,0.5393,0.2775,0.801,0.5824,0.2775,0.3759,0.5374,0.4939,0.8866,0.1012,0.4966,0.8866,0.6366,0.4681,0.4983,0.9773,0.0192,0.4991,0.9773,0.6608,0.5226,0.5,0.0017,0.9983,0.5,0.0017,0.0035,0.4817,0.8028,0.1606,0.4888,0.8028,0.6077,0.5079,0.0471,0.9686,0.6,0.0471,0.0874,0.4991,0.0,0.9983,0.0,0.0,0.0,0.4963,0.4895,0.9284,0.0506,0.4944,0.9284,0.6452,0.4655,0.5052,0.0576,0.9529,0.55,0.0576,0.1043,0.5419
PB&J,0.5297,0.2618,0.7976,28,0.5639,0.2618,0.3576,0.5015,0.5253,0.2949,0.7557,17,0.5469,0.2949,0.3832,0.5494,0.5419,0.829,0.2548,21,0.5266,0.829,0.6441,0.5296,0.5462,0.7627,0.3298,0.5323,0.7627,0.627,0.5563,0.507,0.4817,0.5323,0.5074,0.4817,0.4942,0.5124,0.5366,0.534,0.5393,0.5368,0.534,0.5354,0.5418,0.5323,0.2792,0.7853,0.5654,0.2792,0.3738,0.5209,0.3578,0.6841,0.5311,0.3578,0.4275,0.5271,0.3525,0.7016,0.5416,0.3525,0.4271,0.5279,0.2775,0.7784,0.5559,0.2775,0.3702,0.5607,0.5148,0.4346,0.5951,0.5177,0.4346,0.4725,0.5369,0.5497,0.7068,0.3927,0.5378,0.7068,0.6109,0.5519
Llama3-8B,0.5,0.0,1.0,28,0.0,0.0,0.0,0.5194,0.4337,0.4363,0.4311,17,0.434,0.4363,0.4352,0.4227,0.5,1.0,0.0,21,0.5,1.0,0.6667,0.4597,0.5576,0.9756,0.1396,0.5314,0.9756,0.688,0.7499,0.4101,0.2565,0.5637,0.3703,0.2565,0.3031,0.3671,0.6047,0.9162,0.2932,0.5645,0.9162,0.6986,0.6711,0.5,0.0,1.0,0.0,0.0,0.0,0.4834,0.7347,0.2321,0.489,0.7347,0.5872,0.5401,0.1832,0.897,0.6402,0.1832,0.2849,0.5,0.0,1.0,0.0,0.0,0.0,0.684,0.5009,0.9127,0.089,0.5005,0.9127,0.6465,0.4771,0.5122,1.0,0.0244,0.5062,1.0,0.6721,0.6907
