method,cyber_acc,cyber_true,cyber_false,cyber_gib,cyber_precision,cyber_recall,cyber_f1,cyber_logit_acc,cyber_logit_true,cyber_logit_false,cyber_logit_precision,cyber_logit_recall,cyber_logit_f1,cyber_logit_auc
Base,0.4425,0.3341,0.5509,0.2514,0.6277,0.3341,0.4361,0.5606,0.4002,0.7211,0.5892,0.4002,0.4766,0.6073
GradDiff,0.0614,0.1049,0.0179,0.8803,0.5056,0.1049,0.1737,0.5455,0.6138,0.4771,0.54,0.6138,0.5745,0.5704
RMU,0.4413,0.3458,0.5369,0.249,0.6189,0.3458,0.4437,0.566,0.4242,0.7078,0.5922,0.4242,0.4943,0.6118
RMU-LAT,0.4324,0.2152,0.6496,0.2479,0.6756,0.2152,0.3265,0.5556,0.3061,0.805,0.6109,0.3061,0.4079,0.6079
RepNoise,0.345,0.4281,0.2618,0.4285,0.5825,0.4281,0.4935,0.5618,0.5952,0.5284,0.5579,0.5952,0.5759,0.5804
ELM,0.3904,0.1002,0.6807,0.2467,0.5811,0.1002,0.171,0.512,0.2494,0.7747,0.5254,0.2494,0.3383,0.5219
RR,0.4375,0.296,0.5789,0.2498,0.6329,0.296,0.4034,0.5567,0.3629,0.7506,0.5926,0.3629,0.4501,0.6061
TAR,0.3749,0.0039,0.7459,0.2529,0.8333,0.0039,0.0077,0.4992,0.0925,0.906,0.4958,0.0925,0.1559,0.5638
PB&J,0.4433,0.3434,0.5431,0.2514,0.627,0.3434,0.4438,0.566,0.4204,0.7117,0.5932,0.4204,0.492,0.6083
Llama3-8B,0.3963,0.7397,0.0528,0.2397,0.511,0.7397,0.6044,0.5287,0.8353,0.2222,0.5178,0.8353,0.6393,0.5861
Llama-3-70B,0.4775,0.655,0.2999,0.2467,0.5907,0.655,0.6212,0.6002,0.7288,0.4716,0.5797,0.7288,0.6458,0.6753
