method,pl_lr_acc,pl_lr_true,pl_lr_fals,pl_lr_lyr,pl_lr_prec,pl_lr_rec,pl_lr_f1,pl_lr_auc,pl_rf_acc,pl_rf_true,pl_rf_fals,pl_rf_lyr,pl_rf_prec,pl_rf_rec,pl_rf_f1,pl_rf_auc,pl_adaboost_acc,pl_adaboost_true,pl_adaboost_fals,pl_adaboost_lyr,pl_adaboost_prec,pl_adaboost_rec,pl_adaboost_f1,pl_adaboost_auc,ml_lr_acc,ml_lr_true,ml_lr_fals,ml_lr_prec,ml_lr_rec,ml_lr_f1,ml_lr_auc,ml_rf_acc,ml_rf_true,ml_rf_fals,ml_rf_prec,ml_rf_rec,ml_rf_f1,ml_rf_auc,ml_adaboost_acc,ml_adaboost_true,ml_adaboost_fals,ml_adaboost_prec,ml_adaboost_rec,ml_adaboost_f1,ml_adaboost_auc,vote_lr_acc,vote_lr_true,vote_lr_fals,vote_lr_prec,vote_lr_rec,vote_lr_f1,vote_rf_acc,vote_rf_true,vote_rf_fals,vote_rf_prec,vote_rf_rec,vote_rf_f1,vote_adaboost_acc,vote_adaboost_true,vote_adaboost_fals,vote_adaboost_prec,vote_adaboost_rec,vote_adaboost_f1,avg_lr_acc,avg_lr_true,avg_lr_fals,avg_lr_prec,avg_lr_rec,avg_lr_f1,avg_lr_auc,avg_rf_acc,avg_rf_true,avg_rf_fals,avg_rf_prec,avg_rf_rec,avg_rf_f1,avg_rf_auc,avg_adaboost_acc,avg_adaboost_true,avg_adaboost_fals,avg_adaboost_prec,avg_adaboost_rec,avg_adaboost_f1,avg_adaboost_auc
Base,0.5835,0.5719,0.5952,16,0.5855,0.5719,0.5786,0.5957,0.5311,0.5089,0.5532,17,0.5325,0.5089,0.5205,0.5441,0.5163,0.5206,0.512,7,0.5162,0.5206,0.5184,0.52,0.5765,0.533,0.62,0.5838,0.533,0.5573,0.603,0.5587,0.5548,0.5625,0.5591,0.5548,0.5569,0.5914,0.5575,0.5641,0.5509,0.5567,0.5641,0.5604,0.5754,0.5831,0.5758,0.5905,0.5844,0.5758,0.58,0.5478,0.5408,0.5548,0.5485,0.5408,0.5446,0.5291,0.512,0.5462,0.5302,0.512,0.5209,0.5816,0.5789,0.5843,0.582,0.5789,0.5804,0.6245,0.5455,0.5532,0.5377,0.5448,0.5532,0.549,0.5733,0.5377,0.5307,0.5447,0.5382,0.5307,0.5344,0.5556
GradDiff,0.4996,0.0847,0.9145,16,0.4977,0.0847,0.1448,0.5316,0.5027,0.7257,0.2797,17,0.5019,0.7257,0.5934,0.5124,0.5089,0.526,0.4918,7,0.5086,0.526,0.5172,0.5076,0.5,0.0521,0.9479,0.5,0.0521,0.0943,0.5466,0.5027,0.2914,0.7141,0.5047,0.2914,0.3695,0.5053,0.5132,0.6115,0.4149,0.511,0.6115,0.5568,0.5234,0.4992,0.0707,0.9277,0.4946,0.0707,0.1237,0.5035,0.561,0.446,0.5031,0.561,0.5305,0.4977,0.3061,0.6892,0.4962,0.3061,0.3787,0.4988,0.0707,0.927,0.4919,0.0707,0.1236,0.539,0.5085,0.6061,0.411,0.5072,0.6061,0.5522,0.5057,0.5027,0.2603,0.7451,0.5053,0.2603,0.3436,0.4978
RMU,0.5346,0.7483,0.3209,16,0.5242,0.7483,0.6165,0.5665,0.519,0.5074,0.5307,17,0.5195,0.5074,0.5134,0.5394,0.521,0.5664,0.4755,7,0.5192,0.5664,0.5418,0.5267,0.5684,0.5828,0.554,0.5665,0.5828,0.5745,0.5929,0.5365,0.6123,0.4608,0.5317,0.6123,0.5692,0.5637,0.5412,0.6131,0.4693,0.536,0.6131,0.5719,0.5538,0.5322,0.7855,0.2789,0.5214,0.7855,0.6268,0.5334,0.5159,0.5509,0.5346,0.5159,0.5251,0.5369,0.5563,0.5175,0.5355,0.5563,0.5457,0.5326,0.7824,0.2828,0.5218,0.7824,0.626,0.5696,0.5357,0.5338,0.5377,0.5359,0.5338,0.5348,0.5577,0.5361,0.5796,0.4926,0.5332,0.5796,0.5555,0.5446
RMU-LAT,0.5117,0.8089,0.2145,16,0.5073,0.8089,0.6235,0.5417,0.5047,0.6138,0.3955,17,0.5038,0.6138,0.5534,0.5161,0.519,0.5284,0.5097,7,0.5187,0.5284,0.5235,0.5165,0.5622,0.4165,0.7078,0.5877,0.4165,0.4875,0.5782,0.5198,0.6558,0.3838,0.5156,0.6558,0.5773,0.5299,0.5093,0.3333,0.6853,0.5144,0.3333,0.4045,0.5253,0.5054,0.8664,0.1445,0.5032,0.8664,0.6366,0.512,0.6301,0.3939,0.5097,0.6301,0.5636,0.5225,0.6348,0.4103,0.5184,0.6348,0.5707,0.5047,0.8687,0.1406,0.5027,0.8687,0.6369,0.539,0.5175,0.641,0.3939,0.514,0.641,0.5705,0.5267,0.5167,0.6535,0.38,0.5131,0.6535,0.5748,0.5243
RepNoise,0.5012,0.9223,0.08,16,0.5006,0.9223,0.649,0.5351,0.5019,0.5789,0.425,17,0.5017,0.5789,0.5375,0.5112,0.5148,0.4981,0.5315,7,0.5153,0.4981,0.5065,0.5206,0.5497,0.5571,0.5423,0.549,0.5571,0.553,0.5636,0.5062,0.4608,0.5517,0.5068,0.4608,0.4827,0.5151,0.5171,0.4336,0.6006,0.5205,0.4336,0.4731,0.5198,0.5132,0.7964,0.23,0.5084,0.7964,0.6206,0.5039,0.4064,0.6014,0.5048,0.4064,0.4503,0.4852,0.4017,0.5688,0.4823,0.4017,0.4383,0.5117,0.7988,0.2246,0.5074,0.7988,0.6206,0.53,0.507,0.3831,0.6309,0.5093,0.3831,0.4373,0.5089,0.5,0.4646,0.5354,0.5,0.4646,0.4817,0.5012
ELM,0.5043,0.0793,0.9293,16,0.5285,0.0793,0.1378,0.5046,0.5027,0.655,0.3504,17,0.5021,0.655,0.5684,0.4996,0.5016,0.4491,0.554,7,0.5017,0.4491,0.474,0.5046,0.5039,0.3497,0.6581,0.5056,0.3497,0.4134,0.5081,0.5105,0.2292,0.7918,0.524,0.2292,0.3189,0.5018,0.507,0.2945,0.7195,0.5122,0.2945,0.374,0.5149,0.5051,0.0824,0.9277,0.5327,0.0824,0.1427,0.4981,0.7001,0.296,0.4986,0.7001,0.5824,0.5062,0.5229,0.4895,0.506,0.5229,0.5143,0.5047,0.08,0.9293,0.5309,0.08,0.1391,0.5158,0.5008,0.77,0.2315,0.5005,0.77,0.6067,0.5005,0.5051,0.5905,0.4196,0.5043,0.5905,0.544,0.5085
RR,0.5695,0.3916,0.7475,16,0.608,0.3916,0.4764,0.5919,0.5148,0.5082,0.5214,17,0.515,0.5082,0.5115,0.5263,0.5148,0.5315,0.4981,7,0.5143,0.5315,0.5227,0.521,0.5653,0.3784,0.7521,0.6042,0.3784,0.4654,0.5998,0.5532,0.4755,0.6309,0.563,0.4755,0.5156,0.5794,0.5392,0.4802,0.5983,0.5445,0.4802,0.5103,0.563,0.5622,0.3722,0.7521,0.6003,0.3722,0.4595,0.5455,0.5672,0.5237,0.5436,0.5672,0.5551,0.5253,0.5447,0.5058,0.5243,0.5447,0.5343,0.5641,0.3761,0.7521,0.6027,0.3761,0.4632,0.6121,0.5423,0.5851,0.4996,0.539,0.5851,0.5611,0.5644,0.5299,0.5688,0.4911,0.5278,0.5688,0.5475,0.532
TAR,0.5089,0.8687,0.1492,16,0.5052,0.8687,0.6389,0.5513,0.4949,0.4693,0.5206,17,0.4947,0.4693,0.4817,0.5,0.488,0.5043,0.4716,7,0.4883,0.5043,0.4962,0.4973,0.5622,0.4895,0.6348,0.5727,0.4895,0.5279,0.5736,0.5152,0.3901,0.6402,0.5202,0.3901,0.4458,0.5182,0.5004,0.7117,0.289,0.5003,0.7117,0.5876,0.5178,0.5148,0.749,0.2805,0.5101,0.749,0.6069,0.5,0.7747,0.2253,0.5,0.7747,0.6077,0.5105,0.7685,0.2525,0.5069,0.7685,0.6109,0.5206,0.7545,0.2867,0.514,0.7545,0.6115,0.5451,0.5062,0.8065,0.2059,0.5039,0.8065,0.6203,0.5135,0.5089,0.8267,0.1911,0.5055,0.8267,0.6274,0.5141
PB&J,0.573,0.5664,0.5796,16,0.574,0.5664,0.5702,0.5905,0.5218,0.4833,0.5602,17,0.5236,0.4833,0.5026,0.5396,0.5097,0.5221,0.4973,7,0.5095,0.5221,0.5157,0.5236,0.582,0.5773,0.5866,0.5827,0.5773,0.58,0.604,0.5532,0.5214,0.5851,0.5568,0.5214,0.5385,0.5877,0.5431,0.5245,0.5618,0.5448,0.5245,0.5344,0.5641,0.568,0.634,0.5019,0.5601,0.634,0.5948,0.5377,0.5416,0.5338,0.5374,0.5416,0.5395,0.5303,0.5354,0.5253,0.53,0.5354,0.5327,0.5742,0.6387,0.5097,0.5657,0.6387,0.6,0.614,0.5416,0.5587,0.5245,0.5402,0.5587,0.5493,0.5644,0.5276,0.5377,0.5175,0.527,0.5377,0.5323,0.5468
Llama3-8B,0.5019,0.8516,0.1523,16,0.5011,0.8516,0.631,0.5617,0.5198,0.4351,0.6045,17,0.5239,0.4351,0.4754,0.5269,0.5004,0.1523,0.8485,7,0.5013,0.1523,0.2336,0.5123,0.5124,0.0816,0.9433,0.5899,0.0816,0.1433,0.5976,0.4957,0.2455,0.7459,0.4914,0.2455,0.3275,0.4977,0.5435,0.735,0.352,0.5315,0.735,0.6169,0.5504,0.5369,0.3497,0.7242,0.559,0.3497,0.4302,0.5,0.2246,0.7754,0.5,0.2246,0.3099,0.4961,0.1865,0.8057,0.4898,0.1865,0.2701,0.5431,0.3543,0.7319,0.5693,0.3543,0.4368,0.564,0.4946,0.1585,0.8306,0.4834,0.1585,0.2387,0.4896,0.4992,0.1709,0.8275,0.4977,0.1709,0.2545,0.5153
