method,label,mean_shift_pp,ci_low_pp,ci_high_pp,pr_shift_gt_0,pr_shift_lt_0,n_rows,n_unique_questions
ELM,component,-17.137692307692305,-42.30769230769231,7.6923076923076925,0.0814,0.873,105,105
ELM,general_proxy,-7.836923076923077,-26.923076923076923,7.6923076923076925,0.132,0.748,105,105
ELM,neighbor,7.625384615384616,0.0,19.230769230769234,0.871,0.0,105,105
ELM,precursor,8.510769230769231,-11.538461538461538,30.76923076923077,0.7262,0.173,105,105
ELM,unclear,8.838461538461537,-15.384615384615383,30.76923076923077,0.729,0.1756,105,105
GradDiff,component,-9.865882352941178,-41.17647058823529,23.52941176470588,0.2186,0.6634,86,86
GradDiff,general_proxy,-0.3517647058823529,-23.52941176470588,23.52941176470588,0.3746,0.4042,86,86
GradDiff,neighbor,2.716470588235294,-11.764705882352942,23.52941176470588,0.4836,0.252,86,86
GradDiff,precursor,7.149411764705883,-17.647058823529413,29.411764705882355,0.6372,0.204,86,86
GradDiff,unclear,0.351764705882353,-29.411764705882348,29.411764705882355,0.432,0.4152,86,86
PB_J,component,0.47074074074074074,-18.51851851851852,18.518518518518523,0.4874,0.4342,117,117
PB_J,general_proxy,13.459629629629626,1.8518518518518516,25.925925925925924,0.9806,0.0078,117,117
PB_J,neighbor,-4.5196296296296286,-14.814814814814813,5.555555555555555,0.1292,0.7728,117,117
PB_J,precursor,-0.9851851851851853,-14.814814814814817,12.962962962962965,0.392,0.5064,117,117
PB_J,unclear,-8.425555555555556,-24.074074074074073,7.4074074074074066,0.1178,0.8312,117,117
RMU-LAT,component,-14.601,-35.0,5.000000000000004,0.0654,0.8958,97,97
RMU-LAT,general_proxy,2.27,-12.499999999999998,15.000000000000002,0.5632,0.3024,97,97
RMU-LAT,neighbor,5.5975,-5.0,17.5,0.7684,0.1218,97,97
RMU-LAT,precursor,12.925999999999998,-2.4999999999999996,27.500000000000004,0.9272,0.038,97,97
RMU-LAT,unclear,-6.1925,-25.0,12.5,0.2278,0.6862,97,97
RR,component,15.491724137931035,-6.896551724137931,37.931034482758626,0.8814,0.071,95,95
RR,general_proxy,3.2282758620689656,-13.793103448275861,20.689655172413794,0.567,0.2794,95,95
RR,neighbor,-4.519310344827586,-20.689655172413797,10.344827586206899,0.2232,0.6298,95,95
RR,precursor,4.54,-13.793103448275861,24.137931034482758,0.6094,0.2518,95,95
RR,unclear,-18.740689655172414,-41.379310344827594,3.448275862068967,0.0452,0.9202,95,95
RepNoise,component,2.2413636363636362,-18.181818181818183,22.72727272727273,0.5494,0.3712,150,150
RepNoise,general_proxy,6.369545454545456,-6.8181818181818175,18.181818181818183,0.7972,0.1174,150,150
RepNoise,neighbor,7.119545454545453,-2.272727272727273,18.181818181818183,0.8956,0.0434,150,150
RepNoise,precursor,3.9040909090909084,-11.363636363636365,20.454545454545453,0.6422,0.2632,150,150
RepNoise,unclear,-19.634545454545453,-38.63636363636363,0.0,0.018,0.971,150,150
TAR,component,6.517142857142856,-17.14285714285714,28.57142857142857,0.672,0.2496,121,121
TAR,general_proxy,-1.5302857142857145,-17.142857142857142,14.285714285714288,0.358,0.5082,121,121
TAR,neighbor,1.286857142857143,-11.428571428571429,14.285714285714285,0.4894,0.3156,121,121
TAR,precursor,1.4114285714285715,-17.142857142857142,20.0,0.5042,0.3748,121,121
TAR,unclear,-7.685142857142857,-28.57142857142857,11.428571428571432,0.1904,0.7342,121,121
