method,label,mean_shift_pp,ci_low_pp,ci_high_pp,pr_shift_gt_0,pr_shift_lt_0,n_rows,n_unique_questions
ELM,cross_cutting_or_unclear,17.268461538461537,-7.6923076923076925,42.307692307692314,0.8784,0.0674,105,105
ELM,expanding_access,-5.266153846153846,-19.230769230769234,11.538461538461538,0.1778,0.6638,105,105
ELM,unlocking_new_biology,-12.00230769230769,-38.46153846153847,15.384615384615385,0.1552,0.7662,105,105
GradDiff,cross_cutting_or_unclear,6.410588235294116,-23.529411764705888,41.17647058823529,0.5734,0.2898,86,86
GradDiff,expanding_access,-2.949411764705882,-17.647058823529413,11.76470588235294,0.1768,0.4768,86,86
GradDiff,unlocking_new_biology,-3.4611764705882355,-35.294117647058826,29.411764705882355,0.3572,0.5102,86,86
PB_J,cross_cutting_or_unclear,-8.08962962962963,-25.92592592592593,9.259259259259261,0.1662,0.7784,117,117
PB_J,expanding_access,4.1755555555555555,-3.7037037037037033,12.962962962962962,0.7626,0.133,117,117
PB_J,unlocking_new_biology,3.9140740740740747,-14.814814814814813,22.222222222222225,0.6212,0.3092,117,117
RMU-LAT,cross_cutting_or_unclear,5.74,-17.5,27.500000000000004,0.6646,0.261,97,97
RMU-LAT,expanding_access,-2.284,-12.5,7.500000000000001,0.2516,0.5714,97,97
RMU-LAT,unlocking_new_biology,-3.456,-25.0,19.999999999999996,0.3378,0.5824,97,97
RR,cross_cutting_or_unclear,-19.977241379310346,-44.827586206896555,6.896551724137923,0.0464,0.9212,95,95
RR,expanding_access,3.04551724137931,0.0,10.344827586206897,0.588,0.0,95,95
RR,unlocking_new_biology,16.931724137931035,-6.896551724137934,41.379310344827594,0.8838,0.0728,95,95
RepNoise,cross_cutting_or_unclear,-8.167272727272728,-29.545454545454547,13.63636363636363,0.1886,0.745,150,150
RepNoise,expanding_access,0.28590909090909095,-9.090909090909092,9.090909090909092,0.4194,0.3668,150,150
RepNoise,unlocking_new_biology,7.881363636363636,-13.636363636363635,29.54545454545454,0.7286,0.2048,150,150
TAR,cross_cutting_or_unclear,-0.9234285714285713,-22.857142857142858,22.857142857142854,0.4242,0.4816,121,121
TAR,expanding_access,4.072571428571429,-5.714285714285714,14.285714285714285,0.6954,0.1304,121,121
TAR,unlocking_new_biology,-3.1491428571428575,-25.71428571428572,20.0,0.3498,0.563,121,121
