method,label,mean_shift_pp,ci_low_pp,ci_high_pp,pr_shift_gt_0,pr_shift_lt_0,n_rows,n_unique_questions
ELM,background_or_cross_cutting,16.033076923076926,-7.6923076923076925,38.46153846153847,0.8756,0.0758,105,105
ELM,build,-6.7361538461538455,-30.76923076923077,15.384615384615385,0.2244,0.6618,105,105
ELM,design,-6.779230769230768,-34.61538461538461,19.230769230769234,0.2648,0.6416,105,105
ELM,release,-2.5907692307692307,-11.538461538461538,3.8461538461538463,0.1224,0.5302,105,105
ELM,test_learn,0.0730769230769231,-11.538461538461538,11.538461538461538,0.3562,0.3378,105,105
GradDiff,background_or_cross_cutting,2.576470588235294,-29.411764705882355,35.29411764705882,0.4924,0.3694,86,86
GradDiff,build,-1.6329411764705883,-23.529411764705884,23.52941176470588,0.3584,0.4598,86,86
GradDiff,design,-0.7894117647058824,-35.294117647058826,29.41176470588236,0.4082,0.446,86,86
GradDiff,release,2.8717647058823523,0.0,11.76470588235294,0.3956,0.0,86,86
GradDiff,test_learn,-3.025882352941177,-17.647058823529413,11.76470588235294,0.1732,0.4752,86,86
PB_J,background_or_cross_cutting,-13.134074074074073,-29.629629629629626,3.7037037037037033,0.0532,0.9198,117,117
PB_J,build,6.483703703703703,-9.259259259259261,22.222222222222225,0.7466,0.1864,117,117
PB_J,design,1.9144444444444446,-16.666666666666668,20.370370370370374,0.5392,0.3842,117,117
PB_J,release,1.5988888888888886,0.0,5.555555555555555,0.5804,0.0,117,117
PB_J,test_learn,3.137037037037037,0.0,9.25925925925926,0.818,0.0,117,117
RMU-LAT,background_or_cross_cutting,-0.5319999999999999,-22.499999999999996,20.0,0.4334,0.477,97,97
RMU-LAT,build,-0.692,-17.5,17.5,0.4104,0.4756,97,97
RMU-LAT,design,-2.3074999999999997,-22.500000000000004,19.999999999999996,0.372,0.539,97,97
RMU-LAT,test_learn,3.5315,0.0,10.0,0.7556,0.0,97,97
RR,background_or_cross_cutting,-23.284827586206898,-48.275862068965516,0.0,0.0238,0.9534,95,95
RR,build,2.3048275862068963,-17.24137931034483,20.689655172413797,0.5232,0.3458,95,95
RR,design,14.884827586206898,-10.344827586206895,37.931034482758626,0.8544,0.0908,95,95
RR,test_learn,6.0951724137931045,0.0,17.24137931034483,0.8388,0.0,95,95
RepNoise,background_or_cross_cutting,-12.832272727272729,-31.818181818181824,9.090909090909088,0.087,0.867,150,150
RepNoise,build,15.305454545454545,0.0,31.818181818181817,0.9584,0.023,150,150
RepNoise,design,-1.7109090909090912,-22.727272727272723,20.454545454545453,0.3994,0.524,150,150
RepNoise,release,1.8695454545454546,0.0,6.8181818181818175,0.5678,0.0,150,150
RepNoise,test_learn,-2.631818181818182,-11.363636363636362,4.545454545454546,0.1372,0.6452,150,150
TAR,background_or_cross_cutting,-6.338285714285714,-28.57142857142857,14.357142857141822,0.2404,0.6724,121,121
TAR,build,-5.445714285714286,-22.857142857142858,14.285714285714285,0.2334,0.6666,121,121
TAR,design,9.003999999999998,-14.285714285714285,31.428571428571427,0.7326,0.1972,121,121
TAR,release,2.2851428571428576,0.0,8.571428571428571,0.5568,0.0,121,121
TAR,test_learn,0.4948571428571429,-8.571428571428571,8.571428571428571,0.4024,0.3072,121,121
