method,label,centered_suppression_effect_pp,p_suppressed_given_label,p_suppressed_baseline,n_rows,n_unique_questions
ELM,background_or_cross_cutting,9.610389610389614,0.8484848484848485,0.7523809523809524,33,33
ELM,build,-5.672877846790891,0.6956521739130435,0.7523809523809524,23,23
ELM,design,-3.145071982281289,0.7209302325581395,0.7523809523809524,43,43
ELM,release,-25.238095238095237,0.5,0.7523809523809524,2,2
ELM,test_learn,-0.23809523809523725,0.75,0.7523809523809524,4,4
GradDiff,background_or_cross_cutting,1.017441860465118,0.8125,0.8023255813953488,32,32
GradDiff,build,-1.661129568106312,0.7857142857142857,0.8023255813953488,14,14
GradDiff,design,-0.23255813953487747,0.8,0.8023255813953488,35,35
GradDiff,release,19.76744186046512,1.0,0.8023255813953488,2,2
GradDiff,test_learn,-13.56589147286822,0.6666666666666666,0.8023255813953488,3,3
PB_J,background_or_cross_cutting,-11.421911421911418,0.42424242424242425,0.5384615384615384,33,33
PB_J,build,6.153846153846154,0.6,0.5384615384615384,30,30
PB_J,design,1.0558069381598867,0.5490196078431373,0.5384615384615384,51,51
PB_J,release,46.15384615384615,1.0,0.5384615384615384,1,1
PB_J,test_learn,46.15384615384615,1.0,0.5384615384615384,2,2
RMU-LAT,background_or_cross_cutting,-0.42955326460480947,0.5833333333333334,0.5876288659793815,36,36
RMU-LAT,build,-0.868149755832881,0.5789473684210527,0.5876288659793815,19,19
RMU-LAT,design,-1.262886597938151,0.575,0.5876288659793815,40,40
RMU-LAT,test_learn,41.23711340206185,1.0,0.5876288659793815,2,2
RR,background_or_cross_cutting,-12.716927453769566,0.5675675675675675,0.6947368421052632,37,37
RR,build,2.7485380116959,0.7222222222222222,0.6947368421052632,18,18
RR,design,8.304093567251458,0.7777777777777778,0.6947368421052632,36,36
RR,test_learn,30.526315789473678,1.0,0.6947368421052632,4,4
RepNoise,background_or_cross_cutting,-8.166666666666666,0.625,0.7066666666666667,48,48
RepNoise,build,14.181818181818183,0.8484848484848485,0.7066666666666667,33,33
RepNoise,design,-0.8253968253968291,0.6984126984126984,0.7066666666666667,63,63
RepNoise,release,29.333333333333332,1.0,0.7066666666666667,2,2
RepNoise,test_learn,-20.666666666666668,0.5,0.7066666666666667,4,4
TAR,background_or_cross_cutting,-4.40771349862259,0.6666666666666666,0.7107438016528925,36,36
TAR,build,-5.856988860941426,0.6521739130434783,0.7107438016528925,23,23
TAR,design,3.9256198347107474,0.75,0.7107438016528925,56,56
TAR,release,28.925619834710748,1.0,0.7107438016528925,2,2
TAR,test_learn,3.9256198347107474,0.75,0.7107438016528925,4,4
