axis,label,count,percentage
risk_mechanism_final,cross_cutting_or_unclear,632,49.65
risk_mechanism_final,unlocking_new_biology,506,39.75
risk_mechanism_final,expanding_access,135,10.6
risk_stage_final,design,417,32.76
risk_stage_final,background_or_cross_cutting,417,32.76
risk_stage_final,build,270,21.21
risk_stage_final,ideation,73,5.73
risk_stage_final,test,47,3.69
risk_stage_final,release,39,3.06
risk_stage_final,learn,10,0.79
risk_stage_analysis_final,design,417,32.76
risk_stage_analysis_final,background_or_cross_cutting,417,32.76
risk_stage_analysis_final,build,270,21.21
risk_stage_analysis_final,ideation,73,5.73
risk_stage_analysis_final,test_learn,57,4.48
risk_stage_analysis_final,release,39,3.06
proxy_relation_final,component,438,34.41
proxy_relation_final,unclear,339,26.63
proxy_relation_final,precursor,213,16.73
proxy_relation_final,general_proxy,205,16.1
proxy_relation_final,neighbor,78,6.13
