pc,explained_var_ratio,top20_dim_idx,top20_loading
1,0.2066754698753357,"2303,1869,2932,291,4055,2088,1059,373,2977,3507,2121,3234,1660,3378,2183,2261,1686,1550,2360,110","0.1626,-0.0821,-0.08052,-0.07666,0.06287,-0.06184,0.0597,-0.05957,-0.05896,0.05587,0.05492,0.05464,-0.05315,-0.05264,0.05077,-0.05009,0.05002,-0.04961,-0.04641,0.0464"
2,0.15611857175827026,"2303,2943,291,2932,1059,920,3881,3585,1211,2726,1039,2352,2485,1162,133,682,3053,3008,2116,27","0.1878,-0.1338,-0.1206,-0.1183,0.09004,-0.08858,-0.08467,0.07749,0.07731,-0.07633,-0.07381,-0.06884,-0.06663,0.06168,0.06048,0.05503,-0.05494,0.05426,-0.05412,-0.05329"
3,0.0974934920668602,"2303,2352,4055,1039,2943,2932,873,3650,1162,2005,1565,2461,1087,2389,689,1815,373,3869,2285,3070","0.2009,0.1687,-0.1325,-0.112,-0.08882,-0.08752,0.07186,-0.07089,-0.06669,0.06122,0.06039,-0.05904,-0.05822,0.05752,0.05379,-0.05374,-0.05351,0.05334,0.05063,0.05045"
4,0.05882968008518219,"4055,2303,1189,3869,2977,2943,2932,1815,3732,2207,2352,133,2040,3231,3070,27,314,2330,3838,4001","0.1248,0.1197,0.1095,0.08759,0.06985,-0.05996,-0.05884,-0.05787,0.05608,-0.05427,-0.05416,0.05392,-0.05388,0.05274,0.05198,-0.05128,-0.05013,0.04892,-0.04887,0.04806"
5,0.049738768488168716,"2352,4055,2485,2943,1298,1162,1815,2121,2932,2977,988,2088,2209,964,1681,2700,103,1127,4053,1104","0.1542,-0.113,-0.09168,-0.08507,-0.08072,-0.0751,0.0663,-0.06588,-0.05906,-0.05647,0.05386,0.05185,-0.05037,0.05022,-0.04938,-0.04899,0.04877,-0.04874,0.04796,-0.04578"
6,0.0405389741063118,"4055,2352,2720,1713,29,1381,2528,2303,3781,3516,1474,146,2423,3964,750,419,1605,2660,2300,1112","0.1415,-0.1402,-0.07751,-0.06603,0.06229,-0.05906,-0.0576,0.0549,-0.05381,0.05185,-0.05124,0.05067,0.05055,-0.05037,-0.05011,-0.04996,-0.0498,0.04731,0.04671,0.04619"
7,0.02886396087706089,"2977,2116,1211,2943,373,709,2692,2303,3881,2352,2720,3516,3585,2764,2932,2528,1815,2978,1298,3650","0.2377,-0.1743,-0.1339,-0.1231,-0.1204,-0.1139,-0.107,0.1051,-0.1037,0.09214,-0.08126,-0.08107,0.0774,0.07328,-0.06966,0.06833,-0.06803,0.06793,0.05988,-0.05818"
8,0.023165453225374222,"4055,2303,3860,3516,2352,1869,1815,3650,2265,290,3231,373,1731,1122,1059,1384,1759,788,2209,1338","0.1253,-0.08568,-0.08417,0.08167,-0.07958,-0.07395,0.0724,-0.06433,-0.06422,-0.06113,-0.06101,0.05988,-0.05862,-0.05845,0.05749,-0.05585,-0.05535,0.05507,0.05479,-0.05458"
9,0.017995497211813927,"2352,4055,2692,2140,1039,1338,1486,2116,42,2528,3881,766,2533,1033,2082,2334,1821,508,1298,3780","0.1696,-0.1517,-0.06576,-0.06221,-0.06067,-0.05963,-0.05911,-0.05599,-0.05458,0.0542,-0.0532,0.05147,0.04966,0.04883,-0.04833,0.0478,0.04648,-0.04586,0.0453,0.04445"
10,0.01687057688832283,"2352,87,373,2943,1815,3008,1109,4062,2580,1338,1507,2300,1242,1560,3695,766,810,2074,1211,2973","0.08848,0.08542,0.07776,0.0764,0.07547,0.07436,-0.06167,0.05993,0.05944,-0.05846,-0.05846,-0.05244,-0.05197,0.05192,-0.05157,0.05141,0.05116,-0.05019,0.05005,-0.04971"
