method,contrast,n,npos,all_layers_auc,all_layers_p,band_layers,band_str,band_auc,band_p,all_layers_q,band_q
GradDiff,retained_vs_rest,701,519,0.6024,0.002,26,L7-L32,0.5991,0.002,0.0026666666666666666,0.0023333333333333335
GradDiff,suppressed_vs_rest,701,138,0.5811,0.008,11,L7-L17,0.6192,0.002,0.0128,0.0024000000000000002
GradDiff,forgotten_vs_rest,701,21,0.6367,0.0439,0,none,,,0.061200000000000004,
GradDiff,lucky_vs_rest,701,23,0.6682,0.002,7,L11-L18,0.6839,0.004,0.002285714285714286,0.004571428571428572
GradDiff,suppressed_vs_retained,657,138,0.5846,0.004,10,L9-L18,0.6153,0.002,0.008,0.0024000000000000002
PB&J,retained_vs_rest,701,361,0.5802,0.002,21,L1-L21,0.5823,0.002,0.0026666666666666666,0.0023333333333333335
PB&J,suppressed_vs_rest,701,189,0.6738,0.002,33,L0-L32,0.6738,0.002,0.004,0.0024000000000000002
PB&J,forgotten_vs_rest,701,60,0.5781,0.0459,3,L2-L9,0.6038,0.006,0.061200000000000004,0.008
PB&J,lucky_vs_rest,701,91,0.666,0.002,32,L1-L32,0.666,0.002,0.002285714285714286,0.0026666666666666666
PB&J,suppressed_vs_retained,550,189,0.6517,0.002,33,L0-L32,0.6517,0.002,0.005333333333333333,0.0024000000000000002
RMU,retained_vs_rest,701,389,0.6014,0.002,33,L0-L32,0.6014,0.002,0.0026666666666666666,0.0023333333333333335
RMU,suppressed_vs_rest,701,173,0.5351,0.1257,0,none,,,0.14365714285714287,
RMU,forgotten_vs_rest,701,44,0.6302,0.01,22,L9-L30,0.6311,0.01,0.02666666666666667,0.01
RMU,lucky_vs_rest,701,95,0.6943,0.002,32,L1-L32,0.6943,0.002,0.002285714285714286,0.0026666666666666666
RMU,suppressed_vs_retained,562,173,0.5305,0.1597,0,none,,,0.1796,
RMU-LAT,retained_vs_rest,701,408,0.5878,0.002,33,L0-L32,0.5878,0.002,0.0026666666666666666,0.0023333333333333335
RMU-LAT,suppressed_vs_rest,701,165,0.5246,0.1996,0,none,,,0.1996,
RMU-LAT,forgotten_vs_rest,701,36,0.6019,0.0319,0,none,,,0.061200000000000004,
RMU-LAT,lucky_vs_rest,701,92,0.6811,0.002,32,L1-L32,0.6811,0.002,0.002285714285714286,0.0026666666666666666
RMU-LAT,suppressed_vs_retained,573,165,0.5267,0.1796,0,none,,,0.1796,
RepNoise,retained_vs_rest,701,306,0.6143,0.002,24,L1-L24,0.622,0.002,0.0026666666666666666,0.0023333333333333335
RepNoise,suppressed_vs_rest,701,245,0.6625,0.002,32,L1-L32,0.6625,0.002,0.004,0.0024000000000000002
RepNoise,forgotten_vs_rest,701,68,0.6341,0.002,29,L4-L32,0.6354,0.002,0.016,0.008
RepNoise,lucky_vs_rest,701,82,0.6603,0.002,32,L1-L32,0.6603,0.002,0.002285714285714286,0.0026666666666666666
RepNoise,suppressed_vs_retained,551,245,0.654,0.002,32,L1-L32,0.654,0.002,0.005333333333333333,0.0024000000000000002
ELM,retained_vs_rest,701,418,0.5705,0.006,24,L9-L32,0.5712,0.006,0.006857142857142858,0.006
ELM,suppressed_vs_rest,701,186,0.5697,0.002,12,L0-L15,0.5834,0.002,0.004,0.0024000000000000002
ELM,forgotten_vs_rest,701,45,0.6144,0.01,14,L17-L32,0.6202,0.006,0.02666666666666667,0.008
ELM,lucky_vs_rest,701,52,0.6466,0.002,32,L1-L32,0.6466,0.002,0.002285714285714286,0.0026666666666666666
ELM,suppressed_vs_retained,604,186,0.5416,0.0798,11,L4-L15,0.5902,0.002,0.1064,0.0024000000000000002
RR,retained_vs_rest,701,425,0.5188,0.2934,0,none,,,0.2934,
RR,suppressed_vs_rest,701,176,0.5666,0.01,15,L1-L16,0.5828,0.004,0.013333333333333334,0.004
RR,forgotten_vs_rest,701,26,0.525,0.4112,0,none,,,0.46994285714285716,
RR,lucky_vs_rest,701,74,0.7215,0.002,32,L1-L32,0.7215,0.002,0.002285714285714286,0.0026666666666666666
RR,suppressed_vs_retained,601,176,0.5466,0.0699,4,L1-L4,0.5793,0.004,0.1064,0.004
TAR,retained_vs_rest,701,408,0.6142,0.002,31,L1-L31,0.615,0.002,0.0026666666666666666,0.0023333333333333335
TAR,suppressed_vs_rest,701,190,0.6289,0.002,32,L1-L32,0.6289,0.002,0.004,0.0024000000000000002
TAR,forgotten_vs_rest,701,54,0.4497,0.7964,0,none,,,0.7964,
TAR,lucky_vs_rest,701,49,0.6086,0.022,20,L13-L32,0.6139,0.014,0.022,0.014
TAR,suppressed_vs_retained,598,190,0.644,0.002,32,L1-L32,0.644,0.002,0.005333333333333333,0.0024000000000000002
