method,contrast,npos,nneg,best_layer,best_cv_auc,perm_p,null95,auc_profile,perm_q
GradDiff,retained_vs_rest,519,182,12,0.6291,0.002,0.5622,0.542;0.512;0.511;0.510;0.526;0.534;0.551;0.571;0.621;0.626;0.627;0.628;0.629;0.625;0.619;0.618;0.612;0.601;0.588;0.588;0.587;0.585;0.585;0.584;0.584;0.583;0.583;0.584;0.585;0.585;0.586;0.588;0.589,0.002285714285714286
GradDiff,suppressed_vs_rest,138,563,9,0.6178,0.002,0.5729,0.500;0.551;0.542;0.540;0.550;0.555;0.567;0.576;0.613;0.618;0.616;0.613;0.615;0.607;0.590;0.595;0.585;0.578;0.561;0.558;0.557;0.553;0.552;0.551;0.552;0.547;0.547;0.545;0.547;0.547;0.546;0.547;0.547,0.0032
GradDiff,forgotten_vs_rest,21,680,16,0.6511,0.0679,0.6602,0.372;0.326;0.333;0.324;0.508;0.489;0.591;0.594;0.597;0.615;0.605;0.613;0.616;0.629;0.634;0.644;0.651;0.645;0.648;0.640;0.635;0.634;0.634;0.632;0.632;0.632;0.632;0.631;0.634;0.632;0.635;0.638;0.647,0.08891428571428571
GradDiff,lucky_vs_rest,23,678,16,0.6976,0.008,0.6558,0.362;0.542;0.541;0.542;0.523;0.520;0.534;0.526;0.593;0.609;0.649;0.658;0.659;0.654;0.671;0.669;0.698;0.688;0.667;0.639;0.642;0.642;0.644;0.643;0.642;0.639;0.640;0.647;0.643;0.643;0.643;0.639;0.629,0.009142857142857144
GradDiff,suppressed_vs_retained,138,519,12,0.6188,0.002,0.5739,0.488;0.496;0.490;0.495;0.505;0.502;0.512;0.526;0.573;0.586;0.596;0.612;0.619;0.616;0.614;0.614;0.601;0.592;0.575;0.572;0.570;0.568;0.567;0.565;0.566;0.562;0.561;0.560;0.562;0.560;0.560;0.561;0.562,0.004
PB&J,retained_vs_rest,361,340,14,0.6004,0.002,0.5553,0.493;0.559;0.557;0.562;0.570;0.571;0.569;0.563;0.572;0.589;0.592;0.592;0.592;0.588;0.600;0.597;0.584;0.578;0.568;0.566;0.565;0.556;0.553;0.553;0.553;0.550;0.549;0.545;0.545;0.544;0.544;0.544;0.543,0.002285714285714286
PB&J,suppressed_vs_rest,189,512,3,0.679,0.002,0.5657,0.613;0.669;0.674;0.679;0.677;0.673;0.672;0.670;0.670;0.670;0.675;0.669;0.665;0.668;0.666;0.672;0.669;0.659;0.637;0.625;0.621;0.616;0.616;0.615;0.616;0.615;0.616;0.613;0.613;0.613;0.613;0.614;0.620,0.0032
PB&J,forgotten_vs_rest,60,641,2,0.6022,0.0439,0.5998,0.408;0.591;0.602;0.602;0.588;0.571;0.567;0.583;0.596;0.601;0.597;0.588;0.589;0.590;0.596;0.582;0.585;0.570;0.557;0.549;0.551;0.553;0.553;0.555;0.554;0.554;0.556;0.556;0.555;0.554;0.555;0.558;0.561,0.0878
PB&J,lucky_vs_rest,91,610,14,0.7004,0.002,0.5848,0.383;0.647;0.665;0.661;0.658;0.658;0.664;0.663;0.665;0.674;0.679;0.685;0.677;0.690;0.700;0.697;0.681;0.667;0.640;0.628;0.622;0.617;0.617;0.617;0.615;0.615;0.615;0.615;0.614;0.613;0.613;0.613;0.617,0.0026666666666666666
PB&J,suppressed_vs_retained,189,361,3,0.6586,0.002,0.568,0.586;0.648;0.651;0.659;0.655;0.655;0.652;0.646;0.647;0.650;0.657;0.648;0.643;0.645;0.642;0.648;0.645;0.638;0.615;0.603;0.597;0.592;0.591;0.591;0.592;0.591;0.591;0.588;0.589;0.588;0.588;0.589;0.594,0.004
