method,condition,alpha,kext,margin,nq
ELM,supp_dS,-1.0,0.44888888888888884,-2.3584375381469727,75
ELM,supp_dS,0.0,0.20444444444444443,-2.543541669845581,75
ELM,supp_dS,0.5,0.21777777777777776,-2.559999942779541,75
ELM,supp_dS,1.0,0.2488888888888889,-2.882291555404663,75
ELM,supp_dS,2.0,0.36,-2.1237499713897705,75
ELM,supp_random,-1.0,0.24444444444444444,-3.7605209350585938,75
ELM,supp_random,0.0,0.20444444444444443,-2.543541669845581,75
ELM,supp_random,0.5,0.19999999999999998,-2.822499990463257,75
ELM,supp_random,1.0,0.21777777777777776,-3.809375047683716,75
ELM,supp_random,2.0,0.48,-4.127812385559082,75
ELM,forg_dF,-1.0,0.4629629629629629,-2.855902671813965,18
ELM,forg_dF,0.0,0.24074074074074073,-2.2161457538604736,18
ELM,forg_dF,0.5,0.24074074074074073,-2.405816078186035,18
ELM,forg_dF,1.0,0.24074074074074073,-2.824652671813965,18
ELM,forg_dF,2.0,0.2592592592592593,-2.539930582046509,18
