method,condition,alpha,kext,margin,nq
GradDiff,supp_dS,-1.0,0.45238095238095244,10.753745079040527,56
GradDiff,supp_dS,0.0,0.2202380952380952,8.833033561706543,56
GradDiff,supp_dS,0.5,0.625,8.675223350524902,56
GradDiff,supp_dS,1.0,0.6309523809523808,4.292689800262451,56
GradDiff,supp_dS,2.0,0.7023809523809523,-0.6220703125,56
GradDiff,supp_random,-1.0,0.3392857142857143,8.245474815368652,56
GradDiff,supp_random,0.0,0.2202380952380952,8.833033561706543,56
GradDiff,supp_random,0.5,0.22619047619047622,8.351213455200195,56
GradDiff,supp_random,1.0,0.24404761904761904,8.132594108581543,56
GradDiff,supp_random,2.0,0.3630952380952381,8.246099472045898,56
GradDiff,forg_dF,-1.0,0.2592592592592593,10.656951904296875,9
GradDiff,forg_dF,0.0,0.2222222222222222,8.657660484313965,9
GradDiff,forg_dF,0.5,0.3703703703703704,7.627604007720947,9
GradDiff,forg_dF,1.0,0.2962962962962963,3.265625,9
GradDiff,forg_dF,2.0,0.4074074074074074,-0.7039930820465088,9
