method,condition,alpha,kext,margin,nq
PB_J,supp_dS,-1.0,0.4342105263157895,-4.615100860595703,76
PB_J,supp_dS,0.0,0.17105263157894735,-2.7413389682769775,76
PB_J,supp_dS,0.5,0.46491228070175433,-3.458381175994873,76
PB_J,supp_dS,1.0,0.4956140350877193,-2.664731502532959,76
PB_J,supp_dS,2.0,0.6798245614035088,-2.3083367347717285,76
PB_J,supp_random,-1.0,0.2675438596491228,-1.0711939334869385,76
PB_J,supp_random,0.0,0.17105263157894735,-2.7413389682769775,76
PB_J,supp_random,0.5,0.2587719298245614,-3.4980316162109375,76
PB_J,supp_random,1.0,0.28508771929824556,-3.3932301998138428,76
PB_J,supp_random,2.0,0.3114035087719298,-4.566645622253418,76
PB_J,forg_dF,-1.0,0.4583333333333333,-2.4855422973632812,24
PB_J,forg_dF,0.0,0.13888888888888887,-2.5962321758270264,24
PB_J,forg_dF,0.5,0.5277777777777778,-3.5238444805145264,24
PB_J,forg_dF,1.0,0.4305555555555555,-3.7293293476104736,24
PB_J,forg_dF,2.0,0.3611111111111111,-2.3610026836395264,24
