method,condition,alpha,kext,margin,nq
RMU,supp_dS,-4.0,0.38571428571428573,-0.2318638414144516,70
RMU,supp_dS,-2.0,0.4571428571428571,2.5199637413024902,70
RMU,supp_dS,-1.0,0.4238095238095238,2.243896484375,70
RMU,supp_dS,0.0,0.15238095238095237,-2.641974687576294,70
RMU,supp_dS,0.5,0.3904761904761904,-3.1043806076049805,70
RMU,supp_dS,1.0,0.4904761904761905,-3.474888324737549,70
RMU,supp_dS,2.0,0.5,-2.512723207473755,70
RMU,supp_dS,4.0,0.4428571428571428,1.1746652126312256,70
RMU,supp_dS,8.0,0.519047619047619,-0.12070312350988388,70
RMU,supp_random,-4.0,0.4285714285714286,-1.4844586849212646,70
RMU,supp_random,-2.0,0.4571428571428571,-1.2588448524475098,70
RMU,supp_random,-1.0,0.4476190476190476,-1.602901816368103,70
RMU,supp_random,0.0,0.15238095238095237,-2.641974687576294,70
RMU,supp_random,0.5,0.2523809523809524,-2.9004058837890625,70
RMU,supp_random,1.0,0.4476190476190476,-2.6013453006744385,70
RMU,supp_random,2.0,0.4095238095238095,-0.8346827626228333,70
RMU,supp_random,4.0,0.4904761904761905,-0.14361397922039032,70
RMU,supp_random,8.0,0.5,-0.6463658213615417,70
RMU,forg_dF,-4.0,0.462962962962963,0.3275417685508728,18
RMU,forg_dF,-2.0,0.5185185185185185,2.8265669345855713,18
RMU,forg_dF,-1.0,0.5185185185185185,0.9367539882659912,18
RMU,forg_dF,0.0,0.25925925925925924,-2.865234375,18
RMU,forg_dF,0.5,0.40740740740740733,-3.300347328186035,18
RMU,forg_dF,1.0,0.5185185185185185,-3.5447049140930176,18
RMU,forg_dF,2.0,0.5,-3.124566078186035,18
RMU,forg_dF,4.0,0.48148148148148145,-0.0551215261220932,18
RMU,forg_dF,8.0,0.2962962962962962,0.2582465410232544,18
