method,condition,alpha,kext,margin,nq
RR,supp_dS,-1.0,0.40845070422535207,-2.4406604766845703,71
RR,supp_dS,0.0,0.20187793427230047,-4.920081615447998,71
RR,supp_dS,0.5,0.35680751173708924,-4.855695724487305,71
RR,supp_dS,1.0,0.49765258215962443,-2.667693614959717,71
RR,supp_dS,2.0,0.5305164319248826,-0.11427156627178192,71
RR,supp_random,-1.0,0.45539906103286376,-1.0870240926742554,71
RR,supp_random,0.0,0.20187793427230047,-4.920081615447998,71
RR,supp_random,0.5,0.2957746478873239,-5.083250999450684,71
RR,supp_random,1.0,0.43192488262910794,-3.574490547180176,71
RR,supp_random,2.0,0.43661971830985913,-3.0073912143707275,71
RR,forg_dF,-1.0,0.2121212121212121,-2.585465908050537,11
RR,forg_dF,0.0,0.1818181818181818,-4.746493339538574,11
RR,forg_dF,0.5,0.2727272727272727,-5.0871806144714355,11
RR,forg_dF,1.0,0.3333333333333333,-3.9605824947357178,11
RR,forg_dF,2.0,0.4242424242424242,-1.4943181276321411,11
