method,condition,alpha,kext,margin,nq
RepNoise,supp_dS,-1.0,0.3537414965986394,-4.501162052154541,98
RepNoise,supp_dS,0.0,0.14965986394557823,0.46460458636283875,98
RepNoise,supp_dS,0.5,0.6394557823129251,0.8582987785339355,98
RepNoise,supp_dS,1.0,0.6972789115646258,-0.16900509595870972,98
RepNoise,supp_dS,2.0,0.7006802721088434,-1.215800404548645,98
RepNoise,supp_random,-1.0,0.19047619047619047,0.02734375,98
RepNoise,supp_random,0.0,0.14965986394557823,0.46460458636283875,98
RepNoise,supp_random,0.5,0.1870748299319728,0.4132354259490967,98
RepNoise,supp_random,1.0,0.24149659863945575,0.1864536851644516,98
RepNoise,supp_random,2.0,0.2925170068027211,-0.15083904564380646,98
RepNoise,forg_dF,-1.0,0.49999999999999994,-3.4145050048828125,28
RepNoise,forg_dF,0.0,0.17857142857142855,0.56201171875,28
RepNoise,forg_dF,0.5,0.49999999999999994,0.4835379421710968,28
RepNoise,forg_dF,1.0,0.5357142857142857,-0.6467633843421936,28
RepNoise,forg_dF,2.0,0.5119047619047619,-1.6496931314468384,28
