method,condition,alpha,kext,margin,nq
TAR,supp_dS,-1.0,0.3289473684210526,-3.4201724529266357,76
TAR,supp_dS,0.0,0.1842105263157895,-4.56808614730835,76
TAR,supp_dS,0.5,0.19736842105263158,-4.889019012451172,76
TAR,supp_dS,1.0,0.25438596491228066,-4.972205638885498,76
TAR,supp_dS,2.0,0.28508771929824556,-3.1182668209075928,76
TAR,supp_random,-1.0,0.21491228070175436,-4.05612850189209,76
TAR,supp_random,0.0,0.1842105263157895,-4.56808614730835,76
TAR,supp_random,0.5,0.18421052631578946,-4.759383201599121,76
TAR,supp_random,1.0,0.18421052631578946,-4.865175724029541,76
TAR,supp_random,2.0,0.26315789473684204,-4.631317615509033,76
TAR,forg_dF,-1.0,0.36363636363636354,-3.2532403469085693,22
TAR,forg_dF,0.0,0.18181818181818182,-4.520864486694336,22
TAR,forg_dF,0.5,0.25757575757575757,-4.8697733879089355,22
TAR,forg_dF,1.0,0.28787878787878785,-4.969149589538574,22
TAR,forg_dF,2.0,0.3181818181818181,-3.070845127105713,22
