method,condition,alpha,kext,margin,nq
ELM,supp_expr,-1.0,0.22222222222222218,-3.3380208015441895,75
ELM,supp_expr,0.0,0.21333333333333335,-2.6031250953674316,75
ELM,supp_expr,0.5,0.21777777777777776,-2.248020887374878,75
ELM,supp_expr,1.0,0.23999999999999996,-1.9284374713897705,75
ELM,supp_expr,2.0,0.24,-1.3871874809265137,75
ELM,supp_dS,-1.0,0.4755555555555555,-2.29770827293396,75
ELM,supp_dS,0.0,0.21333333333333335,-2.6031250953674316,75
ELM,supp_dS,0.5,0.2533333333333333,-2.62416672706604,75
ELM,supp_dS,1.0,0.30666666666666664,-2.938854217529297,75
ELM,supp_dS,2.0,0.42666666666666664,-2.0193750858306885,75
ELM,supp_random,-1.0,0.2311111111111111,-2.6957292556762695,75
ELM,supp_random,0.0,0.21333333333333335,-2.6031250953674316,75
ELM,supp_random,0.5,0.21333333333333335,-2.5935416221618652,75
ELM,supp_random,1.0,0.22222222222222224,-2.610729217529297,75
ELM,supp_random,2.0,0.22222222222222218,-2.7222917079925537,75
ELM,forg_expr,-1.0,0.24074074074074073,-2.9704861640930176,18
ELM,forg_expr,0.0,0.2037037037037037,-2.2109375,18
ELM,forg_expr,0.5,0.2037037037037037,-1.8819444179534912,18
ELM,forg_expr,1.0,0.18518518518518517,-1.5920138359069824,18
ELM,forg_expr,2.0,0.2222222222222222,-1.1089409589767456,18
