method,condition,alpha,kext,margin,nq
PB_J,supp_expr,-4.0,0.45614035087719296,-6.384060382843018,76
PB_J,supp_expr,-2.0,0.41666666666666663,-6.187439918518066,76
PB_J,supp_expr,-1.0,0.33771929824561403,-3.9410207271575928,76
PB_J,supp_expr,0.0,0.1754385964912281,-2.2899112701416016,76
PB_J,supp_expr,0.5,0.47368421052631576,-2.2789947986602783,76
PB_J,supp_expr,1.0,0.5131578947368421,-1.7453179359436035,76
PB_J,supp_expr,2.0,0.5175438596491228,-0.9123406410217285,76
PB_J,supp_expr,4.0,0.5657894736842105,-0.00853207241743803,76
PB_J,supp_expr,8.0,0.4956140350877193,-0.6519375443458557,76
PB_J,supp_dS,-4.0,0.4035087719298246,-5.4401469230651855,76
PB_J,supp_dS,-2.0,0.4078947368421052,-5.6359453201293945,76
PB_J,supp_dS,-1.0,0.3377192982456141,-4.8219170570373535,76
PB_J,supp_dS,0.0,0.1754385964912281,-2.2899112701416016,76
PB_J,supp_dS,0.5,0.5350877192982457,-3.18817138671875,76
PB_J,supp_dS,1.0,0.5570175438596491,-2.363776683807373,76
PB_J,supp_dS,2.0,0.618421052631579,-2.0813629627227783,76
PB_J,supp_dS,4.0,0.4078947368421052,-0.3567460775375366,76
PB_J,supp_dS,8.0,0.5964912280701754,0.25648900866508484,76
PB_J,supp_random,-4.0,0.34210526315789475,-2.8855433464050293,76
PB_J,supp_random,-2.0,0.25,-1.3920745849609375,76
PB_J,supp_random,-1.0,0.24122807017543857,-1.543276309967041,76
PB_J,supp_random,0.0,0.1754385964912281,-2.2899112701416016,76
PB_J,supp_random,0.5,0.1754385964912281,-3.047287702560425,76
PB_J,supp_random,1.0,0.21929824561403505,-3.356921672821045,76
PB_J,supp_random,2.0,0.2894736842105263,-4.013221263885498,76
PB_J,supp_random,4.0,0.32456140350877194,-3.9354875087738037,76
PB_J,supp_random,8.0,0.32894736842105265,-2.352252960205078,76
PB_J,forg_expr,-4.0,0.4305555555555555,-6.4815673828125,24
PB_J,forg_expr,-2.0,0.4444444444444444,-6.201253414154053,24
PB_J,forg_expr,-1.0,0.3611111111111111,-3.9772541522979736,24
PB_J,forg_expr,0.0,0.15277777777777776,-2.0717570781707764,24
PB_J,forg_expr,0.5,0.3333333333333333,-2.45947265625,24
PB_J,forg_expr,1.0,0.4305555555555555,-2.2442626953125,24
PB_J,forg_expr,2.0,0.34722222222222227,-1.2599283456802368,24
PB_J,forg_expr,4.0,0.34722222222222215,-0.1555989533662796,24
PB_J,forg_expr,8.0,0.6388888888888888,-0.6459248661994934,24
