method,condition,alpha,kext,margin,nq
RMU-LAT,supp_expr,-4.0,0.5555555555555555,-1.090803623199463,66
RMU-LAT,supp_expr,-2.0,0.4090909090909091,-2.9215199947357178,66
RMU-LAT,supp_expr,-1.0,0.25757575757575757,-2.7903053760528564,66
RMU-LAT,supp_expr,0.0,0.15656565656565657,-2.4595465660095215,66
RMU-LAT,supp_expr,0.5,0.2525252525252525,-2.48695707321167,66
RMU-LAT,supp_expr,1.0,0.25757575757575757,-2.666163682937622,66
RMU-LAT,supp_expr,2.0,0.3232323232323232,-2.9212238788604736,66
RMU-LAT,supp_expr,4.0,0.35353535353535354,-3.528409004211426,66
RMU-LAT,supp_expr,8.0,0.36363636363636365,-3.7043087482452393,66
RMU-LAT,supp_dS,-4.0,0.42424242424242425,-0.2838837504386902,66
RMU-LAT,supp_dS,-2.0,0.5202020202020202,1.2417880296707153,66
RMU-LAT,supp_dS,-1.0,0.5,0.973203718662262,66
RMU-LAT,supp_dS,0.0,0.15656565656565657,-2.4595465660095215,66
RMU-LAT,supp_dS,0.5,0.3737373737373737,-2.850674629211426,66
RMU-LAT,supp_dS,1.0,0.3181818181818182,-3.2034800052642822,66
RMU-LAT,supp_dS,2.0,0.32323232323232326,-2.666548252105713,66
RMU-LAT,supp_dS,4.0,0.3383838383838384,-0.1254734843969345,66
RMU-LAT,supp_dS,8.0,0.35353535353535354,0.7966974377632141,66
RMU-LAT,supp_random,-4.0,0.3181818181818182,-2.116062879562378,66
RMU-LAT,supp_random,-2.0,0.22222222222222224,-2.171934127807617,66
RMU-LAT,supp_random,-1.0,0.19696969696969693,-2.266897439956665,66
RMU-LAT,supp_random,0.0,0.15656565656565657,-2.4595465660095215,66
RMU-LAT,supp_random,0.5,0.1717171717171717,-2.575039863586426,66
RMU-LAT,supp_random,1.0,0.21212121212121213,-2.6958303451538086,66
RMU-LAT,supp_random,2.0,0.24242424242424243,-2.9855587482452393,66
RMU-LAT,supp_random,4.0,0.2878787878787879,-3.5567588806152344,66
RMU-LAT,supp_random,8.0,0.4696969696969697,-2.0746726989746094,66
RMU-LAT,forg_expr,-4.0,0.5111111111111112,-1.4902669191360474,15
RMU-LAT,forg_expr,-2.0,0.5777777777777778,-2.981494188308716,15
RMU-LAT,forg_expr,-1.0,0.4444444444444444,-2.899153709411621,15
RMU-LAT,forg_expr,0.0,0.17777777777777778,-3.0302083492279053,15
RMU-LAT,forg_expr,0.5,0.26666666666666666,-2.9752604961395264,15
RMU-LAT,forg_expr,1.0,0.31111111111111106,-3.0364582538604736,15
RMU-LAT,forg_expr,2.0,0.3777777777777777,-3.406770944595337,15
RMU-LAT,forg_expr,4.0,0.4444444444444444,-3.6421875953674316,15
RMU-LAT,forg_expr,8.0,0.3333333333333333,-3.8572916984558105,15
