method,condition,alpha,kext,margin,nq
RMU,supp_expr,-1.0,0.27619047619047615,-3.1875662803649902,70
RMU,supp_expr,0.0,0.14761904761904762,-3.1268084049224854,70
RMU,supp_expr,0.5,0.20476190476190478,-3.0240652561187744,70
RMU,supp_expr,1.0,0.2809523809523809,-2.9246373176574707,70
RMU,supp_expr,2.0,0.3571428571428571,-2.799999952316284,70
RMU,supp_dS,-1.0,0.519047619047619,2.273381233215332,70
RMU,supp_dS,0.0,0.14761904761904762,-3.1268084049224854,70
RMU,supp_dS,0.5,0.34761904761904755,-3.397475004196167,70
RMU,supp_dS,1.0,0.4904761904761905,-3.644754409790039,70
RMU,supp_dS,2.0,0.4714285714285714,-2.7350447177886963,70
RMU,supp_random,-1.0,0.16666666666666669,-3.078118085861206,70
RMU,supp_random,0.0,0.14761904761904762,-3.1268084049224854,70
RMU,supp_random,0.5,0.15714285714285714,-3.152600049972534,70
RMU,supp_random,1.0,0.15714285714285714,-3.183884859085083,70
RMU,supp_random,2.0,0.1904761904761905,-3.2687289714813232,70
RMU,forg_expr,-1.0,0.3518518518518518,-3.8717448711395264,18
RMU,forg_expr,0.0,0.25925925925925924,-3.6360676288604736,18
RMU,forg_expr,0.5,0.2962962962962962,-3.4904513359069824,18
RMU,forg_expr,1.0,0.3333333333333333,-3.385850667953491,18
RMU,forg_expr,2.0,0.31481481481481477,-3.4290363788604736,18
