method,condition,alpha,kext,margin,nq
RepNoise,supp_expr,-4.0,0.24829931972789115,-3.0778255462646484,98
RepNoise,supp_expr,-2.0,0.24149659863945575,-1.0307267904281616,98
RepNoise,supp_expr,-1.0,0.19727891156462585,0.015385841950774193,98
RepNoise,supp_expr,0.0,0.1292517006802721,0.7549226880073547,98
RepNoise,supp_expr,0.5,0.35034013605442177,0.8942921161651611,98
RepNoise,supp_expr,1.0,0.5748299319727891,0.8499282598495483,98
RepNoise,supp_expr,2.0,0.7142857142857142,0.5088488459587097,98
RepNoise,supp_expr,4.0,0.727891156462585,0.12101402878761292,98
RepNoise,supp_expr,8.0,0.738095238095238,-0.25797194242477417,98
RepNoise,supp_dS,-4.0,0.34013605442176875,-6.028668403625488,98
RepNoise,supp_dS,-2.0,0.3843537414965987,-5.667588710784912,98
RepNoise,supp_dS,-1.0,0.30272108843537415,-4.506911754608154,98
RepNoise,supp_dS,0.0,0.1292517006802721,0.7549226880073547,98
RepNoise,supp_dS,0.5,0.6972789115646258,0.8797831535339355,98
RepNoise,supp_dS,1.0,0.738095238095238,-0.22975127398967743,98
RepNoise,supp_dS,2.0,0.7448979591836735,-1.3245774507522583,98
RepNoise,supp_dS,4.0,0.7721088435374148,-2.0516979694366455,98
RepNoise,supp_dS,8.0,0.7312925170068026,3.2522969245910645,98
RepNoise,supp_random,-4.0,0.1292517006802721,0.603117048740387,98
RepNoise,supp_random,-2.0,0.13945578231292519,0.6488759517669678,98
RepNoise,supp_random,-1.0,0.1598639455782313,0.7040616869926453,98
RepNoise,supp_random,0.0,0.1292517006802721,0.7549226880073547,98
RepNoise,supp_random,0.5,0.1326530612244898,0.7680564522743225,98
RepNoise,supp_random,1.0,0.1326530612244898,0.7696906924247742,98
RepNoise,supp_random,2.0,0.13605442176870747,0.7389987111091614,98
RepNoise,supp_random,4.0,0.17006802721088432,0.6193399429321289,98
RepNoise,supp_random,8.0,0.2312925170068027,0.3831512928009033,98
RepNoise,forg_expr,-4.0,0.5476190476190476,-1.4215785264968872,28
RepNoise,forg_expr,-2.0,0.5238095238095238,0.0472324900329113,28
RepNoise,forg_expr,-1.0,0.32142857142857145,0.1214599609375,28
RepNoise,forg_expr,0.0,0.19047619047619047,0.009870256297290325,28
RepNoise,forg_expr,0.5,0.2619047619047619,-0.0403180792927742,28
RepNoise,forg_expr,1.0,0.40476190476190477,-0.0840541273355484,28
RepNoise,forg_expr,2.0,0.34523809523809523,-0.171875,28
RepNoise,forg_expr,4.0,0.4523809523809524,-0.6411830186843872,28
RepNoise,forg_expr,8.0,0.41666666666666663,-1.0125558376312256,28
