method,condition,alpha,kext,margin,nq
TAR,supp_expr,-4.0,0.28508771929824556,-5.124080657958984,76
TAR,supp_expr,-2.0,0.1973684210526316,-4.904721260070801,76
TAR,supp_expr,-1.0,0.1798245614035088,-4.721832752227783,76
TAR,supp_expr,0.0,0.17982456140350878,-4.56802225112915,76
TAR,supp_expr,0.5,0.1754385964912281,-4.503373622894287,76
TAR,supp_expr,1.0,0.19298245614035087,-4.4470601081848145,76
TAR,supp_expr,2.0,0.2236842105263158,-4.349637985229492,76
TAR,supp_expr,4.0,0.26315789473684204,-4.206422328948975,76
TAR,supp_expr,8.0,0.32894736842105265,-4.192745208740234,76
TAR,supp_dS,-4.0,0.45614035087719307,-3.643423080444336,76
TAR,supp_dS,-2.0,0.3991228070175438,-3.1513919830322266,76
TAR,supp_dS,-1.0,0.32017543859649117,-3.4693281650543213,76
TAR,supp_dS,0.0,0.17982456140350878,-4.56802225112915,76
TAR,supp_dS,0.5,0.1929824561403509,-4.901187896728516,76
TAR,supp_dS,1.0,0.22368421052631574,-4.999880313873291,76
TAR,supp_dS,2.0,0.28508771929824556,-3.1394941806793213,76
TAR,supp_dS,4.0,0.27192982456140347,-2.7991364002227783,76
TAR,supp_dS,8.0,0.38596491228070173,-2.8219058513641357,76
TAR,supp_random,-4.0,0.21491228070175436,-4.11093807220459,76
TAR,supp_random,-2.0,0.1929824561403509,-4.350521087646484,76
TAR,supp_random,-1.0,0.1842105263157895,-4.46212911605835,76
TAR,supp_random,0.0,0.17982456140350878,-4.56802225112915,76
TAR,supp_random,0.5,0.18421052631578946,-4.617824554443359,76
TAR,supp_random,1.0,0.18859649122807015,-4.66546106338501,76
TAR,supp_random,2.0,0.17982456140350878,-4.7529754638671875,76
TAR,supp_random,4.0,0.17982456140350878,-4.8810200691223145,76
TAR,supp_random,8.0,0.23684210526315788,-4.832546234130859,76
TAR,forg_expr,-4.0,0.4242424242424242,-5.117700576782227,22
TAR,forg_expr,-2.0,0.2424242424242424,-4.896403789520264,22
TAR,forg_expr,-1.0,0.22727272727272724,-4.716917037963867,22
TAR,forg_expr,0.0,0.19696969696969696,-4.561644077301025,22
TAR,forg_expr,0.5,0.19696969696969696,-4.495367050170898,22
TAR,forg_expr,1.0,0.2121212121212121,-4.433651924133301,22
TAR,forg_expr,2.0,0.2121212121212121,-4.32853364944458,22
TAR,forg_expr,4.0,0.24242424242424238,-4.168645858764648,22
TAR,forg_expr,8.0,0.34848484848484845,-4.11649751663208,22
