condition,coef,mean_correct_margin,mean_kext,n
supp,-2.0,-3.4483885765075684,0.9875,160
supp,-1.0,-2.1300292015075684,1.0,160
supp,-0.5,-1.8367919921875,1.0,160
supp,-0.25,-1.831323266029358,1.0,160
supp,0.0,-1.8767821788787842,1.0,160
supp,0.25,-2.0677247047424316,0.9958333333333332,160
supp,0.5,-2.270263671875,0.99375,160
supp,1.0,-2.5738768577575684,0.9916666666666666,160
supp,2.0,-3.8601317405700684,0.9916666666666666,160
rand0,-2.0,-3.4043211936950684,0.9916666666666666,160
rand0,-1.0,-2.0062499046325684,1.0,160
rand0,-0.5,-1.898681640625,1.0,160
rand0,-0.25,-1.8782958984375,1.0,160
rand0,0.0,-1.8767821788787842,1.0,160
rand0,0.25,-1.8887939453125,1.0,160
rand0,0.5,-1.90771484375,0.9979166666666666,160
rand0,1.0,-2.001538038253784,0.9958333333333332,160
rand0,2.0,-2.4307618141174316,0.9979166666666666,160
rand1,-2.0,-2.061938524246216,1.0,160
rand1,-1.0,-1.9492676258087158,1.0,160
rand1,-0.5,-1.8726074695587158,1.0,160
rand1,-0.25,-1.8612792491912842,1.0,160
rand1,0.0,-1.8767821788787842,1.0,160
rand1,0.25,-1.9205322265625,1.0,160
rand1,0.5,-1.9853515625,0.9979166666666666,160
rand1,1.0,-2.1580810546875,0.9916666666666666,160
rand1,2.0,-3.5538086891174316,0.9916666666666666,160
