feature,target,spearman_rho,p_value,n
min_pairwise_sigmoid_margin,auc,0.3571042852827873,1.1309474721470592e-147,4912
max_distractor_confidence,auc,-0.12093562527868405,1.817092036051754e-17,4912
correct_option_confidence,auc,0.2412648153127213,5.384891511194333e-66,4912
earliest_layer_kint1,auc,-0.41344961722580675,2.726422355319558e-196,4768
mean_kint_layers,auc,0.6751661556302134,0.0,4912
std_kint_layers,auc,-0.5203620117738255,0.0,4912
min_probe_probability_margin,auc,0.3871406014965889,2.2114855316744764e-175,4912
rank_alignment,auc,0.09859409246136007,4.355097756486616e-12,4912
min_pairwise_sigmoid_margin,ck8,0.2500493707491992,6.583277396511563e-71,4912
max_distractor_confidence,ck8,-0.09541475877387577,2.0728654984421418e-11,4912
correct_option_confidence,ck8,0.15081910289757933,2.198213164731411e-26,4912
earliest_layer_kint1,ck8,-0.3353685896779089,1.1333201582477105e-125,4768
mean_kint_layers,ck8,0.5113576675454653,0.0,4912
std_kint_layers,ck8,-0.41137157955546305,5.908546430766389e-200,4912
min_probe_probability_margin,ck8,0.26831441320972005,9.233289975433422e-82,4912
rank_alignment,ck8,0.070247923082068,8.298728024822165e-07,4912
min_pairwise_sigmoid_margin,slope_per_ckpt,-0.0019338724448377427,0.8922146971149443,4912
max_distractor_confidence,slope_per_ckpt,-0.03155564726832331,0.026995264639634226,4912
correct_option_confidence,slope_per_ckpt,-0.037201243733593584,0.009120267361615798,4912
earliest_layer_kint1,slope_per_ckpt,-0.22167703420381688,3.6847710475915067e-54,4768
mean_kint_layers,slope_per_ckpt,0.09181347240790343,1.1424375420663806e-10,4912
std_kint_layers,slope_per_ckpt,-0.1964565191180727,6.250402383238295e-44,4912
min_probe_probability_margin,slope_per_ckpt,-0.021783179134124052,0.12689009844900936,4912
rank_alignment,slope_per_ckpt,0.014192752824075137,0.3199768781381058,4912
min_pairwise_sigmoid_margin,delta_ck8_minus_base,-0.0019510610316165037,0.8912626081392896,4912
max_distractor_confidence,delta_ck8_minus_base,-0.03153748837138882,0.027083449113315852,4912
correct_option_confidence,delta_ck8_minus_base,-0.03720571326330704,0.009111919342311916,4912
earliest_layer_kint1,delta_ck8_minus_base,-0.22171284683591694,3.5404461598387034e-54,4768
mean_kint_layers,delta_ck8_minus_base,0.09183207115782983,1.1325977197539378e-10,4912
std_kint_layers,delta_ck8_minus_base,-0.19648096438523271,6.098205234403722e-44,4912
min_probe_probability_margin,delta_ck8_minus_base,-0.02180057964051038,0.12658685841790474,4912
rank_alignment,delta_ck8_minus_base,0.014218168188542402,0.31911097672174543,4912
