method,metric,n_suppressed,n_forgotten,mannwhitney_u,p_value_greater,mean_diff_supp_minus_forg,ci95_low,ci95_high
GradDiff,mid_auc,69,17,946.0,4.952065290611903e-05,0.21568856155924054,0.11749468304855075,0.3104769970749005
GradDiff,core_mid_auc,69,17,951.0,3.9543890440687165e-05,0.2209593579114462,0.12207214109368539,0.31571362781367285
RMU,mid_auc,60,47,1755.0,0.015292262980908161,0.06268254732932772,0.007386258005333866,0.11909978781219539
RMU,core_mid_auc,60,47,1790.0,0.008606344136263292,0.06513613292231185,0.010809191526955475,0.12126430211601796
RMU-LAT,mid_auc,57,40,1337.0,0.0749289039719032,0.05355126093336372,-0.021007387051043915,0.12382777925101891
RMU-LAT,core_mid_auc,57,40,1352.0,0.060575540108943886,0.056656165320884126,-0.0181066524750149,0.12687624567946548
RepNoise,mid_auc,106,44,3267.0,5.728334053422117e-05,0.09121290427512736,0.04468148789611868,0.1358740122011354
RepNoise,core_mid_auc,106,44,3279.0,4.670831794381962e-05,0.091178332392704,0.04562937676719907,0.13566993259634197
ELM,mid_auc,79,26,1365.0,0.00611224037179463,0.06908016144268334,0.008623960509144976,0.129226105346529
ELM,core_mid_auc,79,26,1387.0,0.0038047222908050102,0.07840258227046454,0.01469439591781292,0.1418243277958587
RR,mid_auc,66,29,1189.0,0.03068411206194527,0.09717617655430492,0.01565675924686365,0.18286440487268632
RR,core_mid_auc,66,29,1197.0,0.026465472745892733,0.10460944866210992,0.018535749843793334,0.19790321228878408
TAR,mid_auc,86,35,2314.0,1.9024810839734112e-06,0.1646205998722183,0.10004693064075895,0.2282650705731751
TAR,core_mid_auc,86,35,2287.0,3.958495185482931e-06,0.16625243926316255,0.09764192296213477,0.2303503913356824
PB_J,mid_auc,63,54,2587.0,6.446354320932561e-07,0.14232295657123603,0.08981305646022444,0.1924866266283687
PB_J,core_mid_auc,63,54,2600.0,4.496642597120262e-07,0.13979025334263695,0.08803502342638997,0.18834415501135637
